identifier	name	homepage	description	pattern	example	email	uri_format	download.owl	download.obo	synonyms	deprecated	aberowl	agroportal	bartoc	biocontext	bioportal	cellosaurus	cheminf	cropoct	ecoportal	edam	hl7	integbio	lov	miriam	n2t	obofoundry	ols	ontobee	pathguide	prefixcc	prefixcommons	re3data	rrid	togoid	uniprot	wikidata	zazuko	part_of	provides	has_canonical
biosample	BioSample	https://www.ebi.ac.uk/biosamples/	The BioSample Database stores information about biological samples used in molecular experiments, such as sequencing, gene expression or proteomics. It includes reference samples, such as cell lines, which are repeatedly used in experiments. Accession numbers for the reference samples will be exchanged with a similar database at NCBI, and DDBJ (Japan). Record access may be affected due to different release cycles and inter-institutional synchronisation.	^SAM[NED](\w)?\d+$	SAMEA2397676	mizrachi@ncbi.nlm.nih.gov	https://www.ebi.ac.uk/biosamples/sample/$1			biosamples	False				BIOSAMPLE		BioSamples								biosample	biosample							r3d100012828	SAMN	Biosample						
bioschemas	BioSchemas	https://bioschemas.org	Bioschemas aims to improve the Findability on the Web of life sciences resources such as datasets, software, and training materials. It does this by encouraging people in the life sciences to use Schema.org markup in their websites so that they are indexable by search engines and other services. Bioschemas encourages the consistent use of markup to ease the consumption of the contained markup across many sites. This structured information then makes it easier to discover, collate, and analyse distributed resources. [from BioSchemas.org]		Dataset		https://bioschemas.org/profiles/$1			bioschema	False																														
biosimulations	biosimulations	https://icahn.mssm.edu/	BioSimulations is an open repository of simulation projects, including simulation experiments, their results, and data visualizations of their results. BioSimulations supports a broad range of model languages, modeling frameworks, simulation algorithms, and simulation software tools.	^[a-zA-Z0-9_-]{3,}$	Yeast-cell-cycle-Irons-J-Theor-Biol-2009		https://biosimulations.org/projects/$1				False														biosimulations								r3d100013361								
biosimulators	BioSimulators	https://biosimulators.org/	BioSimulators is a registry of containerized simulation tools that support a common interface. The containers in BioSimulators support a range of modeling frameworks (e.g., logical, constraint-based, continuous kinetic, discrete kinetic), simulation algorithms (e.g., CVODE, FBA, SSA), and modeling formats (e.g., BGNL, SBML, SED-ML).	^[a-zA-Z0-9-_]+$	vcell	karr@mssm.edu	https://biosimulators.org/simulators/$1				False														biosimulators								r3d100013432								
biostudies	BioStudies database	https://www.ebi.ac.uk/biostudies/	The BioStudies database holds descriptions of biological studies, links to data from these studies in other databases at EMBL-EBI or outside, as well as data that do not fit in the structured archives at EMBL-EBI. The database can accept a wide range of types of studies described via a simple format. It also enables manuscript authors to submit supplementary information and link to it from the publication.	^S-[A-Z]{4}[\-\_A-Z\d]+$	S-EPMC6266652	ugis@ebi.ac.uk	https://www.ebi.ac.uk/biostudies/studies/$1				False												nbdc02279		biostudies	biostudies							r3d100012627								
biosystems	BioSystems	https://www.ncbi.nlm.nih.gov/Structure/biosystems/docs/biosystems_about.html	The NCBI BioSystems database centralizes and cross-links existing biological systems databases, increasing their utility and target audience by integrating their pathways and systems into NCBI resources.	^\d+$	001	lewis.geer@nih.gov	https://www.ncbi.nlm.nih.gov/biosystems/$1				False				BIOSYSTEMS								nbdc00379		biosystems	biosystems						biosystems	r3d100011033								
biotools	BioTools	https://bio.tools/	BioTools is a registry of databases and software with tools, services, and workflows for biological and biomedical research.	^[-A-Za-z0-9\_]*$	bioregistry	haiiu@dtu.dk	https://bio.tools/$1				False				BIOTOOLS										biotools	biotools							r3d100013668								
biotop	BioTop	http://purl.org/biotop	Upper-Level ontology for Biology and Medicine. Compatible with BFO, DOLCE, and the UMLS Semantic Network		attachedTo	stefan.schulz@medunigraz.at	http://purl.org/biotop/biotop.owl#$1	https://raw.githubusercontent.com/BioTopOntology/biotop/master/biotop.owl			False													biotop																	
biozil	BIOZIL	https://www.biozol.de/en	Redistributor of bilogics and biomedical supplies		ls-c35719-120		https://www.biozol.de/en/product/$1				False																														
birnlex	Biomedical Informatics Research Network Lexicon	https://bioportal.bioontology.org/ontologies/BIRNLEX	The BIRN Project lexicon will provide entities for data and database annotation for the BIRN project, covering anatomy, disease, data collection, project management and experimental design.	^\d+$	2023	wbug@ncmir.ucsd.edu	http://uri.neuinfo.org/nif/nifstd/birnlex_$1				False	BIRNLEX				BIRNLEX																									
biro	Bibliographic Reference Ontology	http://www.sparontologies.net/ontologies/biro	An ontology meant to define bibliographic records, bibliographic references, and their compilation into bibliographic collections and bibliographic lists, respectively.		BibliographicRecord	silvio.peroni@unibo.it	http://purl.org/spar/biro/$1				False													biro																	
bitbucket	Bitbucket	https://www.atlassian.com/	Bitbucket is a Git-based source code repository hosting service owned by Atlassian.	^[0-9A-Za-z-_\.]+/[0-9A-Za-z-_\.]+$	andreadega/systems-biology-compiler		https://bitbucket.org/$1				False														bitbucket								r3d100013478								
bitterdb.cpd	BitterDB Compound	http://bitterdb.agri.huji.ac.il/dbbitter.php	BitterDB is a database of compounds reported to taste bitter to humans. The compounds can be searched by name, chemical structure, similarity to other bitter compounds, association with a particular human bitter taste receptor, and so on. The database also contains information on mutations in bitter taste receptors that were shown to influence receptor activation by bitter compounds. The aim of BitterDB is to facilitate studying the chemical features associated with bitterness. This collection references compounds.	^\d+$	46		http://bitterdb.agri.huji.ac.il/bitterdb/compound.php?id=$1				False				BITTERDB.CPD										bitterdb.cpd	bitterdb.cpd															
bitterdb.rec	BitterDB Receptor	http://bitterdb.agri.huji.ac.il/dbbitter.php	BitterDB is a database of compounds reported to taste bitter to humans. The compounds can be searched by name, chemical structure, similarity to other bitter compounds, association with a particular human bitter taste receptor, and so on. The database also contains information on mutations in bitter taste receptors that were shown to influence receptor activation by bitter compounds. The aim of BitterDB is to facilitate studying the chemical features associated with bitterness. This collection references receptors.	^\d+$	1		http://bitterdb.agri.huji.ac.il/Receptor.php?id=$1				False				BITTERDB.REC										bitterdb.rec	bitterdb.rec															
bko	SBGN Bricks data and ontology	http://www.sbgnbricks.org/	SBGN bricks represent biomolecular or biological concepts. BKO formally associates bricks with the concepts they represent. BKO includes terms that describe concepts, the template bricks representing these concepts, and categories that gather bricks in a broader way.	^\d+$	0000204	adrienrougny@gmail.com	http://www.sbgnbricks.org/BKO/full/entry/all/BKO:$1				False	BKO				BKO																									
bmrb	Biological Magnetic Resonance Data Bank	http://www.bmrb.wisc.edu/	BMRB collects, annotates, archives, and disseminates (worldwide in the public domain) the important spectral and quantitative data derived from NMR spectroscopic investigations of biological macromolecules and metabolites. The goal is to empower scientists in their analysis of the structure, dynamics, and chemistry of biological systems and to support further development of the field of biomolecular NMR spectroscopy.	^(bmr|bmse|bmst)?[0-9]{1,6}$	15000	markley@nmrfam.wisc.edu	http://rest.bmrb.wisc.edu/bmrb/$1/html				False												nbdc00380		bmrb								r3d100010191			DB-0256					
bmrb.restraint	NMR Restraints Grid	https://restraintsgrid.bmrb.io/NRG/MRGridServlet	The NMR Restraints Grid contains the original NMR data as collected for over 2500 protein and nucleic acid structures with corresponding PDB entries. In addition to the original restraints, most of the distance, dihedral angle and RDC restraint data (>85%) were parsed, and those in over 500 entries were converted and filtered. The converted and filtered data sets constitute the DOCR and FRED databases respectively.	^\d+$	28789		https://restraintsgrid.bmrb.io/NRG/MRGridServlet?block_text_type=2-parsed&db_username=wattos1&file_detail=2-parsed&format=n%2Fa&program=STAR&request_type=block&subtype=full&type=entry&mrblock_id=$1				False																														
bold.taxonomy	BOLD Systems taxon	http://www.boldsystems.org/	The Barcode of Life Data System (BOLD) is an informatics workbench aiding the acquisition, storage, analysis and publication of DNA barcode records. The associated taxonomy browser shows the progress of DNA barcoding and provides sample collection site distribution, and taxon occurence information.	^\d+$	27267	phebert@uoguelph.ca	http://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=$1				False				BOLD.TAXONOMY										bold.taxonomy	bold.taxonomy						bold					P3606				
bootstrep	Gene Regulation Ontology	http://www.ebi.ac.uk/Rebholz-srv/GRO/GRO.html				vlee@ebi.ac.uk	http://purl.obolibrary.org/obo/BOOTSTREP_$1				True				BOOTSTREP												bootstrep														
bpdb	Bio-Pesticides DataBase	https://sitem.herts.ac.uk/aeru/bpdb/index.htm	Database of biopesticides maintained by the University of Hertfordshire 	^\d+$	2404		https://sitem.herts.ac.uk/aeru/bpdb/Reports/$1.htm				False																														
brenda	BRENDA Enzyme	https://www.brenda-enzymes.org/	BRENDA is a collection of enzyme functional data available to the scientific community. Data on enzyme function are extracted directly from the primary literature The database covers information on classification and nomenclature, reaction and specificity, functional parameters, occurrence, enzyme structure and stability, mutants and enzyme engineering, preparation and isolation, the application of enzymes, and ligand-related data.	^((\d+\.-\.-\.-)|(\d+\.\d+\.-\.-)|(\d+\.\d+\.\d+\.-)|(\d+\.\d+\.\d+\.\d+))$	1.1.1.1	D.Schomburg@tu-braunschweig.de	https://www.brenda-enzymes.org/php/result_flat.php4?ecno=$1				False				BRENDA										brenda	brenda				51		brenda	r3d100010616							ec	
brenda.ligand	BRENDA Ligand	https://www.brenda-enzymes.de/ligand.php	Information for ligands in the BRENDA database.	^\d+$	278		https://www.brenda-enzymes.de/ligand.php?brenda_ligand_id=$1				False																														
brenda.ligandgroup	BRENDA Ligand Group	https://www.brenda-enzymes.de/ligand.php	Information for ligand groups (chemical classes).	^\d+$	18030		https://www.brenda-enzymes.de/ligand.php?brenda_group_id=$1				False																														
bridgedb	BridgeDb Vocabulary	https://bridgedb.org	A vocabulary about resources, similar to bioregistry.schema, venn, idot, etc.		hasPrimaryUriPattern		http://vocabularies.bridgedb.org/ops#$1				False																														
broad	Broad Fungal Genome Initiative	https://www.broadinstitute.org/annotation/genome/magnaporthe_grisea/	Magnaporthe grisea, the causal agent of rice blast disease, is one of the most devasting threats to food security worldwide and is a model organism for studying fungal phytopathogenicity and host-parasite interactions. The Magnaporthe comparative genomics database provides accesses to multiple fungal genomes from the Magnaporthaceae family to facilitate the comparative analysis. As part of the Broad Fungal Genome Initiative, the Magnaporthe comparative project includes the finished M. oryzae (formerly M. grisea) genome, as well as the draft assemblies of Gaeumannomyces graminis var. tritici and M. poae.	^S\d+$	S7000002168151102		https://www.broadinstitute.org/annotation/genome/magnaporthe_grisea/GeneDetails.html?sp=$1				False				BROAD										broad	broad															
bs	Biosapiens Protein Feature Ontology	https://github.com/The-Sequence-Ontology/SO-Ontologies	SO is a collaborative ontology project for the definition of sequence features used in biological sequence annotation. It is part of the Open Biomedical Ontologies library.	^\d+$	00042		https://biopragmatics.github.io/providers/bs/$1		https://raw.githubusercontent.com/The-Sequence-Ontology/SO-Ontologies/master/Ontology_Files/subsets/biosapiens.obo		False																														
bspo	Biological Spatial Ontology	https://github.com/obophenotype/biological-spatial-ontology	An ontology for respresenting spatial concepts, anatomical axes, gradients, regions, planes, sides and surfaces. These concepts can be used at multiple biological scales and in a diversity of taxa, including plants, animals and fungi. The BSPO is used to provide a source of anatomical location descriptors for logically defining anatomical entity classes in anatomy ontologies.	^\d{7}$	0000029	cjmungall@lbl.gov	http://purl.obolibrary.org/obo/BSPO_$1		https://raw.githubusercontent.com/obophenotype/biological-spatial-ontology/master/bspo.obo		False	BSPO			BSPO	BSPO											bspo	bspo	BSPO												
bto	BRENDA Tissue Ontology	http://www.brenda-enzymes.org	The Brenda tissue ontology is a structured controlled vocabulary eastablished to identify the source of an enzyme cited in the Brenda enzyme database. It comprises terms of tissues, cell lines, cell types and cell cultures from uni- and multicellular organisms.	^\d{7}$	0000590	c.dudek@tu-braunschweig.de	http://purl.obolibrary.org/obo/BTO_$1			BTO	False	BTO			BTO	BTO	BTO								bto	bto	bto	bto	BTO			bto					P5501				
bugbase.expt	BugBase Expt	http://bugs.sgul.ac.uk/E-BUGS	BugBase is a MIAME-compliant microbial gene expression and comparative genomic database. It stores experimental annotation and multiple raw and analysed data formats, as well as protocols for bacterial microarray designs. This collection references microarray experiments.	^\d+$	288		http://bugs.sgul.ac.uk/bugsbase/tabs/experiment.php?action=view&expt_id=$1				False				BUGBASE.EXPT										bugbase.expt	bugbase.expt															
bugbase.protocol	BugBase Protocol	http://bugs.sgul.ac.uk/E-BUGS	BugBase is a MIAME-compliant microbial gene expression and comparative genomic database. It stores experimental annotation and multiple raw and analysed data formats, as well as protocols for bacterial microarray designs. This collection references design protocols.	^\d+$	67		http://bugs.sgul.ac.uk/bugsbase/tabs/protocol.php?action=view&protocol_id=$1				False				BUGBASE.PROTOCOL										bugbase.protocol	bugbase.protocol															
bykdb	Bacterial Tyrosine Kinase Database	https://bykdb.ibcp.fr/BYKdb/	The bacterial tyrosine kinase database (BYKdb) that collects sequences of putative and authentic bacterial tyrosine kinases,  providing structural and functional information.	^[A-Z0-9]+$	A0A009E7X8	cozzone@ibcp.fr	https://bykdb.ibcp.fr/data/html/annotated/$1.html				False				BYKDB										bykdb	bykdb						bykdb								uniprot	
c4o	Citation Counting and Context Characterisation Ontology	http://www.sparontologies.net/ontologies/c4o	An ontology that permits the number of in-text citations of a cited source to be recorded, together with their textual citation contexts, along with the number of citations a cited entity has received globally on a particular date.		InTextReferencePointer	silvio.peroni@unibo.it	http://purl.org/spar/c4o/$1				False													c4o																	
cabi	CABI Digital Library	https://www.cabidigitallibrary.org	Research and learning in agriculture, the environment and the applied life sciences	^\d+$	20000614040		https://www.cabi.org/cabebooks/ebook/$1				False																														
cabri	Common Access to Biological Resources and Information Project	http://www.cabri.org/	CABRI (Common Access to Biotechnological Resources and Information) is an online service where users can search a number of European Biological Resource Centre catalogues. It lists the availability of a particular organism or genetic resource and defines the set of technical specifications and procedures which should be used to handle it.	^([A-Za-z]+)?(\_)?([A-Za-z-]+)\:([A-Za-z0-9 ]+)$	dsmz_mutz-id:ACC 291	paolo.romano@hsanmartino.it	http://www.cabri.org/CABRI/srs-bin/wgetz?-e+-page+EntryPage+[$1]				False				CABRI						2380				cabri	cabri															
cadsr	Cancer Data Standards Registry and Repository	https://wiki.nci.nih.gov/display/caDSR/caDSR+Wiki	The US National Cancer Institute (NCI) maintains and administers data elements, forms, models, and components of these items in a metadata registry referred to as the Cancer Data Standards Registry and Repository, or caDSR.	^[0-9]*$	3771992		https://cadsrapi.nci.nih.gov/cadsrapi4/GetXML?query=DataElement[@publicId=$1]				False														cadsr	cadsr															
caloha	CALIPHO Group Ontology of Human Anatomy	https://github.com/calipho-sib/controlled-vocabulary	This is a code repository for the SIB - Swiss Institute of Bioinformatics CALIPHO group neXtProt project, which is a comprehensive human-centric discovery platform, that offers a integration of and navigation through protein-related data. CALIPHO is an interdisciplinary team which aims to use a variety of methodologies to help uncover the function of uncharacterized human proteins.	^TS-\d+$	TS-0001	Paula.Duek@sib.swiss	https://www.nextprot.org/term/$1		https://raw.githubusercontent.com/calipho-sib/controlled-vocabulary/master/caloha.obo		False																														
cameo	Continuous Automated Model Evaluation	https://cameo3d.org	The goal of the CAMEO (Continuous Automated Model EvaluatiOn) community project is to continuously evaluate the accuracy and reliability of protein structure prediction servers, offering scores on  tertiary and quaternary structure prediction, model quality estimation, accessible surface area prediction, ligand binding site residue prediction and contact prediction services in a fully automated manner. These predictions are regularly compared against reference structures from PDB.	^[0-9\-_]+$	2019-08-03_00000089_1	torsten.schwede@unibas.ch	https://www.cameo3d.org/sp/targets/target/$1				False				CAMEO										cameo	cameo															
cao	Chemical Analysis Ontology	https://champ.stuchalk.domains.unf.edu	An ontology developed as part of the Chemical Analysis Metadata Project (ChAMP) as a resource to semantically annotate standards developed using the ChAMP platform. (source: CAO ontology)	^\d+$	000064	williams.antony@epa.gov	http://champ-project.org/images/ontology/cao.owl#CAO_$1				False	CAO				CAO												cao													
caps	CAPS-DB	http://www.bioinsilico.org/cgi-bin/CAPSDB/staticHTML/home	CAPS-DB is a structural classification of helix-cappings or caps compiled from protein structures. The regions of the polypeptide chain immediately preceding or following an alpha-helix are known as Nt- and Ct cappings, respectively. Caps extracted from protein structures have been structurally classified based on geometry and conformation and organized in a tree-like hierarchical classification where the different levels correspond to different properties of the caps.	^\d+$	434		http://www.bioinsilico.org/cgi-bin/CAPSDB/getCAPScluster?nidcl=$1				False				CAPS										caps	caps															
carnegie.stage	Carnegie Stage	https://embryology.med.unsw.edu.au/embryology/index.php/Carnegie_Stages	One of the 23 stages of embryo development	^\d+$	20		https://embryology.med.unsw.edu.au/embryology/index.php/Carnegie_Stages#Stage_$1				False																														
caro	Common Anatomy Reference Ontology	https://github.com/obophenotype/caro/	The Common Anatomy Reference Ontology (CARO) is being developed to facilitate interoperability between existing anatomy ontologies for different species, and will provide a template for building new anatomy ontologies.	^\d{7}$	0000000	haendel@ohsu.edu	http://purl.obolibrary.org/obo/CARO_$1		http://purl.obolibrary.org/obo/caro.obo		False	CARO			CARO	CARO											caro	caro	CARO												
cas	CAS Registry Number	https://commonchemistry.cas.org/	CAS (Chemical Abstracts Service) is a division of the American Chemical Society and is the producer of comprehensive databases of chemical information.	^\d{1,7}\-\d{2}\-\d$	50-00-0	ajacobs@cas.org	https://commonchemistry.cas.org/detail?cas_rn=$1			CASID|CAS_RN|SECONDARY_CAS_RN|cas_id	False				CAS			000446			1002	2.16.840.1.113883.6.61			cas	cas						cas					P231				
casspc	Eschmeyer's Catalog of Fishes	https://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatmain.asp		^\d+$	5359		https://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=$1				True																														
cath	CATH Protein Structural Domain Superfamily	http://www.cathdb.info	CATH is a classification of protein structural domains. We group protein domains into superfamilies when there is sufficient evidence they have diverged from a common ancestor. CATH can be used to predict structural and functional information directly from protein sequence.	^[1-6]\.[0-9]+\.[0-9]+\.[0-9]+$	1.10.8.10	c.orengo@ucl.ac.uk	http://www.cathdb.info/cathnode/$1				False				CATH						2700		nbdc01888		cath	cath						cath	r3d100012629								
cath.domain	CATH domain	http://www.cathdb.info/	The CATH database is a hierarchical domain classification of protein structures in the Protein Data Bank. Protein structures are classified using a combination of automated and manual procedures. There are four major levels in this hierarchy; Class (secondary structure classification, e.g. mostly alpha), Architecture (classification based on overall shape), Topology (fold family) and Homologous superfamily (protein domains which are thought to share a common ancestor). This colelction is concerned with CATH domains.	^\w+$	1cukA01		http://www.cathdb.info/domain/$1				False				CATH.DOMAIN						1040				cath.domain	cath.domain															
cath.superfamily	CATH superfamily	http://www.cathdb.info/	The CATH database is a hierarchical domain classification of protein structures in the Protein Data Bank. Protein structures are classified using a combination of automated and manual procedures. There are four major levels in this hierarchy; Class (secondary structure classification, e.g. mostly alpha), Architecture (classification based on overall shape), Topology (fold family) and  Homologous superfamily (protein domains which are thought to share a common ancestor). This colelction is concerned with superfamily classification.	^\d+(\.\d+(\.\d+(\.\d+)?)?)?$	1.10.10.200		http://www.cathdb.info/cathnode/$1				False				CATH.SUPERFAMILY										cath.superfamily	cath.superfamily													cath		
cattleqtldb	Animal Genome Cattle QTL	https://www.animalgenome.org/QTLdb	The Animal Quantitative Trait Loci (QTL) database (Animal QTLdb) is designed to house publicly all available QTL and single-nucleotide polymorphism/gene association data on livestock animal species. This collection references cattle QTLs.	^\d+$	4685		https://www.animalgenome.org/QTLdb/q?id=QTL_ID:$1				False				CATTLEQTLDB										cattleqtldb	cattleqtldb						cattleqtldb							qtldb		
cazy	Carbohydrate Active EnZYmes	http://www.cazy.org/	The Carbohydrate-Active Enzyme (CAZy) database is a resource specialized in enzymes that build and breakdown complex carbohydrates and glycoconjugates. These enzymes are classified into families based on structural features.	^(GT|GH|PL|CE|CBM)\d+(\_\d+)?$	GT10	nicolas.terrapon@univ-amu.fr	http://www.cazy.org/$1.html				False				CAZY										cazy	cazy						cazy	r3d100012321			DB-0136					
cba	Chinese Biological Abstracts	http://www.cba.ac.cn	CBA: http://www.cba.ac.cn/ and the Shanghai Institutes for Biological Sciences (SIBS at http://www.sibs.ac.cn/) provide EBI with citation data not available in MEDLINE.	^\d+$	375364		https://europepmc.org/article/CBA/$1				False																														
cbioportal	The cBioPortal for Cancer Genomics	http://www.cbioportal.org	The cBioPortal for Cancer Genomics provides visualization, analysis and download of large-scale cancer genomics data sets.	^[a-z0-9\_]+$	laml_tcga_pub	gaoj@mskcc.org	https://www.cbioportal.org/study/summary?id=$1				False														cbioportal	cbioportal															
cc	Creative Commons Rights Expression Language	https://creativecommons.org/ns	 The Creative Commons Rights Expression Language (ccREL) lets you describe copyright licenses in RDF. For more information on describing licenses in RDF and attaching those descriptions to digital works, see [ccREL](https://wiki.creativecommons.org/CC_REL) in the [Creative Commons wiki](https://wiki.creativecommons.org/).	^\w+$	Work		https://creativecommons.org/ns#$1				False	CC												cc														cc			
ccdc	CCDC Number	https://www.ccdc.cam.ac.uk/	The Cambridge Crystallographic Data Centre (CCDC) develops and maintains the Cambridge Stuctural Database, the world's most comprehensive archive of small-molecule crystal structure data. A CCDC Number is a unique identifier assigned to a dataset deposited with the CCDC.	^\d{6,7}$	1829126		https://www.ccdc.cam.ac.uk/services/structures?pid=ccdc:$1&sid=IDORG				False														ccdc																
ccds	Consensus CDS	http://www.ncbi.nlm.nih.gov/CCDS/	The Consensus CDS (CCDS) project is a collaborative effort to identify a core set of human and mouse protein coding regions that are consistently annotated and of high quality. The CCDS set is calculated following coordinated whole genome annotation updates carried out by the NCBI, WTSI, and Ensembl. The long term goal is to support convergence towards a standard set of gene annotations.	^CCDS\d+(\.\d+)?$	CCDS12976	murphyte@ncbi.nlm.nih.gov	http://www.ncbi.nlm.nih.gov/CCDS/CcdsBrowse.cgi?REQUEST=CCDS&DATA=$1				False				CCDS								nbdc00023		ccds	ccds						ccds			Ccds	DB-0187					
ccf	Human Reference Atlas Common Coordinate Framework Ontology	https://bioportal.bioontology.org/ontologies/CCF	The Common Coordinate Framework (CCF) Ontology is an application ontology built to support the development of the Human Reference Atlas (HRA).  It unifies vocabulary for HRA construction and usage—making it possible to ingest external data sources; supporting uniform tissue sample registration that includes the spatial positioning and semantic annotations within 3D reference organs; and supporting user-formulated cross-domain queries over tissue donor properties, anatomical structures, cell types, biomarkers, and 3D space. The CCF Ontology consists of three major ontologies. The Biological Structure Ontology records anatomical structures, cell types, and biomarkers (ASCT+B) and the relationships between them.  The ASCT+B tables are authored by human experts using templated Google Sheets. The biomarkers, cell types, and anatomical structures are mapped to existing ontologies (Uberon/FMA, CL, HGNC) whenever possible.  All relationships between anatomical structures and from cell types to anatomical structures are valid Uberon and CL relationships. The Spatial Ontology defines the shape, size, location, and rotation of experimental tissue and data major anatomical structures in the 3D Reference Object Library. The Specimen Ontology captures the sex, age, and other information on donors that provided tissue data used in the construction of the HRA.	^\S+$	extraction_set	katy@indiana.edu	https://bioportal.bioontology.org/ontologies/CCF/?p=classes&conceptid=http%3A%2F%2Fpurl.org%2Fccf%2F$1				False	CCF				CCF												ccf					r3d100012657								
ccle	Cancer Cell Line Encyclopedia Cells	https://www.cbioportal.org/study/summary?id=ccle_broad_2019	Datasets around different cancer cell lines generated by the Broad Institute and Novartis		BT20_BREAST		https://www.cbioportal.org/patient?studyId=ccle_broad_2019&caseId=$1			ccle.cell	False						CCLE																								
cco	Cell Cycle Ontology	http://www.semantic-systems-biology.org/apo	The Cell Cycle Ontology is an application ontology that captures and integrates detailed knowledge on the cell cycle process.	^\w+$	0000003	kuiper@bio.ntnu.no	https://www.ebi.ac.uk/ols4/ontologies/cco/terms?obo_id=CCO:$1	https://www.bio.ntnu.no/ontology/CCO/cco.owl	https://www.bio.ntnu.no/ontology/CCO/cco.obo		False	CCO		20461	CCO	CCO									cco	cco		cco				cco									
ccrid	National Experimental Cell Resource Sharing Platform	http://www.cellresource.cn	Cell line databases/resources		4201PAT-CCTCC00348		http://www.cellresource.cn/cellsearch.aspx?sc=1&where=$1				False						CCRID																								
cdao	Comparative Data Analysis Ontology	https://github.com/evoinfo/cdao	a formalization of concepts and relations relevant to evolutionary comparative analysis	^\d{7}$	0000072	balhoff@renci.org	http://purl.obolibrary.org/obo/CDAO_$1				False	CDAO	CDAO		CDAO	CDAO											cdao	cdao	CDAO												
cdd	Conserved Domain Database at NCBI	https://www.ncbi.nlm.nih.gov/sites/entrez?db=cdd	The Conserved Domain Database (CDD) is a collection of multiple sequence alignments and derived database search models, which represent protein domains conserved in molecular evolution.	^(cd)?\d{5}$	cd00400		https://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=$1				False				CDD						2666		nbdc00401		cdd	cdd						cdd	r3d100012041			DB-0214					
cdno	Compositional Dietary Nutrition Ontology	https://cdno.info/	The CDNO provides structured terminologies to describe nutritional attributes of material entities that contribute to human diet. These terms are intended primarily to be associated with datasets that quantify concentration of chemical nutritional components derived from samples taken from any stage in the production of food raw materials (including from crops, livestock, fisheries) and through processing and supply chains. Additional knowledge associated with these dietary sources may be represented by terms that describe functional, physical and other attributes. Whilst recognising that dietary nutrients within food substrates may be present as complex and dynamic physical and chemical structures or mixtures, CDNO focuses on components typically quantified in an analytical chemistry laboratory. The primary CDNO class ‘dietary nutritional component’ contains hierarchical sets of terms organised to reflect commonly used classifications of chemical food composition. This class does not represent an exhaustive classification of chemical components, but focuses on structuring terms according to widely accepted categories. This class is independent of, but may be used in conjunction with, classes that describe ‘analytical methods’ for quantification, ‘physical properties’ or ‘dietary function’. Quantification data may be used and reported in research literature, to inform food composition tables and labelling, or for supply chain quality assurance and control. More specifically, terms within the ‘nutritional component concentration’ class may be used to represent quantification of components described in the ‘dietary nutritional component’ class. Concentration data are intended to be described in conjunction with post-composed metadata concepts, such as represented by the Food Ontology (FoodOn) ‘Food product by organism’, which derives from some food or anatomical entity and a NCBI organismal classification ontology (NCBITaxon) entity. The common vocabulary and relationships defined within CDNO should facilitate description, communication and exchange of material entity-derived nutritional composition datasets typically generated by analytical laboratories. The organisation of the vocabulary is structured to reflect common categories variously used by those involved in crop, livestock or other organismal production, associated R&D and breeding, as well as the food processing and supply sector, and nutritionists, inlcuding compilers and users of food composition databases. The CDNO therefore supports characterisation of genetic diversity and management of biodiversity collections, as well as sharing of knowledge relating to dietary composition between a wider set of researchers, breeders, farmers, processors and other stakeholders. Further development of the functional class should also assist in understanding how interactions between organismal genetic and environmental variation contribute to human diet and health in the farm to fork continuum.	^\d{7}$	0000013	landreshdz@gmail.com	http://purl.obolibrary.org/obo/CDNO_$1				False	CDNO	CDNO			CDNO											cdno	cdno	CDNO												
cdpd	Canadian Drug Product Database	http://webprod3.hc-sc.gc.ca/dpd-bdpp/index-eng.jsp	The Canadian Drug Product Database (DPD) contains product specific information on drugs approved for use in Canada, and includes human pharmaceutical and biological drugs, veterinary drugs and disinfectant products. This information includes 'brand name', 'route of administration' and a Canadian 'Drug Identification Number' (DIN).	^\d+$	63250		http://webprod3.hc-sc.gc.ca/dpd-bdpp/info.do?lang=eng&code=$1				False				CDPD										cdpd	cdpd															
cdt	Current Dental Terminology	https://www.ada.org/publications/CDT	"The Code on Dental Procedures and Nomenclature (the CDT Code) assures consistency in documenting dental treatment.

Note that CDT codes should look like D2150 but for some reason the ontology conversion that is reused across OBO rewrites them as CPT_000 + the four numbers without the leading D."	^\d{7}$	1000001			https://raw.githubusercontent.com/oral-health-and-disease-ontologies/ohd-ontology/f19378ff192b6f9ea16133e85671e8359fc371cd/src/ontology/archive/CDTCodes%20as%20Classes_pruned.owl			False			20299								2.16.840.1.113883.6.116																			
cell_biolabs	Cell Biolabs cell line products	https://www.cellbiolabs.com	Cell line collections (Providers)		AKR-270		https://www.cellbiolabs.com/search?keywords=$1				False						Cell_Biolabs																								
cell_model_passport	Sanger Cell Model Passports	https://cellmodelpassports.sanger.ac.uk/	Cell line databases/resources		SIDM01262		https://cellmodelpassports.sanger.ac.uk/passports/$1				False						Cell_Model_Passport																								
cellbank.australia	CellBank Australia	https://www.cellbankaustralia.com/cellbank-australia-exclusive-lines/	CellBank Australia collects novel cell lines, developed by Australian researchers, submits these cell lines to rigorous testing to confirm their integrity, and then distributes the cell lines to researchers throughout the world.		ab-1-ha		https://www.cellbankaustralia.com/$1.html				False						CBA																								
