#curie_map:
#  CHEMINF: http://semanticscience.org/resource/CHEMINF_
#  GO: http://purl.obolibrary.org/obo/GO_
#  bartoc: http://bartoc.org/en/node/
#  bioportal: http://bioportal.bioontology.org/ontologies/
#  bioregistry: https://bioregistry.io/registry/
#  cellosaurus: https://www.cellosaurus.org/CVCL_
#  edam: http://edamontology.org/
#  fairsharing: https://fairsharing.org/
#  integbio: https://catalog.integbio.jp/dbcatalog/en/record/
#  miriam: https://registry.identifiers.org/registry/
#  pathguide: http://www.pathguide.org/fullrecord.php?DBID=
#  prefixcommons: https://bioregistry.io/metaregistry/prefixcommons/
#  re3data: https://www.re3data.org/repository/
#  rrid: 'https://scicrunch.org/resolver/RRID:'
#  semapv: https://w3id.org/semapv/vocab/
#  skos: http://www.w3.org/2004/02/skos/core#
#  togoid: https://togoid.dbcls.jp/ontology#
#  uniprot: http://purl.uniprot.org/uniprot/
#  wikidata: http://www.wikidata.org/entity/
#  xsd: http://www.w3.org/2001/XMLSchema#
#mapping_set_id: https://github.com/biopragmatics/bioregistry/raw/refs/heads/main/exports/analyses/mapping_checking/mapping_embedding_similarities.tsv
#mapping_set_title: Bioregistry Mapping Similarity Analysis
#license: https://creativecommons.org/publicdomain/zero/1.0/
#issue_tracker: https://github.com/biopragmatics/bioregistry/issues
#extension_definitions:
#- slot_name: parts_used
#  type_hint: xsd:string
#- slot_name: reference_text
#  type_hint: xsd:string
#- slot_name: mapping_text
#  type_hint: xsd:string
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	similarity_score	parts_used	reference_text	mapping_text
bioregistry:mgi	Mouse Genome Informatics	skos:exactMatch	rrid:MGI	Mouse Genome Informatics (MGI)	semapv:LexicalMatching	0.917314827	name,homepage	Mouse Genome Informatics The Mouse Genome Database (MGD) project includes data on gene characterization, nomenclature, mapping, gene homologies among mammals, sequence links, phenotypes, allelic variants and mutants, and strain data. http://www.informatics.jax.org/	Mouse Genome Informatics (MGI) http://www.informatics.jax.org
bioregistry:iso.639-3	ISO 639 3-Letter Language Code	skos:exactMatch	fairsharing:FAIRsharing.33aa85	ISO 639-3 Codes for the representation of names of languages - Part 3: Alpha-3 code for comprehensive coverage of languages	semapv:LexicalMatching	0.917386889	name,description,homepage	ISO 639 3-Letter Language Code Since the introduction of ISO 639-3 in 2007, access to language information has increased tremendously. The code set initially adopted as ISO639-3:2007 was based on a harmonization of ISO 639-2 with the code set of SIL’s Ethnologue 15th edition and languages from Linguist List to form a comprehensive set of code elements for world languages. SIL International, the Language Coding Agency for 639-3, relies on the contributions of linguists, language coding experts, and language users around the world to maintain and improve the code set through the change request process defined in the ISO 639 standard. [from homepage] https://iso639-3.sil.org	ISO 639-3 Codes for the representation of names of languages - Part 3: Alpha-3 code for comprehensive coverage of languages ISO 639-3 provides a comprehensive set of identifiers for all languages for use in a wide range of applications, including linguistics, lexicography and internationalization of information systems. It attempts to represent all known full languages. ISO 639 provides three language code sets: one is a two-letter code (ISO 639-1) and two others are three-letter codes (ISO 639-2 and ISO 639-3) for the representation of names of languages. The three-letter codes in ISO 639-2 and ISO 639-3 are complementary and compatible. The two codes have been devised for different purposes. The set of individual languages listed in ISO 639-2 is a subset of those listed in ISO 639-3. The codes differ in that ISO 639-2 includes code elements representing some individual languages and also collections of languages, while ISO 639-3 includes code elements for all known individual languages but not for collections of languages. Overall, the set of individual languages listed in ISO 639-3 is much larger than the set of individual languages listed in ISO 639-2. https://www.iso.org/standard/39534.html
bioregistry:arrayexpress	ArrayExpress	skos:exactMatch	re3data:r3d100010222	Array Express	semapv:LexicalMatching	0.917410731	name,description,homepage	ArrayExpress ArrayExpress is a public repository for microarray data, which is aimed at storing MIAME-compliant data in accordance with Microarray Gene Expression Data (MGED) recommendations. https://www.ebi.ac.uk/arrayexpress/	Array Express ArrayExpress is one of the major international repositories for high-throughput functional genomics data from both microarray and high-throughput sequencing studies, many of which are supported by peer-reviewed publications. Data sets are submitted directly to ArrayExpress and curated by a team of specialist biological curators. In the past (until 2018) datasets from the NCBI Gene Expression Omnibus database were imported on a weekly basis. Data is collected to MIAME and MINSEQE standards. https://www.ebi.ac.uk/biostudies/arrayexpress
bioregistry:so	Sequence types and features ontology	skos:exactMatch	fairsharing:FAIRsharing.6bc7h9	Sequence Ontology	semapv:LexicalMatching	0.917486668	name,description,homepage	Sequence types and features ontology The Sequence Ontology (SO) is a structured controlled vocabulary for the parts of a genomic annotation. It provides a common set of terms and definitions to facilitate the exchange, analysis and management of genomic data. http://www.sequenceontology.org/	Sequence Ontology SO is a collaborative ontology project for the definition of sequence features used in biological sequence annotation. The Sequence Ontology is a set of terms and relationships used to describe the features and attributes of biological sequence. SO includes different kinds of features which can be located on the sequence. http://www.sequenceontology.org/
bioregistry:nmr	NMR-instrument specific component of metabolomics investigations	skos:exactMatch	obofoundry:nmr	NMR-instrument specific component of metabolomics investigations	semapv:LexicalMatching	0.91754663	name,description,homepage	NMR-instrument specific component of metabolomics investigations nmrCV is a controlled vocabulary to deliver standardized descriptors for the open mark-up language for NMR raw and spectrum data, sanctioned by the metabolomics standards initiative msi. http://msi-ontology.sourceforge.net/	NMR-instrument specific component of metabolomics investigations Descriptors relevant to the experimental conditions of the Nuclear Magnetic Resonance (NMR) component in a metabolomics investigation. http://msi-ontology.sourceforge.net/
bioregistry:nmr	NMR-instrument specific component of metabolomics investigations	skos:exactMatch	prefixcommons:nmr	NMR-instrument specific component of metabolomics investigations	semapv:LexicalMatching	0.91754663	name,description,homepage	NMR-instrument specific component of metabolomics investigations nmrCV is a controlled vocabulary to deliver standardized descriptors for the open mark-up language for NMR raw and spectrum data, sanctioned by the metabolomics standards initiative msi. http://msi-ontology.sourceforge.net/	NMR-instrument specific component of metabolomics investigations Descriptors relevant to the experimental conditions of the Nuclear Magnetic Resonance (NMR) component in a metabolomics investigation. http://msi-ontology.sourceforge.net/
bioregistry:ma	Mouse adult gross anatomy	skos:exactMatch	fairsharing:FAIRsharing.pdwqcr	Mouse Adult Gross Anatomy Ontology	semapv:LexicalMatching	0.917617917	name,description,homepage	Mouse adult gross anatomy A structured controlled vocabulary of the adult anatomy of the mouse (Mus) https://github.com/obophenotype/adult-mouse-anatomy-ontology	"Mouse Adult Gross Anatomy Ontology The Anatomy Ontology for the Adult Mouse is organized spatially and functionally, using ""is a"" and ""part of"" relationships to describe the anatomy of the postnatal mouse. Anatomical terms are arranged as a hierarchy from body region or organ system to tissue substructure. Modeling the anatomy hierarchically makes it possible to record expression results from assays with differing spatial resolution in a consistent and integrated manner. Organizing the anatomical terms as a Directed Acyclic Graph (DAG), i.e., in which a term can have more than one parent, allows presentation of the anatomy from multiple perspectives. In various locations, this ontology is also referred to as: 'Mouse Adult Gross Anatomy ontology', 'Adult Mouse Anatomy', 'Mouse Anatomy' or 'Mouse anatomical entity'. http://www.informatics.jax.org/vocab/gxd/ma_ontology/"
bioregistry:medlineplus	MedlinePlus	skos:exactMatch	hl7:2.16.840.1.113883.6.173	MedlinePlus	semapv:LexicalMatching	0.917637408	name,description	MedlinePlus MedlinePlus is the National Institutes of Health's Web site for patients and their families and friends. Produced by the National Library of Medicine, it provides information about diseases, conditions, and wellness issues using non-technical terms and language. http://www.nlm.nih.gov/medlineplus/	MedlinePlus MedlinePlus Health Topics. Bethesda (MD): National Library of Medicine, August 14, 2004.
bioregistry:kegg.drug	KEGG Drug	skos:exactMatch	prefixcommons:kegg.drug	KEGG Drug	semapv:LexicalMatching	0.917724073	name,description,homepage	KEGG Drug KEGG DRUG contains chemical structures of drugs and additional information such as therapeutic categories and target molecules. https://www.genome.jp/kegg/drug/	KEGG Drug KEGG DRUG is a unified drug information resource that contains chemical structures and/or chemical components of all prescription and OTC drugs in Japan, most prescription drugs in the USA, and many prescription drugs in Europe. http://www.genome.jp/kegg/drug/
bioregistry:chebi	Chemical Entities of Biological Interest	skos:exactMatch	wikidata:P683	ChEBI ID	semapv:LexicalMatching	0.917778611	name,description,homepage	Chemical Entities of Biological Interest Chemical Entities of Biological Interest (ChEBI) is a freely available dictionary of molecular entities focused on 'small' chemical compounds. http://www.ebi.ac.uk/chebi	ChEBI ID identifier from database and ontology of molecular entities focused on 'small' chemical compounds https://www.ebi.ac.uk/chebi
bioregistry:schema	Schema.org	skos:exactMatch	bartoc:18250	Schema.org vocabulary	semapv:LexicalMatching	0.917793691	name,description,homepage	Schema.org Schema.org is a collaborative, community activity with a mission to create, maintain, and promote schemas for structured data on the Internet, on web pages, in email messages, and beyond. https://schema.org	Schema.org vocabulary A structured data vocabulary (schema) for the web. It was created by major search engines like Google, Bing, Yahoo!, and Yandex to help webmasters provide search engines with clear, structured information about their websites' content. http://schema.org/
bioregistry:t4fs	terms4FAIRskills	skos:exactMatch	aberowl:T4FS	terms4FAIRskills	semapv:LexicalMatching	0.917830467	name,description,homepage	terms4FAIRskills A terminology for the skills necessary to make data FAIR and to keep it FAIR. https://github.com/terms4fairskills/FAIRterminology	terms4FAIRskills terms4FAIRskills describes the competencies, skills and knowledge associated with making and keeping data FAIR.\nThis terminology applies to a variety of use cases, including: assisting with the creation and assessment of stewardship curricula; facilitating the annotation, discovery and evaluation of FAIR-enabling materials \(e.g. training\) and resources; enabling the formalisation of job descriptions and CVs with recognised, structured competencies.\nIt is intended to be of use to trainers who teach FAIR data skills, researchers who wish to identify skill gaps in their teams and managers who need to recruit individuals to relevant roles. https://github.com/terms4fairskills/FAIRterminology
bioregistry:qudt	Quantities, Units, Dimensions, and Types Ontology	skos:exactMatch	fairsharing:FAIRsharing.d3pqw7	Quantities, Units, Dimensions and Types 	semapv:LexicalMatching	0.917830944	name,description,homepage	Quantities, Units, Dimensions, and Types Ontology Ontologies that aim to provide semantic specifications for units of measure, quantity kind, dimensions and data types. https://qudt.org	Quantities, Units, Dimensions and Types The QUDT, or 'Quantity, Unit, Dimension and Type' collection of ontologies define the base classes properties, and restrictions used for modeling physical quantities, units of measure, and their dimensions in various measurement systems. QUDT provides a unified model of measurable quantities, units for measuring different kinds of quantities, the numerical values of quantities in different units of measure and the data structures and data types used to store and manipulate these objects in software. This schema, expressed in both SHACL and OWL, is a foundation for a basic treatment of units. Originally developed by TopQuadrant for the NASA Exploration Initiatives Ontology Models (NExIOM) project, they now form the basis of the NASA QUDT Handbook. QUDT aims to improve interoperability of data and the specification of information structures through industry standards for Units of Measure, Quantity Kinds, Dimensions and Data Types. https://qudt.org/
bioregistry:hmdb	Human Metabolome Database	skos:exactMatch	pathguide:244	Human Metabolome Database	semapv:LexicalMatching	0.91783905	name,homepage	Human Metabolome Database The Human Metabolome Database (HMDB) is a database containing detailed information about small molecule metabolites found in the human body.It contains or links 1) chemical 2) clinical and 3) molecular biology/biochemistry data. http://www.hmdb.ca/	Human Metabolome Database http://www.hmdb.ca/
bioregistry:obcs	Ontology of Biological and Clinical Statistics	skos:exactMatch	obofoundry:obcs	Ontology of Biological and Clinical Statistics	semapv:LexicalMatching	0.917852461	name,description,homepage	Ontology of Biological and Clinical Statistics OBCS stands for the Ontology of Biological and Clinical Statistics. OBCS is an ontology in the domain of biological and clinical statistics. It is aligned with the Basic Formal Ontology (BFO) and the Ontology for Biomedical Investigations (OBI) https://github.com/obcs/obcs	Ontology of Biological and Clinical Statistics A biomedical ontology in the domain of biological and clinical statistics. https://github.com/obcs/obcs
bioregistry:cdao	Comparative Data Analysis Ontology	skos:exactMatch	fairsharing:FAIRsharing.kay31r	Comparative Data Analysis Ontology	semapv:LexicalMatching	0.917853832	name,description,homepage	Comparative Data Analysis Ontology a formalization of concepts and relations relevant to evolutionary comparative analysis https://github.com/evoinfo/cdao	Comparative Data Analysis Ontology Comparative Data Analysis Ontology (CDAO) is a formalization of concepts and relations relevant to evolutionary comparative analysis, such as phylogenetic trees, OTUs (operational taxonomic units) and compared characters (including molecular characters as well as other types). https://github.com/evoinfo/cdao
bioregistry:mirtarbase	mirTarBase	skos:exactMatch	pathguide:715	The Experimentally Validated microRNA-target Interactions Database	semapv:LexicalMatching	0.91785717	name,homepage	mirTarBase miRTarBase is a database of miRNA-target interactions (MTIs), collected manually from relevant literature, following Natural Language Processing of the text to identify research articles related to functional studies of miRNAs. Generally, the collected MTIs are validated experimentally by reporter assay, western blot, microarray and next-generation sequencing experiments. https://mirtarbase.cuhk.edu.cn	The Experimentally Validated microRNA-target Interactions Database http://mirtarbase.mbc.nctu.edu.tw/
bioregistry:prosite	PROSITE	skos:exactMatch	go:Prosite	Prosite database of protein families and domains	semapv:LexicalMatching	0.91787076	name,homepage	PROSITE PROSITE consists of documentation entries describing protein domains, families and functional sites as well as associated patterns and profiles to identify them. https://www.expasy.org/prosite/	Prosite database of protein families and domains https://prosite.expasy.org/
bioregistry:uo	Units of measurement ontology	skos:exactMatch	prefixcommons:uo	Unit Ontology	semapv:LexicalMatching	0.91797173	name,description,homepage	Units of measurement ontology Ontology of standardized units https://github.com/bio-ontology-research-group/unit-ontology	Unit Ontology Ontology of standardized units in conjunction with PATO http://code.google.com/p/unit-ontology/
bioregistry:bibo	The Bibliographic Ontology	skos:exactMatch	bartoc:17844	The Bibliographic Ontology	semapv:LexicalMatching	0.917980433	name,description,homepage	The Bibliographic Ontology The Bibliographic Ontology Specification provides main concepts and properties for describing citations and bibliographic references (i.e. quotes, books, articles, etc) on the Semantic Web. http://purl.org/ontology/bibo	The Bibliographic Ontology The Bibliographic Ontology describes bibliographic things on the semantic Web in RDF. This ontology can be used as a citation ontology, as a document classification ontology, or simply as a way to describe any kind of document in RDF. It has been inspired by many existing document description metadata formats, and can be used as a common ground for converting other bibliographic data sources. https://www.dublincore.org/specifications/bibo/bibo/
bioregistry:aao	Amphibian gross anatomy	skos:exactMatch	obofoundry:aao	Amphibian gross anatomy	semapv:LexicalMatching	0.918020964	name,homepage	Amphibian gross anatomy A structured controlled vocabulary of the anatomy of Amphibians. Note that AAO is currently being integrated into Uberon. http://github.com/seger/aao	Amphibian gross anatomy http://github.com/seger/aao
bioregistry:co_336	Soybean Ontology	skos:exactMatch	agroportal:CO_336	Soybean Ontology	semapv:LexicalMatching	0.918034971	name,description,homepage	Soybean Ontology The Soybean Ontology is part of the Crop Ontology (CO) project. The Crop Ontology has been created to compile validated concepts along with their inter-relationships on anatomy, structure and phenotype of Crops, on trait measurement and methods as well as on Germplasm with the multi-crop passport terms. The concepts of the CO are being used to curate agronomic databases and describe the data. The use of ontology terms to describe agronomic phenotypes and the accurate mapping of these descriptions into databases is important in comparative phenotypic and genotypic studies across species and gene-discovery experiments as it provides harmonized description of the data and therefore facilitates the retrieval of information. http://www.cropontology.org/	Soybean Ontology Soybean Trait Dictionary in template v5 http://www.cropontology.org/
bioregistry:envthes	Thesaurus for long-term ecological research, monitoring, experiments	skos:exactMatch	bartoc:20684	Environmental Thesaurus	semapv:LexicalMatching	0.9182024	name,description,homepage	Thesaurus for long-term ecological research, monitoring, experiments The Environmental Thesaurus is a controlled vocabulary built to aid integration of the data resulting from long term ecological research and monitoring in Europe (eLTER). It provides described and semantically well defined terms for later analysis and it serves as harmonized specification of parameters in the observation and measurement of ecosystem processes. https://vocabs.lter-europe.net/envthes/	Environmental Thesaurus EnvThes compiles a set of terms in order to describe in a harmonised way data resulting from observations and measurements of ecosystem processes across different domain specific sciences. It is used by DEIMS-SDR for common keywords for annotation and quering metadata purposes. https://vocabs.lter-europe.net/envthes/
bioregistry:ppo	Plant Phenology Ontology	skos:exactMatch	ontobee:PPO	Plant Phenology Ontology	semapv:LexicalMatching	0.918236911	name	Plant Phenology Ontology An ontology for describing the phenology of individual plants and populations of plants, and for integrating plant phenological data across sources and scales. https://github.com/PlantPhenoOntology/PPO	Plant Phenology Ontology
bioregistry:uniprot.mnemonic	UniProt	skos:exactMatch	togoid:UniprotMnemonic	UniProt mnemonic	semapv:LexicalMatching	0.918249488	name,description	UniProt The UniProt Knowledgebase (UniProtKB) is a comprehensive resource for protein sequence and functional information with extensive cross-references to more than 120 external databases. Besides amino acid sequence and a description, it also provides taxonomic data and citation information. This entry represents UniProt mnemonics which combine an alphanumeric representation the protein name and a species identification code representing the biological source of the protein. https://www.uniprot.org	UniProt mnemonic This database contains information on amino acid sequences and their functions. It is composed of four core databases, UniProtKB, UniRef, UniParc, and Proteomes. UniProtKB contains two types of data, which are manually curated high quality SwissProt annotations based on literature information, and automatically annotated TrEMBL. UniRef provides results of sequence similarity searches. UniParc integrates information such as ID for other databases per sequence ID. Proteomes provides proteome data of each organism with completely sequenced genomes.
bioregistry:xsd	XML Schema Definition	skos:exactMatch	lov:xsd	XML Schema	semapv:LexicalMatching	0.918263435	name,description,homepage	XML Schema Definition This document describes the XML Schema namespace. It also contains a directory of links to these related resources, using Resource Directory Description Language. http://www.w3.org/2001/XMLSchema	XML Schema The XML Schema representation http://www.w3.org/2001/XMLSchema
bioregistry:envthes	Thesaurus for long-term ecological research, monitoring, experiments	skos:exactMatch	tib:et	Environmental Thesaurus	semapv:LexicalMatching	0.918298006	name,description,homepage	Thesaurus for long-term ecological research, monitoring, experiments The Environmental Thesaurus is a controlled vocabulary built to aid integration of the data resulting from long term ecological research and monitoring in Europe (eLTER). It provides described and semantically well defined terms for later analysis and it serves as harmonized specification of parameters in the observation and measurement of ecosystem processes. https://vocabs.lter-europe.net/envthes/	Environmental Thesaurus EnvThes compiles a set of terms in order to describe in a harmonised way data resulting from observations and measurements of ecosystem processes across different domain specific sciences. It is used by DEIMS-SDR for common keywords for annotation and quering metadata purposes. https://vocabs.lter-europe.net/envthes/en/
bioregistry:drugbank	DrugBank	skos:exactMatch	uniprot:DB-0019	Drug and drug target database	semapv:LexicalMatching	0.918302655	name,homepage	DrugBank The DrugBank database is a bioinformatics and chemoinformatics resource that combines detailed drug (i.e. chemical, pharmacological and pharmaceutical) data with comprehensive drug target (i.e. sequence, structure, and pathway) information. This collection references drug information. http://www.drugbank.ca	Drug and drug target database https://go.drugbank.com
bioregistry:scdo	Sickle Cell Disease Ontology	skos:exactMatch	fairsharing:FAIRsharing.kkq6pw	Sickle Cell Disease Ontology	semapv:LexicalMatching	0.918366611	name,description,homepage	Sickle Cell Disease Ontology An ontology for the standardization of terminology and integration of knowledge about Sickle Cell Disease. https://scdontology.h3abionet.org/	Sickle Cell Disease Ontology The Sickle Cell Disease Ontology (SCDO) project is a collaboration between H3ABioNet (Pan African Bioinformatics Network) and SPAN (Sickle Cell Disease Pan African Network). The SCDO is currently under development and its purpose is to: 1) establish community standardized SCD terms and descriptions, 2) establish canonical and hierarchical representation of knowledge on SCD, 3) links to other ontologies and bodies of work such as DO, PhenX MeSH, ICD, NCI’s thesaurus, SNOMED and OMIM. http://scdontology.h3abionet.org
bioregistry:disdriv	Disease Drivers Ontology	skos:exactMatch	bioportal:DISDRIV	Disease Drivers Ontology	semapv:LexicalMatching	0.918393373	name,description,homepage	Disease Drivers Ontology Drivers of human diseases including environmental, maternal and social exposures. https://disease-ontology.org/	Disease Drivers Ontology Ontology for drivers and triggers of human diseases, built to classify ExO ontology exposure stressors. An application ontology. Built in collaboration with EnvO, ExO, ECTO and ChEBI., Drivers of human diseases including environmental, maternal and social exposures. https://disease-ontology.org/
bioregistry:gpcrdb	G protein-coupled receptor database	skos:exactMatch	uniprot:DB-0038	Information system for G protein-coupled receptors (GPCRs)	semapv:LexicalMatching	0.918396592	name,homepage	G protein-coupled receptor database The G protein-coupled receptor database (GPCRDB) collects, large amounts of heterogeneous data on GPCRs. It contains experimental data on sequences, ligand-binding constants, mutations and oligomers, and derived data such as multiple sequence alignments and homology models. http://www.gpcrdb.org/	Information system for G protein-coupled receptors (GPCRs) https://gpcrdb.org
bioregistry:pdb.ligand	PDB ligand	skos:exactMatch	wikidata:P3636	PDB ligand ID	semapv:LexicalMatching	0.918423712	name,description,homepage	PDB ligand The Protein Data Bank is the single worldwide archive of structural data of biological macromolecules. This collection references ligands. http://www.rcsb.org	PDB ligand ID identifier for small molecules and ligands in the Protein Data Bank (PDB) http://www.wwpdb.org/
bioregistry:cvdo	Cardiovascular Disease Ontology	skos:exactMatch	bioportal:CVDO	Cardiovascular Disease Ontology	semapv:LexicalMatching	0.918426156	name,description,homepage	Cardiovascular Disease Ontology An ontology to describe entities related to cardiovascular diseases https://github.com/OpenLHS/CVDO	Cardiovascular Disease Ontology CVDO is an ontology based on the OGMS model of disease, designed to describe entities related to cardiovascular diseases (including the diseases themselves, the underlying disorders, and the related pathological processes). It is being developed at Sherbrooke University (Canada) and the INSERM research institute (Institut National de la Santé et de la Recherche Médicale). https://github.com/OpenLHS/CVDO
bioregistry:genbank	GenBank	skos:exactMatch	uniprot:DB-0028	GenBank nucleotide sequence database	semapv:LexicalMatching	0.918433011	name,homepage	GenBank GenBank ® is the NIH genetic sequence database, an annotated collection of all publicly available DNA sequences (Nucleic Acids Research, 2013 Jan;41(D1):D36-42). https://www.ncbi.nlm.nih.gov/genbank	GenBank nucleotide sequence database https://www.ncbi.nlm.nih.gov/
bioregistry:eurovoc	EuroVoc	skos:exactMatch	bartoc:15	Multilingual Thesaurus of the European Union	semapv:LexicalMatching	0.918449223	name,description,homepage	EuroVoc EuroVoc is the EU's multilingual and multidisciplinary thesaurus. It contains keywords, organized in 21 domains and 127 sub-domains, which are used to describe the content of documents in EUR-Lex. [from homepage] https://eur-lex.europa.eu/browse/eurovoc.html	Multilingual Thesaurus of the European Union EuroVoc is a multilingual, multidisciplinary thesaurus covering the activities of the EU, the European Parliament in particular. It contains terms in 23 EU languages (Bulgarian, Croatian, Czech, Danish, Dutch, English, Estonian, Finnish, French, German, Greek, Hungarian, Italian, Latvian, Lithuanian, Maltese, Polish, Portuguese, Romanian, Slovak, Slovenian, Spanish and Swedish), plus in three languages of countries which are candidates for EU accession: македонски (mk), shqip (sq) and cрпски (sr). It is a multi-disciplinary thesaurus covering fields which are sufficiently wide-ranging to encompass both Community and national points of view, with a certain emphasis on parliamentary activities. EuroVoc is a controlled set of vocabulary which can be used outside the EU institutions, particularly by parliaments. The aim of the thesaurus is to provide the information management and dissemination services with a coherent indexing tool for the effective management of their documentary resources and to enable users to carry out documentary searches using controlled vocabulary. https://op.europa.eu/en/web/eu-vocabularies/dataset/-/resource?uri=http://publications.europa.eu/resource/dataset/eurovoc
bioregistry:omim	Online Mendelian Inheritance in Man	skos:exactMatch	hl7:2.16.840.1.113883.6.174	Online Mendelian Inheritance in Man 1993	semapv:LexicalMatching	0.918486476	name,description	Online Mendelian Inheritance in Man Online Mendelian Inheritance in Man is a catalog of human genes and genetic disorders. https://omim.org/	Online Mendelian Inheritance in Man 1993 Online Mendelian Inheritance in Man (OMIM). Baltimore (MD): Johns Hopkins University, Center for Biotechnology Information, 1994.
bioregistry:doap	Description of a Project	skos:exactMatch	tib:doap	Description of a Project (DOAP) vocabulary	semapv:LexicalMatching	0.918498397	name,description,homepage	Description of a Project DOAP is a project to create an XML/RDF vocabulary to describe software projects, and in particular open source projects. https://github.com/ewilderj/doap/wiki	Description of a Project (DOAP) vocabulary The Description of a Project (DOAP) vocabulary, described using W3C RDF Schema and the Web Ontology Language. https://github.com/ewilderj/doap/wiki
bioregistry:rnacentral	RNACentral	skos:exactMatch	ncbi:RNAcentral	Noncoding RNA Sequence Database	semapv:LexicalMatching	0.918536544	name,homepage	RNACentral RNAcentral is a public resource that offers integrated access to a comprehensive and up-to-date set of non-coding RNA sequences provided by a collaborating group of Expert Databases. https://rnacentral.org/	Noncoding RNA Sequence Database http://rnacentral.org
bioregistry:wikipathways	WikiPathways	skos:exactMatch	n2t:wikipathways	Wikipathways	semapv:LexicalMatching	0.918556035	name,description,homepage	WikiPathways WikiPathways is a database of biological pathways maintained by and for the scientific community. http://www.wikipathways.org/	Wikipathways WikiPathways is a resource providing an open and public collection of pathway maps created and curated by the community in a Wiki like style. All content is under the Creative Commons Attribution 3.0 Unported license. http://www.wikipathways.org/
bioregistry:edam	EDAM Ontology	skos:exactMatch	fairsharing:FAIRsharing.a6r7zs	The bioscientific data analysis and management ontology	semapv:LexicalMatching	0.918607712	name,description,homepage	EDAM Ontology EDAM is an ontology of general bioinformatics concepts, including topics, data types, formats, identifiers and operations. EDAM provides a controlled vocabulary for the description, in semantic terms, of things such as: web services (e.g. WSDL files), applications, tool collections and packages, work-benches and workflow software, databases and ontologies, XSD data schema and data objects, data syntax and file formats, web portals and pages, resource catalogues and documents (such as scientific publications). http://edamontology.org	The bioscientific data analysis and management ontology EDAM is a comprehensive ontology of well-established, familiar concepts that are prevalent within bioscientific data analysis and data management (including computational biology, bioinformatics, and bioimage informatics). EDAM includes topics, operations, types of data and data identifiers, and data formats, relevant in data analysis and data management in life sciences. EDAM provides a set of concepts with preferred terms and synonyms, related terms, definitions, and other information - organised into a simple and intuitive hierarchy for convenient use. EDAM is particularly suitable for semantic annotations and categorisation of diverse resources related to data analysis and management: e.g. tools, workflows, learning materials, or standards. EDAM is also useful in data management itself, for recording provenance metadata of processed bioscientific data. http://edamontology.org
bioregistry:ogms	Ontology for General Medical Science	skos:exactMatch	obofoundry:ogms	Ontology for General Medical Science	semapv:LexicalMatching	0.918655097	name,description,homepage	Ontology for General Medical Science The Ontology for General Medical Science (OGMS) is an ontology of entities involved in a clinical encounter. OGMS includes very general terms that are used across medical disciplines, including: 'disease', 'disorder', 'disease course', 'diagnosis', 'patient', and 'healthcare provider'. OGMS uses the Basic Formal Ontology (BFO) as an upper-level ontology. The scope of OGMS is restricted to humans, but many terms can be applied to a variety of organisms. OGMS provides a formal theory of disease that can be further elaborated by specific disease ontologies. This theory is implemented using OWL-DL and OBO Relation Ontology relations and is available in OWL and OBO formats. OGMS is based on the papers Toward an Ontological Treatment of Disease and Diagnosis and On Carcinomas and Other Pathological Entities. The ontology attempts to address some of the issues raised at the Workshop on Ontology of Diseases (Dallas, TX) and the Signs, Symptoms, and Findings Workshop(Milan, Italy). OGMS was formerly called the clinical phenotype ontology. Terms from OGMS hang from the Basic Formal Ontology. https://github.com/OGMS/ogms	Ontology for General Medical Science An ontology for representing treatment of disease and diagnosis and on carcinomas and other pathological entities https://github.com/OGMS/ogms
bioregistry:slso	Space Life Sciences Ontology	skos:exactMatch	ontobee:SLSO	Space Life Sciences Ontology	semapv:LexicalMatching	0.918656468	name	Space Life Sciences Ontology The Space Life Sciences Ontology is an application ontology and is intended to support the operation of NASA's Life Sciences Data Archive and other systems that contain space life science research data. https://github.com/nasa/LSDAO	Space Life Sciences Ontology
bioregistry:bco	Biological Collections Ontology	skos:exactMatch	biodivportal:BCO	Biological Collections Ontology	semapv:LexicalMatching	0.918674111	name,description	Biological Collections Ontology An ontology to support the interoperability of biodiversity data, including data on museum collections, environmental/metagenomic samples, and ecological surveys. https://github.com/BiodiversityOntologies/bco	"Biological Collections Ontology The biological collection ontology includes consideration of the distinctions between individuals, organisms, voucher specimens, lots, and samples the relations between these entities, and processes governing the creation and use of ""samples"". Within scope as well are properties including collector, location, time, storage environment, containers, institution, and collection identifiers., The BCO supports the interoperability of biodiversity and biodiversity related data, including data on museum collections, environmental/metagenomic samples, and ecological surveys. A key aspect of the BCO is distinguishing among material samples (i.e. specimens), observing processes, and data about either of those entities."
bioregistry:wikipathways	WikiPathways	skos:exactMatch	fairsharing:FAIRsharing.g7b4rj	WikiPathways WP Types Ontology	semapv:LexicalMatching	0.918676257	name,description,homepage	WikiPathways WikiPathways is a database of biological pathways maintained by and for the scientific community. http://www.wikipathways.org/	WikiPathways WP Types Ontology WikiPathways simplifies the contribution and maintenance of biological pathway information. It is an open and collaborative platform that curates pathways, complementing existing databases like KEGG, Reactome, and Pathway Commons. The web-based format makes it easy for anyone to participate, from students to experts. The community takes on peer review, editorial curation, and maintenance tasks. https://vocabularies.wikipathways.org/wpTypes#
