prefix	status	preferred_prefix	name	homepage	description
2.16.840.1.113883.6.103	Complete	icd-9CM-diagnosiscodes	ICD-9-CM	https://who.int	The International Classification of Diseases, 9th Revision, Clinical Modification (ICD-9-CM), Volumes I, II (diagnoses) and III (procedures) describes the classification of morbidity and mortality information for statistical purposes and for the indexing of healthcare records by diseases and procedures. The ICD-9-CM codes can be used as the value of the Act.cd attribute.
2.16.840.1.113883.6.104	Complete	ICD-9CM (procedure codes)	National Center for Health Statistics	http://www.cdc.gov/nchs/icd9.htm.	The International Classification of Diseases, 9th Revision, Clinical Modification (ICD-9-CM), Volumes I, II (diagnoses) and III (procedures) describes the classification of morbidity and mortality information for statistical purposes and for the indexing of healthcare records by diseases and procedures. The ICD-9-CM codes can be used as the value of the Act.cd attribute.
2.16.840.1.113883.6.11	Complete	url	URL		Universal Resource Locator (URL) schemes.  Currently there is no single authority for URL schemes.  The authority for URL scheme assignments clearly lies within IANA or W3C and it is likely that a formal URL/URI assigning authority will be formed soon.
2.16.840.1.113883.6.111	Complete	alt	Alternative Billing Concepts	http://www.abccodes.com	Alternative Billing Concepts (Altlink). Version 2004, sixth edition. Contact: Alternative Link LLC; 1065 Main St., Bldg. C, Las Cruces, NM 88005; phone: (505) 527-0636; http://www.alternativelink.com; mail@alternativelink.com.
2.16.840.1.113883.6.112	Complete	aod	Alcohol and Other Drug Thesaurus		Alcohol and Other Drug Thesaurus: A Guide to Concepts and Terminology in Substance Abuse and Addiction. 3rd. ed. [4 Volumes.] Bethesda, MD: National Institute on Alcohol Abuse and Alcoholism (NIAAA) and Center for Substance Abuse Prevention (CSAP), 2000
2.16.840.1.113883.6.113	Complete	bi	Beth Israel Problem List Vocabulary	http://www.bidmc.org/	Beth Israel OMR Clinical Problem List Vocabulary. Version 1.0. Boston (MA): Beth Israel Deaconess Medical Center, 1999. Contact: Howard Goldberg, MD.; http://clinquery.bidmc.harvard.edu.
2.16.840.1.113883.6.114	Complete	ccpss	Clinical Problem Statements		Canonical Clincial Problem Statement System, Version 1.0 June 23, 1999. Contact: sbrown@vumclib.mc.vanderbilt.eduFrom UMLS
2.16.840.1.113883.6.115	Complete	ccs	Clinical Classifications Categories	http://www.ahrq.gov	Clinical Classifications Software (CCS). Agency for Healthcare Research and Quality (AHRQ), Rockville, MD. Release Date: April 2003. URL: http://www.ahcpr.gov/data/hcup/ccsfact.htm Phone: 301-594-1364.
2.16.840.1.113883.6.117	Complete	costar	Computer-Stored Ambulatory Records (COSTAR)	http://www.lcs.mgh.harvard.edu/	Computer-Stored Ambulatory Records (COSTAR). Boston (MA): Massachusetts General Hospital, 1989-1995.
2.16.840.1.113883.6.118	Complete	CPM	Medical Entities Dictionary	http://www.dbmi.columbia.edu	Medical Entities Dictionary (CPM), Columbia Presbyterian Medical Center Medical Entities Dictionary. New York (NY): Columbia Presbyterian Medical Center, 2003
2.16.840.1.113883.6.12	Complete	cpt-4	Current Procedure Terminology 4 (CPT-4)	http://www.ama-assn.org/ama/pub/category/3113.html	American Medical Association’s Current Procedure Terminology 4 (CPT-4) codes.
2.16.840.1.113883.6.12.1	Complete	cptSP	CPT Spanish	http://www.ama-assn.org	Current Procedural Terminology (CPT), Spanish Translation. 4th ed. Chicago (IL): American Medical Association, 2000. http://www.ama-assn.org.
2.16.840.1.113883.6.121	Complete	ietf3066	Tags for the Identification of Languages	http://www.ietf.org	IETF Network Working Group RFC 3066 - Tags for the Identification of Langugages, Alverstrand, 2001.  (Obsoletes IETF 1766)    http://www.ietf.org/rfc/rfc3066.txt
2.16.840.1.113883.6.122	Complete	ddb	Diseases Database	http://www.diseasesdatabase.com	Diseases Database 2000. May, 2000. London (England): Medical Object Oriented Software Enterprises Ltd., 2000. Contact: Malcolm Duncan <mhduncan@compuserve.com>; http://www.diseasesdatabase.com/.
2.16.840.1.113883.6.125	Complete	dsm3r	DSM-III-R		Diagnostic and Statistical Manual of Mental Disorders (DSM-III-R). 3rd ed. rev. Washington (DC): American Psychiatric Association, 1987.
2.16.840.1.113883.6.127	Complete	dxp	DXplain	http://www.lcs.mgh.harvard.edu/	DXplain (An expert diagnosis program). Boston (MA): Massachusetts General Hospital, 1994.   http://dxplain.org/dxp/dxp.pl
2.16.840.1.113883.6.129	Rejected	HCDT	Current Dental Terminology in HCPCS		Version of Current Dental Terminology (CDT) version 4, included in the Healthcare Common Procedure Coding System (HCPCS).Request rejected.  Appears to be a duplicate of 2.16.840.1.113883.6.13
2.16.840.1.113883.6.13	Complete	cdt-ADAcodes	Code on Dental Procedures and Nomenclature	http://www.ada.org/cdt	The CDT Code (Code on Dental Procedures and Nomenclature) is the dental procedure code set owned and maintained by the American Dental Association.  It is under copyright and may be licensed for use.  Licensing information is available on line at http://www.ada.org/en/publications/ada-catalog/cdt-products/licensing-for-commercial-users The CDT Code's purpose is to achieve uniformity, consistency and specificity in accurately documenting dental treatment and services. One use of the CDT Code is to provide for the efficient processing of dental claims, and another is to populate an Electronic Health Record.On August 17, 2000 the CDT Code was named as a HIPAA standard code set.
2.16.840.1.113883.6.130	Rejected	HCPT	CPT in HCPCS		Version of Physicians' Current Procedural Terminology (CPT) included in the Healthcare Common Procedure Coding System (HCPCS), 2004.Request rejected.  Appears to be a duplicate of 2.16.840.1.113883.6.12
2.16.840.1.113883.6.132	Complete	hlrel	ICPC2E ICD10 Relationships		ICPC2E-ICD10 relationships from Dr. Henk Lamberts (HLREL), 1998. University of Amsterdam. Contact: H.Lamberts@AMC.UVA.NL.
2.16.840.1.113883.6.133	Rejected	HUGO	HUGO, 2004		HUGO Gene Nomenclature, HUGO Gene Nomenclature Committee, Department of Biology, University College London, Wolfson House, 4 Stephenson Way, London NW1 2HE, UK. Tel: 44-20-7679-5027 Fax: 44-20-7387-3496 e-mail: nome@galton.ucl.ac.uk
2.16.840.1.113883.6.135	Complete	icd10am	ICD-10 Austral Mod		International Statistical Classification of Diseases and Related Health Problems, 10th Revision, Australian Modification; 2nd Edition, published January 2000. Developed and Maintained by the National Centre for Classification in Health, University of Sydn
2.16.840.1.113883.6.135.1	Complete	icd10AMAE	ICD-10 Austral Mod Am Engl		International Statistical Classification of Diseases and Related Health Problems, Australian Modification (ICD-10-AM), Americanized English Equivalents, produced by NLM. Bethesda (MD): National Library of Medicine, UMLS project, 2000
2.16.840.1.113883.6.138	Complete	icpc	International Classification of Primary Care, 1993 edition	http://www.who.int/classifications/icd/adaptations/icpc2/en/	The International Classification of Primary Care (ICPC). Denmark: World Organisation of Family Doctors, 1993.  Various language translations are identified beneath this OID.
2.16.840.1.113883.6.138.1	Complete	icpc-BAQ	International Classification of Primary Care 1993 Basque	http://www.who.int/classifications/icd/adaptations/icpc2/en/	The International Classification of Primary Care (ICPC). Basque Translation. Denmark: World Organisation of Family Doctors, 1993.
2.16.840.1.113883.6.138.10	Complete	icpc-NOR	International Classification of Primary Care 1993 Norwegian	http://www.who.int/classifications/icd/adaptations/icpc2/en/	The International Classification of Primary Care (ICPC). Norwegian Translation. Denmark: World Organisation of Family Doctors, 1993.
2.16.840.1.113883.6.138.11	Complete	icpc-POR	International Classification of Primary Care 1993 Portuguese	http://www.who.int/classifications/icd/adaptations/icpc2/en/	The International Classification of Primary Care (ICPC). Portuguese Translation. Denmark: World Organisation of Family Doctors, 1993.
2.16.840.1.113883.6.138.12	Complete	icpc-SPA	International Classification of Primary Care 1993 Spanish	http://www.who.int/classifications/icd/adaptations/icpc2/en/	The International Classification of Primary Care (ICPC). Spanish Translation. Denmark: World Organisation of Family Doctors, 1993.
2.16.840.1.113883.6.138.13	Complete	icpc-SWE	International Classification of Primary Care 1993 Swedish	http://www.who.int/classifications/icd/adaptations/icpc2/en/	The International Classification of Primary Care (ICPC). Swedish Translation. Denmark: World Organisation of Family Doctors, 1993.
2.16.840.1.113883.6.138.14	Complete	icpc-ENG	International Classification of Primary Care 1993 (English)	http://www.who.int/classifications/icd/adaptations/icpc2/en/	The International Classification of Primary Care (ICPC). Swedish Translation. Denmark: World Organisation of Family Doctors, 1993.
2.16.840.1.113883.6.138.2	Complete	icpc-DAN	International Classification of Primary Care 1993 Danish	http://www.who.int/classifications/icd/adaptations/icpc2/en/	The International Classification of Primary Care (ICPC). Danish Translation. Denmark: World Organisation of Family Doctors, 1993.
2.16.840.1.113883.6.138.3	Complete	icpc-DUT	International Classification of Primary Care 1993 Dutch	http://www.who.int/classifications/icd/adaptations/icpc2/en/	The International Classification of Primary Care (ICPC). Dutch Translation. Denmark: World Organisation of Family Doctors, 1993.
2.16.840.1.113883.6.138.4	Complete	icpc-FIN	International Classification of Primary Care 1993 Finnish	http://www.who.int/classifications/icd/adaptations/icpc2/en/	The International Classification of Primary Care (ICPC). Finnish Translation. Denmark: World Organisation of Family Doctors, 1993.
2.16.840.1.113883.6.138.5	Complete	icpc-FRE	International Classification of Primary Care 1993 French	http://www.who.int/classifications/icd/adaptations/icpc2/en/	The International Classification of Primary Care (ICPC). French Translation. Denmark: World Organisation of Family Doctors, 1993.
2.16.840.1.113883.6.138.6	Complete	icpc-GER	International Classification of Primary Care 1993 German	http://www.who.int/classifications/icd/adaptations/icpc2/en/	The International Classification of Primary Care (ICPC). German Translation. Denmark: World Organisation of Family Doctors, 1993.
2.16.840.1.113883.6.138.7	Complete	icpc-HEB	International Classification of Primary Care 1993 Hebrew	http://www.who.int/classifications/icd/adaptations/icpc2/en/	The International Classification of Primary Care (ICPC). Hebrew Translation, Denmark: World Organisation of Family Doctors, 1993
2.16.840.1.113883.6.138.8	Complete	icpc-HUN	International Classification of Primary Care 1993 Hungarian	http://www.who.int/classifications/icd/adaptations/icpc2/en/	The International Classification of Primary Care (ICPC). Hungarian Translation. Denmark: World Organisation of Family Doctors, 1993.
2.16.840.1.113883.6.138.9	Complete	icpc-ITA	International Classification of Primary Care 1993 Italian	http://www.who.int/classifications/icd/adaptations/icpc2/en/	The International Classification of Primary Care (ICPC). Italian Translation. Denmark: World Organisation of Family Doctors, 1993.
2.16.840.1.113883.6.139	Complete	icpc2E	International Classification of Primary Care, second edition (1998)	http://www.who.int/classifications/icd/adaptations/icpc2/en/	International Classification of Primary Care / prepared by the Classification Committee of the World Organization of National Colleges, Academies and Academic Associations of General Practitioners/Family Physicians (WONCA), known more briefly as the World
2.16.840.1.113883.6.139.1	Complete	icpc2E-ENG	International Classification of Primary Care, second edition, English	http://www.who.int/classifications/icd/adaptations/icpc2/en/	International Classification of Primary Care / prepared by the Classification Committee of the World Organization of National Colleges, Academies and Academic Associations of General Practitioners/Family Physicians (WONCA), known more briefly as the World
2.16.840.1.113883.6.139.2	Complete	icpc2E-DUT	ICPC2E, Dutch Translation	http://www.who.int/classifications/icd/adaptations/icpc2/en/	Hirs, W., H.W. Becker, C. van Boven, S.K. Oskam, I.M. Okkes, H. Lamberts. International Classification of Primary Care 2E: 2nd ed. electronic. Dutch Translation. Amsterdam: Department of General Practice, Academic Medical Center/University of Amsterdam, D
2.16.840.1.113883.6.139.3	Complete	mthicpc2E-AE	ICPC2E Am Engl (Metathesaurus)	http://www.who.int/classifications/icd/adaptations/icpc2/en/	Henk Lamberts and Inge Hofmans-Okkes. International Classification of Primary Care 2nd Edition, Electronic, 2E, American English Equivalents. Amsterdam: International Classification of Primary Care / prepared by the Classification Committee of the World Health Organization.  Entry derived from the UMLS Metathesaurus.
2.16.840.1.113883.6.139.4	Complete	icpc2E-GER	ICPC2E, German Translation	http://www.who.int/classifications/icd/adaptations/icpc2/en/	International Classification of Primary Care, Second edition (ICPC-2). German Translation.
2.16.840.1.113883.6.14	Complete	HPC	HCPCS		Healthcare Financing Administration (HCFA) Common Procedure Coding System (HCPCS).  Is composed of three “levels”.  Level I is CPT-4, level II is CDT-2, and level 3 are the HCPCS modifiers.  Only the HCPCS modifiers are maintained by the Alpha-Numeric Editorial Panel, consisting of the Health Insurance Association of America and the Blue Cross and Blue Shield Association.
2.16.840.1.113883.6.140	Complete	icpc2E-P	ICPC2E 1998 Plus	http://www.nlm.nih.gov/research/umls/	International Classification of Primary Care, Version 2-Plus. Produced by NLM. Bethesda (MD): National Library of Medicine, UMLS project.  This node has the various modifications and translations produced under it.
2.16.840.1.113883.6.140.1	Complete	icpc2E-P-AE	ICPC2E 1998 Plus Am Engl	http://www.nlm.nih.gov/research/umls/	International Classification of Primary Care, Version 2-Plus, Australian Modification. Americanized English Equivalents, January, 2000. Produced by NLM. Bethesda (MD): National Library of Medicine, UMLS project
2.16.840.1.113883.6.140.2	Complete	icpc2E-P-AUS	ICPC2P 1998 Plus Austral Mod	http://www.nlm.nih.gov/research/umls/	International Classification of Primary Care, Version 2-Plus, Australian Modification. January, 2000
2.16.840.1.113883.6.142	Complete	icpc2-icd10-THSRS	ICPC2-ICD10 Thesaurus	http://www.rivm.nl/who-fic/thesauruseng.htm	"A diagnostic Terminology for semi-automatic Double Coding in Electronic Patient RecordsThe thesaurus is a part of the CD Rom: ""ICPC in the Amsterdam Transition Project. Extended Version. IM Okkes, SK Oskam, H. Lamberts. Amsterdam: Academic Medical Center/University of Amsterdam. Department of Family Medicine"", see also the web sitehttp://www.transitieproject.nl for this application of the thesaurus.This bilingual (English/Dutch) ICPC2-ICD10 thesaurus is derived from an extended version of the CD-Rom ICPC in the Amsterdam Transition Project, that was published as a companion to ICPC-2-R by Oxford University Press (2005). As was the case with the former thesaurus (published in Dutch in 2003), the content of this new thesaurus may be copied for academic purposes, and be used for teaching and research under the usual referencing conditions. Any other and/or commercial use requires prior permission from the authors, represented by Dr. Inge Okkes (see below).It is strongly recommended that you first go through the ICPC Tutorial, the Manual and the Glossary, and consider printing them. Becker, H.W., C. van Boven, S.K. Oskam, I.M. Okkes, W. Hirs, H. Lamberts. ICPC2 - ICD10 Thesaurus, Version March, 2004. Amsterdam: Project ""Adaptation ICPC, integration and implementation of ICPC2 and ICD10(-CM)."" Department of General Practice, Academic"
2.16.840.1.113883.6.142.1	Complete	icpc2-icd10-DUT	ICPC2-ICD10ENG Thesaurus, Dutch Translation	http://www.rivm.nl/who-fic/thesauruseng.htm	International Classification of Primary Care / prepared by the Classification Committee of the World Organization of National Colleges, Academies and Academic Associations of General Practitioners/Family Physicians (WONCA), known more briefly as the World
2.16.840.1.113883.6.142.2	Complete	mth-icpc2-icd10-7B	ICPC2-ICD10 Thesaurus, 7-bit	http://www.rivm.nl/who-fic/thesauruseng.htm	International Classification of Primary Care / prepared by the Classification Committee of the World Organization of National Colleges, Academies and Academic Associations of General Practitioners/Family Physicians (WONCA), known more briefly as the World
2.16.840.1.113883.6.142.3	Complete	mth-icpc2-icd10-AE	ICPC2-ICD10 Thesaurus, Am Engl	http://www.rivm.nl/who-fic/thesauruseng.htm	International Classification of Primary Care / prepared by the Classification Committee of the World Organization of National Colleges, Academies and Academic Associations of General Practitioners/Family Physicians (WONCA), known more briefly as the World
2.16.840.1.113883.6.142.4	Complete	icpc2-icd10-ENG	ICPC2-ICD10 Thesaurus (English)	http://www.rivm.nl/who-fic/thesauruseng.htm	"Becker, H.W., C. van Boven, S.K. Oskam, I.M. Okkes, W. Hirs, H. Lamberts. ICPC2 - ICD10 Thesaurus, Version March, 2004. Amsterdam: Project ""Adaptation ICPC, integration and implementation of ICPC2 and ICD10(-CM)."" Department of General Practice, Academic"
2.16.840.1.113883.6.15	Complete	nic	Nursing Intervention Classification		NIC provides names and values for procedures/orders/service intent related to the treatment activities of nurses and other providers who may perform the same treatment activities.  Names, definitions, and associated codes are attached for 486 interventions.  Defining activities (anywhere from ten to several dozen) are listed for each of the interventions in the NIC classification book but are not attached to this document.
2.16.840.1.113883.6.158	Complete	jabl	Congenital Mental Retardation Syndromes	http://www.nlm.nih.gov/	Online Congenital Multiple Anomaly/Mental Retardation Syndromes, 1999.
2.16.840.1.113883.6.159	Pending	LCH	Library of Congress Subject Headings		Library of Congress Subject Headings. 12th ed. Washington (DC): Library of Congress, 1989.
2.16.840.1.113883.6.16	Complete	noc	NOC - Nursing Outcome Classification	http://www.nursing.uiowa.edu/excellence/nursing_knowledge/clinical_effectiveness/noc.htm	The ANA's Congress of Nursing Practice Steering Committee on Databases to Support Clinical Nursing Practice has recognized Nursing Outcomes Classification (NOC) as a classification system useful for clinical nursing practice.The NOC 3rd edition includes 330 outcomes including 76 new outcomes and a revised measurement scale. Core outcomes are identified for 41 specialties, linkages with NANDA diagnoses and with Gordon's functional health patterns have been updated, and the outcomes are organized in both the NOC taxonomy and the Taxonomy of Nursing Practice. This edition of NOC also reports the research results form 10 clinical testing sites.
2.16.840.1.113883.6.160	Pending	MBD	MEDLINE Backfile		MEDLINE Backfiles (1994-1998). Bethesda (MD): National Library of Medicine. Contact: http://www.nlm.nih.gov.
2.16.840.1.113883.6.161	Complete	mcm	Glossary of Clinical Epidemiologic Terms		Glossary of Methodologic Terms for Clinical Epidemiologic Studies of Human Disorders. Canada: McMaster University, 1992.
2.16.840.1.113883.6.162	Retired	MDDB	Master Drug Data Base		Master Drug Data Base, 2003
2.16.840.1.113883.6.163.1	Complete	MDRAE	MedDRA Am Engl	www.meddramsso.com	Medical Dictionary for Regulatory Activities Terminology (MedDRA), American English Equivalents, Version 7.0. Bethesda, MD: National Library of Medicine, March 1, 2004  This is the English language version as encapsulated in the UMLS..
2.16.840.1.113883.6.163.2	Complete	MDRDUT	MedDRA Dutch	www.meddramsso.com	Medical Dictionary for Regulatory Activities Terminology (MedDRA) Version 7.0, Dutch Edition. International conference on Harmonization of Technical Requirements for Registration of Pharmaceuticals for Human Use (ICH). Reston, VA: MedDRA MSSO, March 1, 2004  This is the Dutch language version as encapsulated in the UMLS..
2.16.840.1.113883.6.163.3	Complete	MDRFRE	MedDRA French	www.meddramsso.com	Medical Dictionary for Regulatory Activities Terminology (MedDRA) Version 7.0, French Edition. International conference on Harmonization of Technical Requirements for Registration of Pharmaceuticals for Human Use (ICH). Reston, VA: MedDRA MSSO, March 1, 2004  This is the French  language version as encapsulated in the UMLS..
2.16.840.1.113883.6.163.4	Complete	MDRGER	MedDRA German	www.meddramsso.com	Medical Dictionary for Regulatory Activities Terminology (MedDRA) Version 7.0, German Edition. International conference on Harmonization of Technical Requirements for Registration of Pharmaceuticals for Human Use (ICH). Reston, VA: MedDRA MSSO, March 1, 2004  This is the German language version as encapsulated in the UMLS..
2.16.840.1.113883.6.163.5	Complete	MDRPOR	MedDRA Portuguese	www.meddramsso.com	Medical Dictionary for Regulatory Activities Terminology (MedDRA) Version 7.0, Portuguese Edition. International conference on Harmonization of Technical Requirements for Registration of Pharmaceuticals for Human Use (ICH). Reston, VA: MedDRA MSSO, March 1, 2004.  This is the Portuguese language version as encapsulated in the UMLS..
2.16.840.1.113883.6.163.6	Complete	MDRSPA	MedDRA Spanish	www.meddramsso.com	Medical Dictionary for Regulatory Activities Terminology (MedDRA) Version 7.0, Spanish Edition. International conference on Harmonization of Technical Requirements for Registration of Pharmaceuticals for Human Use (ICH). Reston, VA: MedDRA MSSO, March 1, 2004.  This is the Spanish language version as encapsulated in the UMLS..
2.16.840.1.113883.6.164	Complete	MDREX	MedDRA expanded	www.meddramsso.com	Medical Dictionary for Regulatory Activities Terminology (MedDRA), with expanded abbreviations, Version 7.0. Bethesda, MD: National Library of Medicine, March 1, 2004.
2.16.840.1.113883.6.164.1	Complete	MDREA	MedDRA Am Engl expanded	www.meddramsso.com	Medical Dictionary for Regulatory Activities Terminology (MedDRA), American English Equivalents with expanded abbreviations, Version 7.0. Bethesda, MD: National Library of Medicine, March 1, 2004.
2.16.840.1.113883.6.165	Complete	MTHMDRSPA	MTH MedDRA Spanish	www.meddramsso.com	Metathesaurus Forms of Medical Dictionary for Regulatory Activities Terminology (MedDRA) Version 7.0, Spanish Edition. Bethesda, MD: National Library of Medicine, March 2004.
2.16.840.1.113883.6.17	Complete	hhcc	Home HealthCare Classification System		Home HealthCare Classification System codes.Note that this code system has been retired, and has been replaced by 2.16.840.1.113883.6.236 CCC.
2.16.840.1.113883.6.172	Pending	MED	MEDLINE		MEDLINE Current Files (1999-2004). Bethesda (MD): National Library of Medicine. Contact: http://www.nlm.nih.gov.
2.16.840.1.113883.6.176	Complete	mmx	Micromedex	http://www.thomsonreuters.com/healthcare	Micromedex DRUGDEX, 2001. URL: http://www.micromedex.com/ Phone: 800-525-9083.http://www.micromedex.com/products/drugdex/Using a standardized outline format, the DRUGDEX® System harnesses this information and gives you easy access to current, accurate drug knowledge you can use with confidence. Reviewed by international experts, DRUGDEX evidence-based documents cover FDA-approved and investigational prescription and nonprescription drugs, as well as non-U.S. preparations. Areas discussed include dosage, pharmacokinetics, cautions, interactions, clinical applications, adverse effects, comparative efficacy, drug of choice information, and orphan drug status.Features    * Provides evidence-based, unbiased, fully referenced information    * Contains independently reviewed data from major drug centers and pharmacology services worldwide    * Decreases risk of adverse drug events and saves valuable time by delivering data at the point of care    * Helps determine off-label uses    * Designated an official compendium for drug utilization review and screeningIntended Users    * Healthcare professionals who prescribe, order, dispense, administer, or research drugs    * Drug safety and information professionals    * Research and development    * Medical affairs professionals    * Medical and pharmacy school faculty and studentsFor more details about the DRUGDEX System, see the Detailed Brochure.
2.16.840.1.113883.6.177.1	Pending	MSHCZE	MeSH Czech		Czech translation of Medical Subject Headings (MeSH) 2003. Prague: Dept. of Bibliography, National Library of Medicine, 2003.
2.16.840.1.113883.6.177.10	Pending	MSHSPA	MeSH Spanish		Descriptores en Ciencias de la Salud [Spanish translation of Medical Subject Headings (MeSH)], 2004. Sao Paulo: Latin American and Caribbean Center on Health Sciences Information. BIREME/PAHO/WHO, 2004.
2.16.840.1.113883.6.177.11	Pending	MSHSWE	MeSH Swedish		Swedish translation of Medical Subject Headings (MeSH), 2004. Stockholm: Karolinska Institutet, 2004.
2.16.840.1.113883.6.177.2	Pending	MSHDUT	MeSH Dutch		Nederlandse vertaling van MeSH [Dutch translation of MeSH), 2004. Amsterdam: Nederlands Tijdschrift voor Geneeskunde [Dutch Journal of Medicine], 2004.
2.16.840.1.113883.6.177.3	Pending	MSHFIN	MeSH Finnish		Finnish translations of Medical Subject Headings (MeSH), 2004. Helsinki: Finnish Medical Society Duodecim, 2004.
2.16.840.1.113883.6.177.4	Pending	MSHFRE	MeSH French		Thesaurus Biomedical Francais/Anglais [French translation of MeSH], 2004. Paris: Institut National de la Sante et Recherche Medicale, 2004.
2.16.840.1.113883.6.177.5	Pending	MSHGER	MeSH German		German translation of Medical Subject Headings (MeSH), 2004. Cologne: Deutsches Institut fur Medizinische Dokumentation und Information, 2004.
2.16.840.1.113883.6.177.6	Pending	MSHITA	MeSH Italian		Italian translation of Medical Subject Headings (MeSH), 2004. Rome: Istituto Superiore di Sanita, Settore Documentazione, 2004.
2.16.840.1.113883.6.177.7	Pending	MSHJPN	MeSH Japanese		JAMAS Japanese Medical Thesaurus (JJMT). Tokyo: Japan Medical Abstracts Society; Igaku-Chuo-Zasshi, 2004.
2.16.840.1.113883.6.177.8	Pending	MSHPOR	MeSH Portuguese		Descritores em Ciencias da Saude [Portuguese translation of Medical Subject Headings (MeSH)], 2004. Sao Paulo (Brazil): Latin American and Caribbean Center on Health Sciences Information. BIREME/PAHO/WHO, 2004.
2.16.840.1.113883.6.177.9	Pending	MSHRUS	MeSH Russian		Russian Translation of Medical Subject Headings (MeSH). Moscow: State Central Scientific Medical Library, 2004
2.16.840.1.113883.6.18	Complete	ib	ISBT 128	https://www.iccbba.org	ISBT 128 is the global standard for the terminology, identification, coding and labeling of medical products of human origin (including blood, cell, tissue, milk, and organ products). It is comprised of the ISBT 128 Technical Specification, ISBT 128 Standard Terminology, databases, reference tables, and product-specific labeling and coding documents.  ISBT 128 coding is designed as a series of data structures that are technology-independent and can be used for bar coding, radio frequency tag encoding, and electronic data interchange.  No changes are needed to use ISBT 128 in HL7 messages.  ISBT 128 OIDs are documented in the ISBT 128 Technical Specification.
2.16.840.1.113883.6.189	Pending	MTH	Metathesaurus Names		UMLS Metathesaurus. Bethesda, MD: National Library of Medicine.
2.16.840.1.113883.6.19	Complete	camncvs	CAMNCVS		CAM & Nursing Coding Vocabulary Set
2.16.840.1.113883.6.190	Pending	MTHCH	UMLS Hierarchical Terms CPT		Metathesaurus Hierarchical CPT Terms. Bethesda, MD: National Library of Medicine, 2004
2.16.840.1.113883.6.191	Pending	MTHFDA	FDA National Drug Code Directory		Metathesaurus Forms of FDA National Drug Code Directory, 2004_01. Bethesda, MD: National Library of Medicine, 2004.
2.16.840.1.113883.6.192	Pending	MTHHH	UMLS Hierarchical Terms HCPCS		Metathesaurus Hierarchical HCPCS Terms (These terms were created by the NLM to provide contextual information for HCPCS). Bethesda, MD: National Library of Medicine, 2004.
2.16.840.1.113883.6.193	Pending	MTHICD9	UMLS ICD-9-CM Terms		Metathesaurus additional entry terms for ICD-9-CM [computer file]: international classification of diseases, ninth revision, clinical modification. Version 22. Bethesda, MD: U.S. Dept. of Health and Human Services, Public Health Service, National Institut
2.16.840.1.113883.6.198	Pending	MTHMST	UMLS Minimal Standard Terms Intl		Metathesaurus Version of Minimal Standard Terminology Digestive Endoscopy. Bethesda, MD: National Library of Medicine, 2001.
2.16.840.1.113883.6.198.1	Pending	MTHMSTFRE	UMLS Minimal Standard Terms French		Metathesaurus Version of Minimal Standard Terminology Digestive Endoscopy, French Translation. Bethesda, MD: National Library of Medicine, 2001.
2.16.840.1.113883.6.198.2	Pending	MTHMSTITA	UMLS Minimal Standard Terms Italian		Metathesaurus Version of Minimal Standard Terminology Digestive Endoscopy, Italian Translation. Bethesda, MD: National Library of Medicine, 2001.
2.16.840.1.113883.6.20	Complete	nanda	NANDA	www.NANDA.org	"The terminology consists of standardized terms and codes for patient problems or life processes expressed as nursing diagnoses. These data elements would be classified by HL7 as “observations”. The taxonomy is  multi-axial. It consists of 12 domains and 36 classes. All domains and classes are defined. There are 7 axes with definitions for each. Each nursing diagnosis consists of: a concept label or term expressed as a noun or a noun phrase; a definition of the term; a set of defining characteristics (signs and symptoms) of the diagnostic term; an approved list of modifiers of the term; a set of risk factors with definitions; and a set of related factors (or etiologies) for the term.  The system preserves semantics by having robust review procedures and policies to ensure against semantic drift in the meanings of the encoded terms over time. NANDA as an organization is committed to updating the terminology on a regular biannual basis. 	NANDA has been in existence since 1973 and is thus the oldest developer of standardized language in nursing. Most other nursing language systems use many of the older NANDA terms in their vocabularies. The express purpose of the organization is to develop a comprehensive standardized nursing language that captures the conclusions that nurses make based on observations – in effect, the nursing diagnoses. The work is a continuing effort and diagnoses are revised, retired or added bi-annually. The codes are simple integers and are not linked to each other. If a diagnostic term is retired, the code is also retired. If a new diagnosis is added a new code is given to that term. If a diagnostic term is revised, the code is kept intact but the date of the revision is published alongside the term. Domains and classes are not coded."
2.16.840.1.113883.6.201	Pending	MTHPDQ	MTHPDQ		Metathesaurus Forms of Physician Data Query (PDQ), 2004. Bethesda, MD: National Library of Medicine, 2004.
2.16.840.1.113883.6.202	Pending	MTHSCT	Metathesaurus forms of SNOMED Clinical Terms		Metathesaurus forms of SNOMED Clinical Terms. Bethesda (MD): National Library of Medicine, July 31, 2004.
2.16.840.1.113883.6.202.1	Pending	MTHSCTSPA	Metathesaurus forms of Spanish SNOMED Clinical Terms		Metathesaurus forms of Spanish SNOMED Clinical Terms. Bethesda (MD): National Library of Medicine, April 30, 2004.
2.16.840.1.113883.6.204	Pending	NAN	Classification of Nursing Diagnoses		Sparks Ralph, Sheila, Craft-Rosenberg, Martha, Herdman, T. Heather, Lavin, Mary Ann, editors. NANDA nursing diagnoses: definitions and classification 2003-2004. Philadelphia: NANDA International, 2003.
