prefix	name	alt_name	homepage
nbdc00389	Cassava Full-Length cDNA Database		http://amber.gsc.riken.jp/cassava/
nbdc00390	BrainTx	Brain Transcriptome Database	http://www.cdtdb.neuroinf.jp/CDT/Top.jsp
nbdc00392	ChimerDB		http://203.255.191.229:8080/chimerdbv31/mindex.cdb
nbdc00393	Chloroplast Function Database II	A database of mutant phenotypes of nuclear-encoded chloroplast proteins	http://rarge-v2.psc.riken.jp/chloroplast/
nbdc00394	NBRP Ciona Intestinalis	National BioResource Project Ciona Intestinalis	http://marinebio.nbrp.jp
nbdc00395	CleanEx		http://cleanex.vital-it.ch/
nbdc00396	Clone DB		http://www.ncbi.nlm.nih.gov/clone/
nbdc00397	COGs	Clusters of Orthologous Groups of proteins	http://www.ncbi.nlm.nih.gov/COG
nbdc00398	Comparasite	Full-length cDNA Database	http://comparasite.hgc.jp/
nbdc00399	EBI Genomes Pages		http://www.ebi.ac.uk/genomes
nbdc00400	ConfC (Archive)	Database of conformation changes in protein structures	https://dbarchive.biosciencedbc.jp/en/confc/desc.html
nbdc00402	COPE	Cytokines & Cells Online Pathfinder Encyclopedia	http://www.cells-talk.com
nbdc00403	CREATE portal (Archive)	Collaboration of Regional Entities for the Advancement of Technological Excellence	https://dbarchive.biosciencedbc.jp/en/create-portal/desc.html
nbdc00404	CSML	Cell System Markup Language	http://www.csml.org/
nbdc00405	CyanoClust database	Database of homologous proteins in cyanobacteria and plastids	http://gclust.c.u-tokyo.ac.jp/CyanoClust/
nbdc00406	Cystic Fibrosis Mutation Database		http://www.genet.sickkids.on.ca/cftr/app
nbdc00407	DaphniaBASE		http://daphnia.nibb.ac.jp/
nbdc00408	The Journal of Biological Databases and Curation		http://database.oxfordjournals.org/
nbdc00410	Database of genomes and transcriptional regulations for filamentous fungi		http://riodb.ibase.aist.go.jp/ffdb/
nbdc00411	DB-SPIRE (Archive)	Database for Structure-based Protein Interaction Research	https://dbarchive.biosciencedbc.jp/en/dbspire/desc.html
nbdc00412	dbCFC	Cytokine Family Database	http://cytokine.medic.kumamoto-u.ac.jp
nbdc00415	DBH2H	Head-to-head Gene Database	http://lifecenter.sgst.cn/h2h/
nbdc00416	DBSB	DataBase for Systems Biology	http://sirius.cdb.riken.jp/
nbdc00417	dbSTS	database of Sequence Tagged Sites	http://www.ncbi.nlm.nih.gov/projects/dbSTS/
nbdc00418	DGSP	DROSOPHILA GENE SEARCH PROJECT	http://gsdb.biol.se.tmu.ac.jp/~dclust/
nbdc00419	Dicty_cDB (Archive)	Dictyostelium cDNA Database	https://dbarchive.biosciencedbc.jp/en/dicty-cdb/desc.html
nbdc00421	DiProDB	Dinucleotide Property Database	http://diprodb.fli-leibniz.de
nbdc00422	Distribution of Human cDNA Clones		https://www.nite.go.jp/nbrc/hflcdna/cgi-bin/e/Clone_Search.cgi
nbdc00423	DJI	Dictionary of Japanese Insect Names	http://konchudb.agr.agr.kyushu-u.ac.jp/dji/
nbdc00424	Pyrococcus DNABook		http://gerg03.gsc.riken.jp/DNABook_DB/VIEW/Book_Top.php?BOOK_ID=BOOK_6
nbdc00425	DPInteract		http://arep.med.harvard.edu/dpinteract
nbdc00426	Dr. Zompo (Data Repository for Seagrass ESTs including: Posidonia oceanica, Zostera marina)		http://drzompo.uni-muenster.de/
nbdc00427	DTA	DDBJ Trace Archive	https://www.ddbj.nig.ac.jp/dta/index-e.html
nbdc00428	EBI	European Bioinformatics Institute	http://www.ebi.ac.uk
nbdc00429	Ecgene	Genome Annotation for Alternative Splicing	http://genome.ewha.ac.kr/ECgene/
nbdc00430	ECRbase		http://ecrbase.dcode.org/
nbdc00431	EMGLib	Enhanced Microbial Genomes Library	http://pbil.univ-lyon1.fr/emglib/emglib.html
nbdc00436	EnsemblPlants		http://plants.ensembl.org/index.html
nbdc00437	EnsemblProtists		http://protists.ensembl.org/index.html
nbdc00439	EpoDB	Erythropoiesis database	http://www.cbil.upenn.edu/EpoDB/release/version_2.2/epodb.html
nbdc00440	eSOL	Solubility database of all E.coli proteins	http://www.tanpaku.org/tp-esol/index.php?lang=en
nbdc00441	EST (A collection of short single-read transcript sequences from GenBank)		http://www.ncbi.nlm.nih.gov/nucest
nbdc00442	ESTHER	ESTerases and alpha/beta Hydrolase Enzymes and Relatives	http://bioweb.supagro.inra.fr/ESTHER/general?what=index
nbdc00443	Evola	Evolutionary annotation database	http://www.h-invitational.jp/evola/search.html
nbdc00444	Evolutionary Trace Server		http://pdbjets.protein.osaka-u.ac.jp/
nbdc00446	FABA2	Four-dimensional Ascidian Body Atlas 2	https://www.bpni.bio.keio.ac.jp/chordate/faba2/top.html
nbdc00447	FANTOM3	Functional Annotation of Mouse 3	http://fantom3.gsc.riken.jp
nbdc00448	FANTOM4	Functional Annotation of the Mammalian Genome 4	http://fantom.gsc.riken.jp/4/index.php?lang=en
nbdc00449	Flavonoid Database		http://metabolomics.jp/wiki/Category:FL
nbdc00450	FLJ Human cDNA Database		http://flj.lifesciencedb.jp/
nbdc00451	Fluorome	The Cyanobacterial Chlorophyll Fluorescence Database	http://www.photosynthesis.jp/fluorome/
nbdc00452	fRNAdb (Archive)	Functional RNA Database	https://dbarchive.biosciencedbc.jp/en/frnadb/desc.html
nbdc00453	FUGU GENOME PROJECT		http://www.fugu-sg.org/
nbdc00454	Full-Anopheles	Anopheles Full-length cDNA database	http://fullmal.hgc.jp/index_ag_ajax.html
nbdc00455	Full-Babesia	Babesia Full-length cDNA database	http://fullmal.hgc.jp/index_bb_ajax.html
nbdc00456	Full-Cryptosporidium	Cryptosporidium Full-Length cDNA Database	http://fullmal.hgc.jp/index_cp_ajax.html
nbdc00457	Full-Echinococcosis	Echinococcosis Full-length cDNA database	http://fullmal.hgc.jp/index_em_ajax.html
nbdc00458	Full-Tsetse	Tsetse Full-length cDNA database	http://fullmal.hgc.jp/index_arth.html
nbdc00460	Fungus and Actinomycetes Gallery		http://www.pf.chiba-u.ac.jp/english/gallery.html
nbdc00461	G-compass		http://www.h-invitational.jp/g-compass/
nbdc00462	GALAXY	Glycoanalysis by the three axes of MS and chromatography	http://www.glycoanalysis.info/galaxy2/ENG/index.jsp
nbdc00463	MIDB	Gastrointestinal Medical Image Database	http://www.midb.jp/db/en/
nbdc00464	Gclust Server		http://gclust.c.u-tokyo.ac.jp/
nbdc00465	GEMCA	Genotyping Microarray based CNV Analysis	http://www.genome.rcast.u-tokyo.ac.jp/CNV/gemca_details.html
nbdc00466	Gene Expression in Tooth Database		http://bite-it.helsinki.fi
nbdc00467	AOE	All Of gene Expression	https://aoe.dbcls.jp/en
nbdc00470	GENIA Project		http://www.geniaproject.org
nbdc00471	GENIUS II (Archive)		https://dbarchive.biosciencedbc.jp/en/genius/desc.html
nbdc00472	Genolevures	Genomic Exploration of the Hemiascomycete Yeasts	http://www.genolevures.org/
nbdc00473	Genome		http://www.ncbi.nlm.nih.gov/genome
nbdc00474	EMBL-EBI > Services		https://www.ebi.ac.uk/services
nbdc00475	Genome Network Platform		http://genomenetwork.nig.ac.jp/index_e.html
nbdc00476	BioProject (Formerly Genome Project)		http://www.ncbi.nlm.nih.gov/bioproject
nbdc00477	Genome Project of Symbiobacterium thermophilum		http://hp.brs.nihon-u.ac.jp/~projects/genome/STH/
nbdc00478	GenomeAtlasDatabase		http://www.cbs.dtu.dk/services/GenomeAtlas/
nbdc00480	Genpac		http://www.genpac-nalapro.com/
nbdc00481	GENSAT	Gene Expression Nervous System Atlas	http://www.gensat.org/about.jsp
nbdc00482	GEO Data Sets	Gene Expression Omnibus Data Sets	http://www.ncbi.nlm.nih.gov/gds
nbdc00485	GRAMENE		http://www.gramene.org
nbdc00486	GSS		https://www.ncbi.nlm.nih.gov/genbank/dbgss/
nbdc00487	GWAS DB	Genome wide association database	http://gwas.biosciencedbc.jp/cgi-bin/gwasdb/gwas_top.cgi
nbdc00488	GyDB	Gypsy Database 2.0	http://gydb.org/index.php/Main_Page
nbdc00489	H-DBAS	Human-transcriptome DataBase for Alternative Splicing	http://www.h-invitational.jp/h-dbas/?lang=en
nbdc00491	Database for hematological malignancy		http://www.midb.jp/blood_db/db.php?lang=en
nbdc00492	HERVd	Human Endogenous Retrovirus Database	http://herv.img.cas.cz
nbdc00493	HGPD	Human Gene and Protein Database	http://hgpd.lifesciencedb.jp/cgi/index.cgi
nbdc00494	GWAS Central		http://www.gwascentral.org/
nbdc00495	HHDB	Hydrogen and Hydration Database	http://hhdb.taka.qst.go.jp/hx3/
nbdc00496	HistoneDB		https://www.ncbi.nlm.nih.gov/research/HistoneDB2.0/index.fcgi/browse/
nbdc00497	HitPredict	A database of high confidence protein-protein interactions	http://www.hitpredict.org
nbdc00498	Homeodomain Resource		http://research.nhgri.nih.gov/homeodomain/
nbdc00500	HUMHOT	Human Meiotic Recombination Hot Spots	http://www.jncasr.ac.in/humhot/menuframe.html
nbdc00501	iCOD	integrated Clinical Omics Database	http://omics.tmd.ac.jp/icod_pub_eng/portal/top.do
nbdc00502	IES MDS Database		https://knot.math.usf.edu/mds_ies_db/index.html
nbdc00503	IGTC	International Gene Trap Consortium	http://www.genetrap.org/
nbdc00504	IMSR	the Internatinal Mouse Strain Resource	http://www.findmice.org/
nbdc00505	InBase	The Intein Database and Registry	http://www.inteins.com
nbdc00506	Info-PubMed		http://www-tsujii.is.s.u-tokyo.ac.jp/info-pubmed/
nbdc00509	International HapMap Project		http://hapmap.ncbi.nlm.nih.gov/
nbdc00511	IUBMB Nomenclature	INTERNATIONAL UNION OF BIOCHEMISTRY AND MOLECULAR BIOLOGY	https://www.qmul.ac.uk/sbcs/iubmb/
nbdc00513	J. Craig Venter Institute		http://www.jcvi.org/
nbdc00516	Japanese Ant Image Database		http://ant.miyakyo-u.ac.jp/E/index.html
nbdc00518	JCRB Cell Bank		http://cellbank.nibiohn.go.jp/english/
nbdc00519	JenaLib	Jena Library of Biological Macromolecules	http://jenalib.fli-leibniz.de
nbdc00520	KaFTom	Kazusa Full-length Tomato cDNA Database	http://www.pgb.kazusa.or.jp/kaftom/
nbdc00521	KAIKO Proteome Database		http://kaiko2ddb.dna.affrc.go.jp/cgi-bin/search_2DDB.cgi
nbdc00522	KAIKObase		http://sgp.dna.affrc.go.jp/KAIKObase/
nbdc00523	KAIKOBLAST		http://kaikoblast.dna.affrc.go.jp/
nbdc00524	KAIKOGAAS	KAIKO Genome Automated Annotation System	http://kaikogaas.dna.affrc.go.jp
nbdc00525	KaPPA-View 4	Kazusa Plant Pathway Viewer	http://kpv.kazusa.or.jp/en/
nbdc00526	KATANA	Kazusa Arabidopsis thaliana Annotation Abstract	http://www.kazusa.or.jp/katana/index.html
nbdc00528	KazusaMart1.0		http://mart.kazusa.or.jp/biomart/martview
nbdc00529	KCGD	Kyoto Chlamydomonas Genome Database	http://www.molecule.lif.kyoto-u.ac.jp/kcgd.html
nbdc00531	KEGG DAS	KEGG Distributed Annotation System	http://keggdas.hgc.jp
nbdc00532	KEGG GENES Database	Molecular building blocks of life in the genomic space	http://www.genome.jp/kegg/genes.html
nbdc00534	Klotho	Biochemical Compounds Declarative Database	http://www.biocheminfo.org/klotho
nbdc00535	KMaiDB	Keio Mutation autoimmune database	http://www.mutationview.jp/MutationView/jsp/mutview/index.jsp?db=ai
nbdc00536	KMbloodDB	Keio Mutation blood database	http://www.mutationview.jp/MutationView/jsp/mutview/index.jsp?db=blood
nbdc00537	KMbrainDB	Keio Mutation brain database	http://www.mutationview.jp/MutationView/jsp/mutview/index.jsp?db=brain
nbdc00538	KMcancerDB	Keio Mutation cancer database	http://www.mutationview.jp/MutationView/jsp/mutview/index.jsp?db=cancer
nbdc00539	KMDB/MutationView	Keio Mutation Databases	http://www.mutationview.jp/MutationView/jsp/index.jsp
nbdc00540	KMearDB	Keio Mutation ear database	http://www.mutationview.jp/MutationView/jsp/mutview/index.jsp?db=ear
nbdc00541	KMeyeDB	Keio Mutation eye database	http://www.mutationview.jp/MutationView/jsp/mutview/index.jsp?db=eye
nbdc00542	KMheartDB	Keio Mutation heart database	http://www.mutationview.jp/MutationView/jsp/mutview/index.jsp?db=heart
nbdc00543	KMmuscleDB	Keio Mutation muscle database	http://www.mutationview.jp/MutationView/jsp/mutview/index.jsp?db=muscle
nbdc00544	KMsyndromeDB	Keio Mutation syndrome database	http://www.mutationview.jp/MutationView/jsp/mutview/index.jsp?db=syndrome
nbdc00546	KOP	Kazusa ORFeome Project	http://www.kazusa.or.jp/kop/
nbdc00547	L1Base	Annotation of Full-Length, Intact L1 Element	http://l1base.charite.de/l1base.php
nbdc00548	Labome.Org		http://www.labome.org/
nbdc00550	LSDB Archive	Life Science Database Archive	https://dbarchive.biosciencedbc.jp/index-e.html
nbdc00552	Lotus japonicus (miyakogusa) EST dataset		https://www.kazusa.or.jp/e/plant/lotus/EST/
nbdc00553	Lowe Syndrome Mutation Database		http://research.nhgri.nih.gov/lowe/
nbdc00554	LSDB	Life Science DataBase	http://lifesciencedb.jp/?lng=en
nbdc00555	M Base	Medaka Genome Database	http://mbase.nig.ac.jp/mbase/medaka_top.html
nbdc00556	MachiBase	A Drosophila Melanogaster 5'-end mRNA Transcription Database	http://machibase.gi.k.u-tokyo.ac.jp/
nbdc00557	MacroArray Analysis Page of Bradyrhizobium japonicum		http://orca10.bio.sci.osaka-u.ac.jp/array02/
nbdc00558	Macrophage Curated Database Index		http://gnp.hgc.jp/macrophage/
nbdc00559	Makino Herbarium Type Specimen Image Database		http://ameba.i.hosei.ac.jp/BIDP/MakinoCD/makino/html_e/index0.html
nbdc00560	MCPA2	Mammalian Crania Photographic Archive Second Edition	https://dept.dokkyomed.ac.jp/dep-m/macro/mammal/en/mammal.html
nbdc00561	McSyBi	Multi-document Clustering System for Biomedicine	http://textlens.hgc.jp/McSyBi/index.html
nbdc00562	MDB	Metalloprotein Database and Browser	http://metallo.scripps.edu
nbdc00564	MEDALS	METI database portal for life science	http://medals.jp/etop
nbdc00565	MEDIE		http://www.nactem.ac.uk/medie/index.cgi
nbdc00566	MEROPS	the Peptidase Database	http://merops.sanger.ac.uk
nbdc00567	MethDB	the database for DNA methylation and environmental epigenetic effects	http://www.methdb.de/
nbdc00570	MiBASE	Micro-Tom Database	http://www.pgb.kazusa.or.jp/mibase/
nbdc00571	miRo2	The miR-Ontology Knowledgebase	http://microrna.osumc.edu/miro/
nbdc00572	MitoDat	Mendelian Inheritance and the Mitochondrion	http://www.ccrnp.ncifcrf.gov/mitoDat/
nbdc00574	Mouse Basement Membrane Bodymap		http://dbarchive.biosciencedbc.jp/archive/matrixome/bm/home.html
nbdc00575	Mouse DNA Microarray		http://www.kazusa.or.jp/DNA_Microarray/mouse/2003-B6vs129/
nbdc00576	Mouse Genome Databases		http://www.nervenet.org/main/dictionary.html
nbdc00577	MTB Database	Mouse Tumor Biology Database	http://tumor.informatics.jax.org/mtbwi/index.do
nbdc00578	MusBanks	A portal to worldwide mutant databases	http://omicspace.riken.jp/MusBanks/
nbdc00579	MutationView		http://mutationview.jp/MutationViewV2Server/top
nbdc00581	NBRP Bacillus subtilis	National BioResource Project Bacillus subtilis	https://shigen.nig.ac.jp/bsub/locale/change?lang=en
nbdc00582	NBRP Information Site		http://www.nbrp.jp/localeAction.do?lang=en
nbdc00583	NBRP Nenkin	National BioResource Project Cellular slime molds	http://nenkin.nbrp.jp/locale/change?lang=en
nbdc00584	NCBI	National Center for Biotechnology Information	http://www.ncbi.nlm.nih.gov
nbdc00585	Genome - Genome information for rice		https://www.ncbi.nlm.nih.gov/genome/10
nbdc00586	NCL Mutation and Patient Database		https://www.ucl.ac.uk/ncl-disease/mutation-and-patient-database
nbdc00587	RNA Bibliography - ncRNA.org		http://www.ncrna.org/rna-bibliography
nbdc00588	Project Specific Custom Tracks - ncRNA.org		http://www.ncrna.org/custom-tracks
nbdc00589	Neal's DNA Mutation Site		http://www.ibiblio.org/dnam/mainpage.html
nbdc00590	Neuraminidase Structure DB		http://protein.gsc.riken.jp/Research/index_na.html
nbdc00591	INCF Japan Node		https://www.neuroinf.jp/?ml_lang=en
nbdc00592	New Natural Compounds purified in RIKEN (Antibiotics Lab and Chemical Biology Research Group)		http://www.cbrg.riken.jp/csrs/en/compounds.html
nbdc00595	NIG Mouse Genome Database		http://molossinus.nig.ac.jp/mog2/
nbdc00596	NIG Mouse Phenotype Database		http://molossinus.lab.nig.ac.jp/phenotype/index.html
nbdc00597	Nocardia farcinica Genome Project Page		http://nocardia.nih.go.jp
nbdc00598	Noncoding RNA database		http://biobases.ibch.poznan.pl/ncRNA
nbdc00601	O-GlycBase	O- and C-glycosylated proteins database	https://services.healthtech.dtu.dk/datasets/OglycBase/
nbdc00602	OLIGAMI	Oligomer Architecture and Molecular Interface	http://protein.t.soka.ac.jp/oligami/
nbdc00603	OmicBrowse		http://omicspace.riken.jp/db/genome.html
nbdc00605	OmicScan (Integrating MEDLINE and Omics Database)		http://omicspace.riken.jp/OmicScan/
nbdc00606	OriDB	DNA Replication Origin Database	http://www.oridb.org/index.php
nbdc00612	PDB-REPRDB	Representative protein chains from PDB	http://mbs.cbrc.jp/pdbreprdb-cgi/reprdb_menu.pl
nbdc00614	PDDB	Prion Disease Database	http://prion.systemsbiology.net/cgi-bin/dispatcher.cgi/Welcome/display
nbdc00615	PEDB	Mammalian Promoter/Enhancer Database	http://promoter.cdb.riken.jp/
nbdc00616	PEDB	Prostate Expression Database	http://www.pedb.org
nbdc00617	Peptidome - NCBI		http://www.ncbi.nlm.nih.gov/peptidome
nbdc00618	Petri Net Pathways		http://genome.ib.sci.yamaguchi-u.ac.jp/pnp/
nbdc00619	PFDB	Pathogenic Fungi Database	http://www.pfdb.net/myhtml/database_eng.html
nbdc00620	PicSNP	A Catalog of Non-Synonymous SNP	http://plaza.umin.ac.jp/~hchang/picsnp/
nbdc00621	PigGIS	Pig Genomics Informatics System	http://pig.genomics.org.cn/
nbdc00622	PiSITE	Database of Protein interaction SITEs	http://pisite.hgc.jp/
nbdc00623	Plant Repeat Databases		http://plantrepeats.plantbiology.msu.edu/index.html
nbdc00624	PolymiRTS	Polymorphism in microRNA Target Site	http://compbio.uthsc.edu/miRSNP/
nbdc00625	Poplar Full-Length Clone Database Search		http://www.brc.riken.jp/lab/epd/catalog/poplarclone.html
nbdc00626	Popset		http://www.ncbi.nlm.nih.gov/popset
nbdc00627	Porphyra yezoensis (susabinori) EST dataset		https://www.kazusa.or.jp/e/plant/porphyra/EST/
nbdc00628	PosMed	Positional MEDLINE	http://omicspace.riken.jp/PosMed/
nbdc00629	PPI view	Protein-Protein Interaction viewer	http://www.h-invitational.jp/hinv/ppi/index.html
nbdc00631	PRIGEN	PRImate GENes	http://www.prigen.org
nbdc00632	PRIMe	Platform for RIKEN Metabolomics	http://prime.psc.riken.jp/
nbdc00633	PRIMe - SpinAssign	Platform for RIKEN Metabolomics - SpinAssign	http://dmar.riken.jp/spinassign/
nbdc00634	PRIMe - Standard Spectrum Search	Platform for RIKEN Metabolomics - Standard Spectrum Search	http://prime.psc.riken.jp/menta.cgi/prime/standard_index
nbdc00635	PROPHECY	PROfiling of PHEnotypic Characteristics in Yeast	http://prophecy.lundberg.gu.se
nbdc00637	Protein Cluster		http://www.ncbi.nlm.nih.gov/proteinclusters
nbdc00638	Pseudomonas Genome Database V2		http://www.pseudomonas.com
nbdc00639	PTM-Switchboard		http://cagr.pcbi.upenn.edu/PTMswitchboard
nbdc00643	Radiation Gene	Database of genes transcriptionally modulated by ionizing radiation in mammalian cells	http://bbcd.bio.uniroma1.it/radiationgenes/
nbdc00644	RAPID	RIKEN Arabidopsis Phenome Information Database	http://rarge.psc.riken.jp/phenome/
nbdc00645	RAPID	Resource of Asian Primary Immunodeficiency Diseases	http://web16.kazusa.or.jp/rapid/
nbdc00646	RARTF	RIKEN Arabidopsis Transcription Factor database	http://rarge.psc.riken.jp/rartf/
nbdc00649	Recode v. 2.0	Database of translational recoding events	https://recode.ucc.ie/
nbdc00650	RVD	The Recombinant Virus Database	https://dnaconda.riken.jp//rvd/index.html
nbdc00651	RED II	Rice Expression Database II	http://cdna01.dna.affrc.go.jp/cDNA/EXPRESSION/description.html
nbdc00652	RefDIC	Reference Database of Immune Cells	http://refdic.rcai.riken.jp/welcome.cgi
nbdc00653	RegTransBase	A curated database of regulatory interactions in Prokaryotes	http://regtransbase.lbl.gov/cgi-bin/regtransbase?page=main
nbdc00655	RIKEN ENU-based gene-driven mutagenesis		http://www.brc.riken.go.jp/lab/mutants/genedriven_name.htm
nbdc00656	Rhodococcus genome Project		http://www.rhodococcus.ca/index.jsp
nbdc00657	Rice Full-Length cDNA Encyclopedia DNABook		http://gerg03.gsc.riken.jp/DNABook_DB/VIEW/Book_Top.php?BOOK_ID=BOOK_5
nbdc00659	RIKEN Arabidopsis Activation tagging line		https://metadb.riken.jp/metadb/db/SciNetS_ria37i
nbdc00660	RIKEN BRC	RIKEN BioResource Center	http://www.brc.riken.jp/inf/en/index.shtml
nbdc00661	Arabidopsis activation (T-DNA)-tagged lines		http://epd.brc.riken.jp/en/seed/activ
nbdc00662	Cell Search System - RIKEN BRC CELL BANK		http://cellbank.brc.riken.jp/cell_bank/WebSearch/?lang=En
nbdc00663	RIKEN BRC DNA BANK		http://dna.brc.riken.jp/en/
nbdc00664	Metadata of JCM resources		https://metadb.riken.jp/metadb/db/rikenbrc_jcm_microbe
nbdc00665	RIKEN BRC PLANT DATABASE SERCH - BLAST Search		http://www.brc.riken.jp/lab/epd/blast/
nbdc00666	RIKEN Hub Database		http://omicspace.riken.jp/db/index.html.en
nbdc00668	RIKEN Mouse Genome Encyclopedia DNABook		http://gerg03.gsc.riken.jp/DNABook_DB/VIEW/Book_Top.php?BOOK_ID=BOOK_1
nbdc00670	RSGI	RIKEN Structural Genomics/Proteomics Initiative	http://www.rsgi.riken.jp/rsgi_e/index.html
nbdc00671	RIKEN-CIAT Cassava Full-Length Clone Database Search		http://www.brc.riken.go.jp/lab/epd/catalog/cassavaclone.html
nbdc00673	RPOPDB	RIKEN Populus Database	http://rpop.psc.riken.jp/index.pl
nbdc00675	SABRE	Systematic consolidation of Arabidopsis and other Botanical REsource	http://saber.epd.brc.riken.jp/sabre/SABRE0101.cgi
nbdc00676	SALAD Database	Surveyed conserved motif ALignment diagram and the Associating Dendrogram	http://salad.dna.affrc.go.jp/salad/en/
nbdc00677	Wellcome Trust Sanger Institute		http://www.sanger.ac.uk
nbdc00678	Schizosaccharomyces pombe Postgenome Database		http://www.riken.jp/SPD/index.html
nbdc00681	SEVENS		http://sevens.cbrc.jp/
nbdc00683	snOPY	snoRNA Orthological Gene Database	http://snoopy.med.miyazaki-u.ac.jp
nbdc00684	SNPedia		http://www.snpedia.com/
nbdc00685	rsoy	RIKEN Soybean Full-Length cDNA Database	http://spectra.psc.riken.jp/menta.cgi/rsoy/index
nbdc00687	SRA	Sequence Read Archive	http://www.ncbi.nlm.nih.gov/sra
nbdc00688	SRPDB	Signal Recognition Particle Database	https://rth.dk/resources/rnp/SRPDB/SRPDB.html
nbdc00689	STRBase	Short Tandem Repeat DNA Internet Database	http://www.cstl.nist.gov/div831/strbase/
nbdc00691	Structure		http://www.ncbi.nlm.nih.gov/sites/entrez?db=structure
nbdc00692	SubtiList World-Wide Web Server		http://genolist.pasteur.fr/SubtiList/
nbdc00694	Swine Marker Viewer		http://agp.dna.affrc.go.jp/agp/db/marker/marker.html
nbdc00695	SWISS-2DPAGE	SWISS-Two-dimensional polyacrylamide gel electrophoresis database	http://world-2dpage.expasy.org/swiss-2dpage/
nbdc00696	TAB project	Transcription Analysis of BY-2	http://mrg.psc.riken.go.jp/strc/index.htm
nbdc00697	TAIR	The Arabidopsis Information Resource	http://www.arabidopsis.org
nbdc00698	Tandem Repeats Database		http://tandem.bu.edu/cgi-bin/trdb/trdb.exe?taskid=7
nbdc00699	TassDB2	Tandem Splice Site DataBase	http://tassdb2.leibniz-fli.de
nbdc00700	Taxonomy - NCBI		http://www.ncbi.nlm.nih.gov/taxonomy
nbdc00701	TFdb	Riken Transcription Factor Database	http://genome.gsc.riken.jp/TFdb/
nbdc00702	The Candida Albicans Physical Map Website		http://cbs.umn.edu/candida-albicans/home
nbdc00704	The Kidney Development Database		http://golgi.ana.ed.ac.uk/kidhome.html
nbdc00707	The RNA modification database		http://mods.rna.albany.edu/
nbdc00708	The tmRNA Website		http://bioinformatics.sandia.gov/tmrna/
nbdc00709	The Wnt Homepage		http://www.stanford.edu/group/nusselab/cgi-bin/wnt/
nbdc00710	THz spectral database		http://www.riken.jp/THzdatabase/index.html
nbdc00711	TIGRFAMs		http://www.jcvi.org/cgi-bin/tigrfams/index.cgi
nbdc00712	TIGR Plant Transcript Assemblies		http://plantta.jcvi.org/
nbdc00713	TMBETA-GENOME (Archive)	Annotation of Beta-Barrel Membrane Proteins in Genomic Sequences	https://dbarchive.biosciencedbc.jp/en/tmbeta-genome/desc.html
nbdc00714	TMFunction (Archive)	Functional Database of Membrane Proteins	https://dbarchive.biosciencedbc.jp/en/tmfunction/desc.html
nbdc00715	tmRDB		http://rth.dk/resources/rnp/tmRDB/tmRDB.html
nbdc00716	TOMATO (National BioResource Project)		http://tomato.nbrp.jp/indexEn.html
nbdc00717	Swine Linkage Map Viewer		http://agp.dna.affrc.go.jp/agp/db/linkage/linkage.html
nbdc00718	Germline Mutagenesis Database - SB transposon		http://variation.osu.edu/germline/SB_transposon/index.html
nbdc00719	Transterm		http://crispr.otago.ac.nz/TT/index.php
nbdc00721	Tropical Medicine and Health		https://www.jstage.jst.go.jp/browse/tmh
nbdc00722	HSG Database	Two-Dimensional Electrophoresis Database of HSG cells proteins	http://cellbiosignal.jp/biochem/kamo/
nbdc00723	UgMicroSatdb	Unigene MicroSatellite database	http://www.veenuash.info/veenu/index.asp
nbdc00724	UK CROPNET	UK Crop Plant Bioinformatics Network	http://ukcrop.net/
nbdc00725	EAWAG-BBD	University of Minnesota Biocatalysis/Biodegradation Database	http://eawag-bbd.ethz.ch/
nbdc00726	UniVec		http://www.ncbi.nlm.nih.gov/VecScreen/UniVec.html#Overview
nbdc00727	UNKA (BPH) EST		http://bphest.dna.affrc.go.jp/
nbdc00729	UTGB		http://yeast.utgenome.org/
nbdc00731	VarySysDB		http://h-invitational.jp/varygene/home.htm
nbdc00732	VectorDB		http://genome-www.stanford.edu/vectordb//
nbdc00733	Viral Probe Database		http://genestamp.sinica.edu.tw/virus/viralProbe.htm
nbdc00734	VISTA Enhancer Browser		http://enhancer.lbl.gov/
nbdc00735	WHO/TDR MALARIA Database		http://www.wehi.edu.au/other_domains/MalDB/who.html
nbdc00736	WhoGA	Whole Genome Annotation	http://rgp.dna.affrc.go.jp/whoga/
nbdc00739	World-2DPAGE Repository	World-Two-dimensional polyacrylamide gel electrophoresis database	http://world-2dpage.expasy.org/repository/
nbdc00741	Xanthobase	Xanthomonas oryzae pv. oryzae genome database	http://microbe.dna.affrc.go.jp/Xanthomonas/
nbdc00742	Yeast Interacting Proteins Database		http://itolab.med.kyushu-u.ac.jp//Y2H/
nbdc00743	UMASS Amherst Yeast snoRNA Database		http://people.biochem.umass.edu/fournierlab/snornadb/main.php
nbdc00744	yMGV	Yeast Microarray Global Viewer	http://www.transcriptome.ens.fr/ymgv
nbdc00745	NBRP Zebrafish	National BioResource Project Zebrafish	http://www.shigen.nig.ac.jp/zebra/index_en.html
nbdc00747	zTRAP	Zebrafish Gene Trap and Enhancer Trap Database	http://kawakami.lab.nig.ac.jp/ztrap/
nbdc00761	Japanese Fungi on Plants		http://www.naro.affrc.go.jp/archive/niaes/inventory/microorg/eng/zukan-e.html
nbdc00766	Digital Atlas of Actinomycetes		http://www.actino.jp/DigitalAtlas1/index.htm
