prefix	name	synonyms	description	example	pattern	uri_format
genprotec	GenProtEC		GenProtEC is dedicated to the functions encoded by the Escherichia coli K-12 (strain MG1655) genome defined in the GenBank Accession No. NC_000913.2 deposit.	b3128	^b\d+$	
gensat	Gene Expression Nervous System Atlas		The GENSAT project aims to map the expression of genes in the central nervous system of the mouse, using both in situ hybridization and transgenic mouse techniques.	76681	^\d+$	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gensat&cmd=retrieve&list_uids=$1
gissd	Group I intron sequence and structure Database		Group I intron sequence and structure Database (GISSD) is a specialized and comprehensive database for group I introns, focusing on integrating useful group I intron information from all available databases. GISSD also wants to provide de novo data essential for understanding group I introns at a systematic level.	319	^\d+$	http://www.rna.whu.edu.cn/perl/gissd/get_seq_exon.cgi?intron_id=$1
gobase	The Organelle Genome Database		GOBASE is a taxonomically broad organelle genome database that organizes and integrates diverse data related to mitochondria and chloroplasts. GOBASE is currently expanding to include information on representative bacteria that are thought to be specifically related to the bacterial ancestors of mitochondria and chloroplasts	11414850	^\d+$	
gopad	GO Partition Database		The GO Partition Database was designed to feature ontology partitions with GO terms of similar specificity.The database, featuring GO partition sets for functional analysis of genes from human and ten other commonly-studied organisms with a total of 131,972 genes.	166666	^\d+$	http://bcl.med.harvard.edu/proteomics/proj/gopart/gopart_all_tbl_view_detail_list.php?masterkey=$1
gp	NCBI Genome Project Database	gpd	The NCBI Entrez Genome Project database is intended to be a searchable collection of complete and incomplete (in-progress) large-scale sequencing, assembly, annotation, and mapping projects for cellular organisms. The database is organized into organism-specific overviews that function as portals from which all projects in the database pertaining to that organism can be browsed and retrieved.	31045	^\d+$	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=genomeprj&cmd=ShowDetailView&TermToSearch=$1
gpdb	gpDB: a database of GPCRs, G-proteins, Effectors and their interactions		GpDB is a publicly accessible, relational database of G-proteins and their interactions with GPCRs and effector molecules. The sequences are classified according to a hierarchy of different classes, families and sub-families, based on extensive literature search.	GPR0060	^GPR\d+$	
gpxmacrophage	GPX-Macrophage Expression Atlas	gpxmacrophage:	Macrophage Expression Atlas is a database for expression profiles of macrophages challenged with a a variety of pro-inflammatory, anti-inflammatory, benign and pathogen insults.	56	^\d+$	http://gpxmea.gti.ed.ac.uk/GPX/cgi-bin/Scripts/showexperiment.cgi?HID=$1
greenphyldb	GreenPhylDB: A phylogenomic database for plant comparative genomics		GreenPhylDB v2.0 comprises 16 full genomes from the major phylum of plant evolution. Clustering of these genomes was performed to define a consistent and extensive set of homeomorphic plant families.	20939	^\d+$	http://greenphyl.cirad.fr/v2/cgi-bin/family.cgi?id=$1
gtop	Genomes TO Protein structures		GTOP is a database consisting of data analyses of proteins identified by various genome projects. This database mainly uses sequence homology analyses and features extensive utilization of information on three-dimensional structures.	18063	^\d+$	http://spock.genes.nig.ac.jp/~genome/cgi-bin/mas.pl.cgi?org=[?species]&gene=$1
hagr	Human Ageing Genomic Resources		The Human Ageing Genomic Resources (HAGR) is a collection of databases and tools designed to help researchers understand the genetics of human ageing through a combination of functional genomics and evolutionary biology.	GSTA1	^[A-Z]+/\d+$	http://genomics.senescence.info/genes/entry.php?hgnc=$1
hc	Habronattus courtship		An ontology for courtship behavior of the spider <i>Habronattus californicus</i>.	Locomotion	^\w+$	http://www.mesquiteproject.org/ontology/Habronattus/$1.html
hcdpd	Health Canada Drug Product Database		The Health Canada Drug Product Database contains product specific information on drugs approved for use in Canada. The database is managed by Health Canada and includes human pharmaceutical and biological drugs, veterinary drugs and disinfectant products. It contains approximately 15,000 products which companies have notified Health Canada as being marketed.	63250	^\d+$	
hcnet	Heart and Calcium Functional Network Database		Heart and Calcium functional Network (HCNet) is a specialized database for mouse heart and calcium signaling toolkit genes. It contains the functional gene modules pre-calculated from the microarray data compendium using various algorithms for genetic network analyses.	Mm.686	^Mm.\d+$	http://sbrg2.gist.ac.kr/hcnet/ver1.1/php/showDetailGeneInfo.php?unigeneID=$1
hcpin	Human Cancer Protein Interaction Network		The HCPIN Website provides a comprehensive description of this biomedically important multipathway network together with experimental and homology models of HCPIN proteins useful for cancer biology research.	132	^\d+$	http://nesg.org:9090/HCPIN/NShowProteinInfor.jsp?protein_id=$1
hdbas	Human-Transcriptome Database for Alternative Splicing		H-DBAS offers unique data and viewer for human Alternative Splicing (AS) analysis including genome-wide representative alternative splicing variants (RASVs), RASVs affecting protein functions, conserved RASVs compared with mouse genome (full length cDNAs).	HIX0000013	^HIX\d+$	http://jbirc.jbic.or.jp/h-dbas/locusOverview.do?db=all&hix=$1
hdbase	Huntington's Disease Database		The purpose of HDBase is to collect and present information that wil assist Huntington's Disease researchers in their work including therapeutic studies (in mice), HD mouse models focussing on disease progression timelines, antibodies used, microarray gene expression studies, relevant genes and proteins, as well as molecular pathways thought to be involved in the disease process.	5978	^\d+$	http://hdbase.org/cgi-bin/jdrf_gene.cgi?ll_id=$1
hedgehog	Hedgehog Signaling Pathway Database		This extensively annotated database collects information associated with the Hedgehog signaling pathway. Pathway model diagrams, lists of genes involved in the pathway, expression in tissues and mutations involved in disease. Listings of reagents and other community resources are available.	79	^\d+$	http://hedgehog.sfsu.edu/genes/$1.html
hembase	HemBase		Based on the mapping of the human genome and the development of information databases, a broad description of genes transcribed in blood cells is now known. Hembase was developed to provide worldwide access to those genetic-based studies performed by scientists in the Molecular Biology and Genetics Section, Molecular Medicine Branch, Division of Intramural Research, National Institute of Diabetes and Digestive and Kidney Diseases	8p21	^\dp\d+$	http://fmp-8.cit.nih.gov/hembase/detail.php?chrb=$1
histone_database	Histone Sequence Database: Histone Fold Proteins		The Histone Database is a curated and searchable collection of full-length sequences and structures of histones and nonhistone proteins containing histone-like folds, compiled from major public databases.	102146	^\d+$	
hivmid	HIV Molecular Immunology Database		The HIV Molecular Immunology Database is an annotated, searchable collection of HIV-1 cytotoxic and helper T-cell epitopes and antibody binding sites.	14	^\d+$	
hmp	Human Microbiome Project		The HMP was launched by the National Institutes of Health Roadmap for Medical Research and is designed to fuel research into the multitude of microbes that live in the various environments of the human body.	0010	^\d+$	http://www.hmpdacc-resources.org/cgi-bin/hmp_catalog/main.cgi?section=HmpSummary&page=displayHmpProject&hmp_id=$1
homd	Human Oral Microbiome Database		The Human Oral Microbiome Database (HOMD) provides a site-specific comprehensive database for the more than 600 prokaryote species that are present in the human oral cavity. It contains genomic information based on a curated 16S rRNA gene-based provisional naming scheme, and taxonomic information.	504	^\d+$	http://www.homd.org/modules.php?op=modload&name=HOMD&file=index&oraltaxonid=$1&view=dynamic
horde	Human Olfactory Receptor Data Exploratorium		HORDE (The Human Olfactory Data Explorer) is a database of human Olfactory Receptors (ORs), the largest multigene family in multicellular organisms. The database gives information on the OR proteins, their gene structure and their genomic organization. Also available are OR repertoires of other mammalian species.	OR1E1	^[A-Z]+/\d+$	http://genome.weizmann.ac.il/cgi-bin/horde/showGene.pl?symbol=$1
howdy	Human Organized Whole Genome Database		HOWDY is an integrated database system for accessing and analyzing human genomic information. HOWDY stores information about relationships between genetic objects and the data extracted from a number of databases. Linear maps displaying markers and genes on contig sequences are available, from which an object can be chosen. Any search starting point identifies all the information matching the query.	ab027466	^[A-Z]+\d+$	http://howdy.jst.go.jp/HOWDYCL/HOWDY.pl?Cls=GenBank&Key=UKEY&Val=$1
icds	Interrupted coding sequences	ics	ICDS database is a database containing ICDS detected by a similarity-based approach. The definition of each interrupted gene is provided as well as the ICDS genomic localisation with the surrounding sequence.	ICDS0023	^ICDS\d+$	http://www-bio3d-igbmc.u-strasbg.fr/ICDS/cgi-bin/gscope_html_server.tcsh?ICDS&PagesWeb&GvioManu&UnICDS&$1
idbd	Infectious Disease Biomarker Database		IDBD provides links to global news, and life science journal search engines. The site also provides links to tool functions for gene sequence and protein structure analyses. It serves basic information on infection diseases and their causative agents.	24	^\d+$	http://biomarker.korea.ac.kr/disease/disease_view_en.jsp?group=1&id=$1
igtcd	International Gene Trap Consortium Database		The International Gene Trap Consortium (IGTC) represents all publicly available gene trap cell lines, which are available on a non-collaborative basis for nominal handling fees. Researchers can search and browse the IGTC database for cell lines of interest using accession numbers or IDs, keywords, sequence data, tissue expression profiles and biological pathways.	12056	^\d+$	http://www.genetrap.org/cgi-bin/annotation.py?gene_key=$1
ihop	Information Hyperlinked Over Proteins		By using genes and proteins as hyperlinks between sentences and abstracts, ihop converts the information in PubMed into one navigable resource and bring all the advantages of the internet to scientific literature investigation.	32484	^\d+$	http://www.ihop-net.org/UniPub/iHOP/gs/$1.html
il2rgbase	X-linked SCID mutation database (IL2RGbase)		X-linked severe combined immunodeficiency (XSCID or X-SCID) is an immune disorder caused by mutations in the X-linked gene IL2RG, which encodes the common gamma chain (c) of the lymphocyte receptors for interleukin-2 (IL-2) and many other cytokines. A database of human XSCID mutations (IL2RGbase) has been assembled. Information on new mutations may be submitted online.	14	^\d+$	http://research.nhgri.nih.gov/apps/scid/scid_reference.html#$1
insrd	Insecticide Resistance Database		insecticide resistance in mosquitos	13890	^\d+$	http://anobase.vectorbase.org/ir/assay.php?id=$1
integr8	Integr8 (formerly Proteome Analysis Database)		The Integr8 web portal provides easy access to integrated information about deciphered genomes and their corresponding proteomes. Available data includes DNA sequences; protein sequences; statistical genome and proteome analysis; and information about orthology, paralogy, and synteny.	30910	^\d+$	http://www.ebi.ac.uk/integr8/OrganismSelection.do?action=makeCurrent&proteomeId=$1
ipath	Linnea Pathways		LINNEA Pathways is based on a total of 248 signaling and metabolic human biological pathway maps created for Invitrogen™ by GeneGo.	408	^\d+$	http://escience.invitrogen.com/ipath/iPath.jsp?cn=unknown&mapid=$1
ipdestdab	The European Searchable Tumour Line Database		The European Searchable Tumour Line Database (ESTDAB) Database and Cell Bank provide a service enabling investigators to search online for HLA typed, immunologically characterised tumour cells.	ESTDAB-136	^ESTDAB-\d+$	http://www.ebi.ac.uk/cgi-bin/ipd/estdab/print_cell.cgi?$1
iris	International Rice Information System		IRIS is the rice implementation of the International Crop Information System (ICIS) which is a database system that provides integrated management of global information on genetic resources and crop cultivars. This includes germplasm pedigrees, field evaluations, structural and functional genomic data (including links to external plant databases) and environmental (GIS) data.	597754	^\d+$	
its2	Internal Transcribed Spacer 2 Database		Optimal global pairwise alignments from about 270,000 ribosomal RNA (rRNA) internal transcribed spacer 2 (ITS2) sequences - all against all - have been generated in order to model ITS2 secondary structures based on sequences with known structures.	133245	^\d+$	http://its2.bioapps.biozentrum.uni-wuerzburg.de/cgi-bin/its2.pl?Taxon_id=$1&method=All
jaspar	JASPAR: The high-quality transcription factor binding profile database		The JASPAR CORE database contains a curated, non-redundant set of profiles, derived from published collections of experimentally defined transcription factor binding sites for eukaryotes.	MA1234	^MA\d+$	
kdbi	Kinetic Data of Biomolecular Interactions		Kinetic Data of Bio-molecular Interaction (KDBI) is a collection of experimentally determined kinetic data of protein-protein, protein-RNA, protein-DNA, protein-ligand, RNA-ligand, DNA-ligandbinding or reaction events described in the literature.	5957	^\d+$	http://bidd.nus.edu.sg/group/KDBI/Detail-new.asp?ID=$1
kineticdb	KineticDB - a Protein Folding Kinetics Database		KineticDB is the thoroughly curated database of protein folding kinetics which contains currently experiments on 87 unique proteins and about hundred of mutants. The main goal of KineticDB is to provide users with the diverse set of protein folding rates known from experiment.	4	^\d+$	http://kineticdb.protres.ru/db/ind.pl?ind=$1
kinmutbase	KinMutBase: A registry of disease-causing mutations in protein kinase domains		KinMutBase is a comprehensive database of disease-causing mutations in protein kinase domains. This release of the database contains 582 mutations in 20 tyrosine kinase domains and 13 serine/threonine kinase domains. The database refers 1790 cases from 1322 families.	K00046	^K\d+$	
kznf	Human KZNF Gene Catalog		A database of Krüppel-type zinc finger (ZNF) proteins	2	^\d+$	http://znf.igb.uiuc.edu/human/action/exploreView?type=locus&id=$1
l1base	L1Base: Annotation of Full-Length, Intact L1 Elements		L1Base is a dedicated database containing putatively active LINE-1 (L1) insertions residing in human and rodent genomes: a) intact in the two ORFs, full length L1s (FLI-L1s) and b) L1s with intact ORF2 but disrupted ORF1 (ORF2-L1s). In addition, due to their regulatory potential, the full length (>6000bp) non-intact L1s (FLnI-L1s) were also included in the database.	11	^\d+$	http://line1.bioapps.biozentrum.uni-wuerzburg.de/details.php?DBN=[?family_name]&UID=$1
leger	LEGER: Post-genome Database for Listeria Research		The Proteome Database LEGER links (as an information warehouse) basic requirements of each listerial research project with state of the art knowledge that can be derived from functional genome studies. It provides information about gene functions, protein expression levels, subcellular localization of proteins, and the biological meaning of genes/proteins.	Lmo0007	^L[a-z]+\d+$	
legiolist	Legionella pneumophila genome database		LegioList is a database dedicated to the analysis of the genomes of Legionella pneumophila strain Paris (endemic in France), strain Lens (epidemic isolate), strain Phildelphia 1, and strain Corby. It also includes the genome of Legionella longbeachae strain NSW150.	baf	^[A-Z]+/\d+$	
leproma	Mycobacterium leprae genome database		The Leprosy knowledge base integrates genome details, protein information, drug and transcriptome data, mutant and operon annotation; structural views and comparative genomics, in a structured manner required for the rational development of new diagnostic, therapeutic and prophylactic measures against leprosy.	pabB	^[A-Z]+/\d+$	http://mycobrowser.epfl.ch/leprosysearch.php?gene+name=$1&submit=Search
lhn	Loggerhead nesting		An ontology for Loggerhead sea turtle (Caretta caretta) nesting behavior, based on the published ethogram of Hailman and Elowson.	EKB_0000004	^EKB_\d+$	
listilist	Listeria innocua and Listeria monocytogenes genomes database		ListiList is a database dedicated to the analysis of the genomes of the food-borne pathogen, Listeria monocytogenes, and its non-pathogenic relative, Listeria innocua. Its purpose is to collate and integrate various aspects of the genomic information from L. monocytogenes, a paradigm for bacterial-host interactions.	LIN02037	^L[A-Z]+\d+$	
locate	Mammalian Protein Localization Database		LOCATE is a curated database that houses data describing the membrane organization and subcellular localization of proteins from the RIKEN FANTOM4 mouse and human protein sequence set.	6000263	^\d+$	http://locate.imb.uq.edu.au/cgi-bin/report.cgi?entry=$1
lsmd	Lowe Syndrome Mutation Database		Lowe oculocerebrorenal syndrome is an X-linked disorder caused by mutations in the OCRL1 gene, which encodes a 105-kDa Golgi protein with phosphatidylinositol (4,5) bisphosphate 5-phosphatase activity. This database of mutations causing Lowe syndrome has been established.	15	^\d+$	http://research.nhgri.nih.gov/lowe/db_retrieval.cgi?site_name=lowe&exon_intron_num=$1
magest	MAboya Gene Expression patterns and Sequence Tags		MAGEST is a database of maternal gene expression information for an Ascidian, Halocynthia roretzi. The ascidian has become an animal model in developmental biological research because it shows the simple developmental process and belongs to the one of chordate groups.	11102	^\d+$	http://magest.hgc.jp/db/show_contig_by_entry_id/$1
malisam	MALISAM: Manual ALIgnments of Structurally Analogous Motifs		MALISAM is a database of pairwise, structure-based alignments for structurally analogous motifs in proteins.	d1a7j__d1kafa_	^[a-z, 0-9]+_$	http://prodata.swmed.edu/malisam/[$11][$12]/[$11][$12].html
mamit	Mamit-tRNA	mamit-trna	Mamit-tRNA is a database for mammalian mitochondrial genomes, has been developed for deciphering structural features of mammalian mitochondrial tRNAs and as a helpful tool in the frame of human diseases linked to point mutations in mitochondrial tRNA genes	7	^\d+$	http://mamit-trna.u-strasbg.fr/mutations.asp?idAA=$1
mapviewer	MapViewer		The Map Viewer is a tool of Entrez Genomes that provides special browsing capabilities for eukaryotic chromosomes. It allows the user to view and search an organisms complete genome, display chromosome maps, and zoom into progressively greater levels of detail, down to the sequence data for a region of interest.	5061	^\d+$	http://www.ncbi.nlm.nih.gov/projects/mapview/map_search.cgi?taxid=$1
mdpd	Mutation Database for Parkinson's Disease		The Mutation Database for Parkinson.s Disease (MDPD) is designed to fulfill the need for information integration so that users can easily retrieve, inspect and enhance their knowledge on PD. The database contains 2391 entries on 202 genes extracted from 576 publications.	A2M	^[A-Z]+/\d+$	http://datam.i2r.a-star.edu.sg/mdpd/detail.php?symbol=$1
mepd	MEPD: Medaka Expression Pattern Database		The Medaka Expression Pattern Database (MEPD) stores and integrates information of gene expression during embryonic development of the small freshwater fish Medaka (Oryzias latipes).	1468	^\d+$	http://ani.embl.de:8080/mepd/MdbShowClone01?cloneID=$1
merna	A Database of Metal Ion Binding Sites in RNA		The RNA-metal binding database MERNA provides information that allows the classification of and search for specific metal binding motifs (e.g., tandem G-U pairs, loop E motif, A-platform motif). The RNA binding sites of 23 different metal ions are described, the most common of these being Mg2+, Na+, Ca2+, Cd2+ and K+.	Mg	^Element Symbol$	http://merna.lbl.gov/search.php?type=simple&metal_ion=$1
metagrowth	Metagrowth		Metagrowth is a new type knowledge base aiming to guide the experimental studies on the culture conditions of obligate parasitic bacteria. The database entry is composed of the evidences and specific hypotheses derived from them. Currently 200 entries are available for Coxiella burnetii.	E0241	^E\d+$	http://igs-server.cnrs-mrs.fr/axenic-cgi/www_get_evdb?evdb+$1
metatiger	metaTIGER		metaTIGER is a collection of metabolic profiles and phylogenomic information on a taxonomically diverse range of eukaryotes. Phylogenomic information is provided by 2,257 large phylogenetic trees which can be interactively explored. High-throughput tree analysis can also be carried out to identify trees of interest.	531	^\d+$	http://www.bioinformatics.leeds.ac.uk/metatiger/cgi_bin/pathway.cgi?organism=[$11]&network=[$12]
methdb	MethDB - the database for DNA methylation and environmental epigenetic effects		MethDB is a public database for DNA methylation. The database contains currently methylation patterns, profiles and total methylation content data for 46 species, 160 tissues and 72 phenotypes coming from a total of 6667 experiments (as of 4/9/2002). These data can be conviniently searched and represented in different ways.	759	^\d+$	
mfungd	MIPS Mouse Functional Genome Database		MfunGD provides a resource for annotated mouse proteins and their occurence in protein networks. Protein function annotation is performed using the Functional Catalogue annotation scheme, which is a hierarchically structured classification system.	mc4002350	^mc\d+$	http://mips.helmholtz-muenchen.de/genre/proj/mfungd/singleGeneReport.html?entry=$1
mgc	Mammalian Gene Collection		The goal of the Mammalian Gene Collection (MGC), a trans-NIH initiative, is to provide researchers with unrestricted access to sequence-validated full-length protein-coding (FL-CDS) cDNA clones for human, mouse, and rat genes.	23914	^\d+$	http://mgc.nci.nih.gov/Tissues/LibInfo?LID=$1
mgg	Magnaporthe grisea Database	broadmgg	The Magnaporthe grisea genome project is a partnership between the International Rice Blast Genome Consortium, and the Broad Institute. The project is facilitated by an Advisory Board made up of members of the rice blast research community.	S7000002168104215	^[A-Z]\d+$	http://www.broadinstitute.org/annotation/genome/magnaporthe_grisea/GeneDetails.html?sp=$1
mhcbn	MHCBN: A comprehensive database of MHC binding and Non-binding peptides		The MHCBN is a curated database consisting of detailed information about Major Histocompatibility Complex (MHC) Binding,Non-binding peptides and T-cell epitopes. The database provides information about allele specific MHC binding peptides, MHC non-binding, TAP binding, TAP non-binding peptides and T-cell epitopes reported in literature.	27940	^\d+$	http://www.imtech.res.in/cgibin/mhcbn/display.pl?field=sno&value=$1
micado	MICrobial Advanced Database Organization		Micado (MICrobial Advanced Database Organization) is a relational database dedicated to microbial genomes and functional analysis of Bacillus subtilis.	AL009126	^[A-Z,0-9]+$	http://genome.jouy.inra.fr/cgi-bin/micado/access.cgi?accessnumber=$1
microkit	MiCroKit - An Integrated Database of Midbody, Centrosome, and Kinetochore		The MiCroKit database is the first integrative resource to pin point most of identified components and related scientific information of midbody, centrosome and kinetochore.	MCK-SC-00010	^MCK-[A-Z]+-\d+$	http://microkit.biocuckoo.org/html/$1.html
mid	MHC-Peptide Interaction Database version T		The MHC-Peptide Interaction Database version T (MPID-T) is a new generation database for sequence-structure-function information on T cell receptor/peptide/MHC interactions.  It contains all structures of TcR/pMHC and pMHC complexes, with emphasis on the structural characterization of these complexes.	MHCA0013	^MHC[A/B]\d+$	
millipore_pathways	Visualize metabolic and signaling pathways		Cell signaling is part of a complex system of communication that regulates cellular activity and pathways are an essential tool for researchers to understand the mechanisms of cellular signaling. Millipore pathways provide the quickest way to visualize downstream and upstream protein activity. <p>Pathway diagrams are obtained from GeneGO, with links to MilliPore products.	219	^\d+$	http://www.millipore.com/pathways/pathviewer.do?searchTerms=&diseaseAreaIds=&pathwayId=$1
mimi	Michigan Molecular Interactions		MiMI provides a deeply merged view of several popular interaction databases including: BIND, HPRD, IntAct, GRID, and others. MiMI allows scientists to access one cohesive view of molecules found in these databases. Through a unique deep integration process, data that is complementary or conflicting among sites is highlighted.	2873	^\d+$	http://mimi.ncibi.org/MimiWeb/gene-details-page-front.jsp?geneid=$1
mips.plantsdb	MIPS PlantsDB		The MIPS plant genomics group focuses on the analysis of plant genomes, using bioinformatic techniques. To store and manage the data, we developed a database, PlantsDB, that aims to provide a data and information resource for individual plant species. In addition PlantsDB provides a platform for integrative and comparative plant genome research.	24980	^\d+$	
mirgator	miRGator: An integrated system for functional annotation of microRNAs		miRGator is a novel database and navigator tool for functional interpretation of miRNAs. Functional analyses and expression profiling are integrated with target gene prediction to infer biological function of miRNAs.	hsa-mir-155	^[a-z]+-[a-z]+-\d+$	
mirgen	miRGen: microRNA Genomics Resource		miRGen is an integrated database of positional relationships between animal miRNAs and genomic annotation sets, and animal miRNA targets according to combinations of widely used target prediction programs.	hsa-mir-155	^[a-z]+-[a-z]+-\d+$	
mirnamap	miRNAMap: genomic maps of studying gene regulation by metazoan microRNAs		miRNAMap was developed to collect experimental verified microRNAs and experimental verified miRNA target genes in human, mouse, rat, and other metazoan genomes. In addition to known miRNA targets, three computational tools previously developed, such as miRanda, RNAhybrid and TargetScan, were applied for identifying miRNA targets in 3' -UTR of genes.	MI0003490	^MI\d+$	http://mirnamap.mbc.nctu.edu.tw/php/mirna_entry.php?acc=$1
mirortho	miROrtho: the catalogue of animal microRNA genes		miROrtho contains predictions of precursor miRNA genes covering several animal genomes combining orthology and a Support Vector Machine. It provide homology extended alignments of already known miRBase families and putative miRNA families exclusively predicted by our SVM and orthology pipeline.	95423	^\d+$	http://cegg.unige.ch/mirortho/entry_details/$1
mist	Microbial Signal Transduction database		The Microbial Signal Transduction database contains the signal transduction proteins for 1017 complete bacterial and archaeal organisms. These are identified using various domain profiles that directly or indirectly implicate a particular protein in participating in signal transduction.	624	^\d+$	http://genomics.ornl.gov/mist/view_organism.php?organism_id=$1
mitodat	MitoDat: Mendelian Inheritance and the Mitochondrion		This database is dedicated to the nuclear genes specifying the enzymes, structural proteins, and other proteins, many still not identified, involved in mitochondrial biogenesis and function. MitoDat highlights predominantly human nuclear-encoded mitochondrial proteins, although we are including proteins from other animals in addition to those currently known only from yeast and other fungal mitochondria, as well as from plant mitochondria.	MD100041	^MD\d+$	http://www-lecb.ncifcrf.gov/mitoDat/$1.html
mitoproteome	MitoProteome		MitoProteome is an object-relational database of human mitochondrial protein sequences generated from information obtained from a comprehensive curation of public databases as well as from direct experimental evidence. MitoProteome contains both mitochondrial- and nuclear-encoded protein sequences.	MP000776	^MP\d+$	http://www.mitoproteome.org/data/proteome/index.cgi?db=mito&pid=L$1
mmcd	Madison Metabolomic Consortium Database		The goal of the Madison-Qingdao Metabolomics Consortium Database (MMCD) has been to support high-throughput NMR and MS approaches to the identification and quantification of metabolites present in biological samples. MMCD currently serves as a hub for information on small molecules of biological interest gathered from electronic databases and the scientific literature.	cq_12198	^cq_\d+$	http://mmcd.nmrfam.wisc.edu/test/cqsearch.py?cqid=$1
modomics	MODOMICS: A Database of RNA Modifications		MODOMICS  integrates information about the chemical structure of modified nucleosides, their localization in RNA sequences, pathways of their biosynthesis and enzymes that carry out the respective reactions. MODOMICS also provides literature information, and links to other databases, including the available protein sequence and structure data.	ac4Cm	^[A-Z,0-9]+$	http://modomics.genesilico.pl/modification?modification_id=$1
mokca	Mutations of Kinases in Cancer		The MoKCa database has been developed to structurally and functionally annotate, and where possible predict, the phenotypic consequences of mutations in protein kinases implicated in cancer.	47	^\d+$	http://strubiol.icr.ac.uk/extra/mokca/mut_by_prot.php?protein_q=$1
mosdb	The MIPS Oryza sativa database		The MOsDB is a resource for publicly available sequences of the rice (Oryza sativa L.) genome. The goal of MOsDB is to provide all available data about rice genes and genomics, including (in the future) mutant information and expression profiles. At this moment, the MOsDB database includes current (updated on daily basis) published sequences and gene annotation information of two Oryza sativa subspecies: japonica and indica.	190	^\d+$	http://mips.helmholtz-muenchen.de/plant/rice/reportsjsp/contigReport.jsp?contig_id=$1
motifmap	MotifMap		The MotifMap web interface allows users to filter motif sites using different threshold scores and conservation criteria, including Branch Length Score (BLS) and the Bayesian Branch Length Score (BBLS, see References). For a given motif and species, users can retrieve the genome-wide locations of the motif, and load them into the UCSC Genome Browser for visualization.	M01082	^M\d+$	
mpd	Mouse Phenome Database		The Mouse Phenome Database (MPD) is the database and web site of the Mouse Phenome Project. The MPD serves as a repository for protocols and raw data which are available for on-screen viewing and downloading.	Csf1	^[A-Z]+/\d+$	http://phenome.jax.org/db/q?rtn=markers/details&reqsym=$1
mtbreglist	MtbRegList		A database dedicated to the analysis of gene expression and regulation data in Mycobacterium tuberculosis. It is designed to contain most of the characterized transcription start sites and DNA binding sites cross-referenced with their respective transcription factor, along with some predicted regulatory motifs.	51	^\d+$	http://pages.usherbrooke.ca/gaudreau/MtbRegList/www/genome_ir_manip.php?id=$1
mutdb	MutDB		The goal of MutDB is to annotate human variation data with protein structural information and other functionally relevant information, if available. The mutations are organized by gene. Click on the alphabet below to go alphabetically through the list of genes.	8772	^\d+$	http://mutdb.org/cgi-bin/mutdb.pl?id=[?gene_symbol]&geneid=$1
mypulist	Mycoplasma pulmonis genome database		Its purpose is to collate and integrate various aspects of the genomic information from M. pulmonis, a mollicute causal agent of murine respiratory mycoplasmosis. MypuList provides a complete dataset of DNA and protein sequences derived from the strain M. pulmonis UAB CTIP, linked to the relevant annotations and functional assignments.	MYPU_0110	^MYPU_\d+$	
narcisse	NARCISSE: a mirror view of conserved syntenies		Narcisse is a comparative genome browser. It is specifically dedicated to the comparative display and analysis of completely or partially sequenced genomes. The aim of this project is to provide an intuitive access to the results of whole genome comparison.	A1C_06035	^[A-Z,0-9]+$	
nascarrays	Nottingham Arabidopsis Stock Centre's microarray database		NASCArrays is the Nottingham Arabidopsis Stock Centre's microarray database. Currently we hybridise over 1000 GeneChips per year mostly for Arabidopsis thaliana experiments which we make public, more than from any other GeneChip centre	413	^\d+$	http://affymetrix.arabidopsis.info/narrays/experimentpage.pl?experimentid=$1
natsdb	Natural Antisense Transcripts DataBase		Natural Antisense Transcripts (NATs) are RNAs that are at least partially complementary to other endogenous RNAs. This database allows users to browse and search cis-NATs according to the species, gene name, accession number, description, chromosomal location and sequence.	4921	^\d+$	http://natsdb.cbi.pku.edu.cn/nats_list.php?sa_type=SA_20&represent=1&keyword_term=&species=[?species_name]&id=$1
ncir	Non-Canonical Interactions in RNA		The primary objective of this database is to provide rapid access to all the RNA structures in which a particular rare base pair has been found. A secondary objective is to summarize the important properties that have been associated with each non-canonical base pair.	1155	^\d+$	http://prion.bchs.uh.edu/bp_type/individual_record_page$1.html
neibank	NEIBank		NEIBank is an integrated resource for genomics and bioinformatics in vision research. It includes expressed sequence tag (EST) data and sequence-verified cDNA clones for multiple eye tissues of several species, web-based access to human eye-specific SAGE data through EyeSAGE, and comprehensive, annotated databases of known human eye disease genes and candidate disease gene loci. All expression- and disease-related data are integrated in EyeBrowse, an eye-centric genome browser.	NbLib0056	^NbLib\d+$	http://neibank.nei.nih.gov/cgi-bin/showDataTable.cgi?lib=$1
netpath	NetPath - Signal Transduction Pathways		NetPath' is a curated resource of signal transduction pathways in humans. All 20 pathways are freely available in BioPAX, PSI-MI and SBML formats at this website. BioPAX is an emerging standard for pathway data exchange. The 10 cancer signaling pathways are also available for download and browsing from the Cancer Cell Map project website.	NetPath_M6464	^NetPath_[A-Z]\d+$	http://www.netpath.org/molecule?molecule_id=$1
netpro	Molecular Connections NetPro		NetPro is a comprehensive database of Protein-Protein and Protein-Small molecules interaction, consisting of more than 320,000 interactions captured from more than 1500 abstracts, approximately 1600 published journals and more than 60,000 references.	8851	^\d+$	http://www.interactions.net.in/index_molreport.jsp?id=$1
