prefix	name	description
FAIRsharing.71a10c	Multi-Omics Research Factory	MORF (Multi-Omics Research Factory) was initially created by the BBSRC-funded DETOX project, led by Prof. Gavin Thomas at the University of York, to manage large and complex multi-omics datasets. Built by biologists for biologists, it allows the whole team to access the data securely from their browser, without the need for programming skills. As data becomes publicly available, it can be accessed and further analysed here. MORF's tools are also freely-available and include the MORF genome browser, which incorporates over 100 microbial genomes, and MORFlux, a flux balance analysis (FBA) modelling tool.
FAIRsharing.71b5d3	Database of Essential Genes	The DEG (Database of Essential Genes) is a curated database that collects and documents genes and genomic elements deemed indispensable for an organism’s survival. It spans prokaryotes, archaea, and eukaryotes, and includes not only protein-coding essential genes but also non-coding RNAs, promoters, replication origins and other regulatory sequences.
FAIRsharing.71bf06	Dutch National COVID-19 clinical data dashboard	The Dutch national COVID-19 clinical data dashboard allows exploration and reuse of clinical data from Dutch university medical centers (UMCs). The dashboard provides researchers with a clear overview of what is available, allow searching for specific data and make access to such data easier when the necessary ethical and legal conditions have been met.
FAIRsharing.71fae0	World Data Centre for Greenhouse Gases	WDCGG serves to collect, archive and distribute data on greenhouse gases (CO2, CH4, CFCs, N2O, etc.) and other related gases (CO, etc.) in the atmosphere and elsewhere as observed under the Global Atmosphere Watch Programme (GAW) programme. The data comes from organizations and individual researchers worldwide (referred to here simply as contributors).
FAIRsharing.724271	The pan-African Open Access Platform	AfricArXiv is a free community-led digital archive for African research that provides a platform for African scientists to upload their working papers, preprints, accepted manuscripts (post-prints), and published papers. AfricArXiv aims for the dissemination of African scholarly content: 1) to a global audience, and 2) allows for knowledge exchange between African scholars and non-African researchers of African studies and other disciplines by providing options to link data and code along with article versioning. AfricArxiv provides African scientists from all disciplines to share their research outputs, including preprints, postprints, code and data free of cost.
FAIRsharing.725a75	ThesoTM thesaurus	The ThesoTM (Thesaurus of Text Mining) thesaurus is a bilingual (French-English) terminology resource based on transformation into SKOS of an ontology of open source text mining tools. It contains more than 1,300 concepts with their definitions and possibly an associated bibliography. It is based on the reuse of classes and properties from existing ontologies: * BFO (Basic Formal Ontology): a high-level ontology, modeling the main categories of reality * IAO (Information Artifact Ontology): a core ontology, modeling artifactual information entities * SWO (Software Ontology): software modeling * OMTD-Share (from the OpenMinTed project): modeling of automatic language processing tasks. New classes and properties have been introduced where necessary. The following are documented for the various tools: languages and input data types; possible operating systems, underlying programming languages, user interfaces and tasks performed; design countries, licenses used and fields of application; and all useful access information: home page, repositories and download locations.
FAIRsharing.725d45	Information System on Graph Classes and their Inclusions	ISGCI is an encyclopaedia of graphclasses with an accompanying java application that aids research about particular graph classes. Researchers can: check the relation between graph classes and get a witness for the result; draw clear inclusion diagrams; colour these diagrams according to the complexity of selected problems; find the P/NP boundary for a problem; save diagrams as Postscript, GraphML or SVG files; and find references on classes, inclusions and algorithms.
FAIRsharing.7277c0	Spatial transcriptomics annotation at single-cell resolution	SPASCER was designed to help understand the heterogeneity of tissue organizations, region-specific microenvironment, and intercellular interactions across tissue architectures at multiple levels. SPASCER contains datasets from 43 studies, including 1 082 sub-datasets from 16 organ types across four species. scRNA-seq was integrated to deconvolve/map spatial transcriptomics, and processed with spatial cell-cell interaction, gene pattern and pathway enrichment analysis. Cell-cell interactions and gene regulation network of scRNA-seq from matched spatial transcriptomics were performed as well.
FAIRsharing.728796	NHGRI Analysis, Visualization, and Informatics Lab-space	The NHGRI Genomic Data Science Analysis, Visualization, and Informatics Lab-space (AnVIL) is a unified computing environment for genomics data storage, management, and analysis. The AnVIL is a federated cloud platform designed to manage and store genomics and related data, enable population-scale analysis, and facilitate collaboration through the sharing of data, code, and analysis results. By inverting the traditional model of data sharing, the AnVIL eliminates the need for data movement while also adding security measures for active threat detection and monitoring and provides scalable, shared computing resources for any researcher. The core data management and analysis components of the AnVIL currently consists of Terra, Gen3, Galaxy, RStudio/Bioconductor, Dockstore, and Jupyter. In addition, several flagship genomics datasets are available within the AnVIL. The AnVIL is intended to create opportunities for analysis, collaboration, and data sharing that are needed to drive research and to make discoveries through the joint analysis of genomes together with associated clinical and molecular data types.
FAIRsharing.72b089	USGS Water Data for the Nation	The USGS investigates the occurrence, quantity, quality, distribution, and movement of surface and underground waters and disseminates the data to the public, State and local governments, public and private utilities, and other Federal agencies involved with managing our water resources. The USGS Water Data for the Nation provide access to these data collected at approximately 1.9 million sites in all 50 States, the District of Columbia, Puerto Rico, the Virgin Islands, Guam, American Samoa and the Commonwealth of the Northern Mariana Islands.
FAIRsharing.72b7ef	WHO COVID-19 Rapid Version CRF semantic data model	This is a semantic data model for the WHO's COVID-19 case record form RAPID version from April 8 2020. It aims at providing semantic references to the questions and answers of the form. The model maintains backward compatibility with the WHO COVID-19 Rapid CRF from March 23, 2020.
FAIRsharing.72bc1b	Danube University Open Online Repository	The DOOR (Danube University Open Online Repository) is the institutional repository of the University for Continuing Education Krems (Austria), designed for the long-term preservation, management, and dissemination of digital research outputs. It provides access to scientific publications, research data, educational resources, and other digital materials produced by the university community. The repository supports open access by assigning persistent identifiers (DOIs) and enabling the sharing of research outputs with the scientific community. DOOR covers multiple disciplines and serves as a platform for researchers and staff of the University for Continuing Education Krems to archive and publish their work.
FAIRsharing.72d327	Digital Morphology	DigiMorph is a digital library of high-resolution X-ray computed tomography (CT) scans that provides 2D and 3D visualizations of the internal and external structure of living and extinct organisms. It offers access to a vast archive of digital biological morphology data, including fossils, skeletons, and soft-tissue specimens, ideal for biological, paleontological, anatomical and evolutionary studies.
FAIRsharing.72e9b5	Geochemistry of Rocks of the Oceans and Continents	The Geochemistry of Rocks of the Oceans and Continents (GEOROC) database is a collection of published analyses of igneous rocks and mantle xenoliths. It contains major and trace element concentrations, radiogenic and nonradiogenic isotope ratios as well as analytical ages for whole rocks, glasses, minerals and inclusions. Samples come from 11 different geological settings. Metadata include, among others, geographic location with latitude and longitude, rock class and rock type, alteration grade, analytical method, laboratory, reference materials and references.
FAIRsharing.72eace	NORPERM permafrost database	The NORPERM permafrost database provides information on ground temperatures from boreholes and from the near-surface using miniloggers (MTDs).
FAIRsharing.72j8ph	Parkinson's Disease Biomarkers Program Data Management Resource	The NINDS Parkinson's Disease (PD) Biomarkers Program Data Management Resource enables web-based data entry for clinical studies supporting PD biomarker development, as well as broad data sharing (imaging, clinical, genetic, and biospecimen analysis) across the entire PD research community. The PDBP DMR coordinates information and access to PD biospecimens distributed through the NINDS Human Genetics, DNA, iPSC , Cell Line and Biospecimen Repository and the Harvard Neurodiscovery Initiative.
FAIRsharing.72qwj0	StellaBase	StellaBase is the Nematostella vectensis genomics database.
FAIRsharing.73122f	ASLS Substrate classifiers	Classifiers described in chapter 9 Substrate, by R.C. McDonald and R.F. Isbell, in Australian Soil and Land Survey Field Handbook (3rd edn) This vocabulary deals with materials and masses of earth or rock that do not show pedological development. They are not soils, but typically underlie them. The data was converted from the print representation to this linked-data form by Linda Gregory assisted by Simon J D Cox
FAIRsharing.73263a	Open Ottawa	Open Ottawa is the City of Ottawa’s official open data portal, offering free public access to a wide range of municipal datasets, maps, apps, and interactive tools. It’s designed to support transparency, civic engagement, and data-driven decision-making by letting anyone explore and download information about city services, infrastructure, environment, and more.
FAIRsharing.733c3f	Database of Individual Seismogenic Sources	The Database of Individual Seismogenic Sources (DISS) is a georeferenced repository of tectonic, fault, and paleoseismological information expressly devoted, but not limited, to potential applications in the assessment of seismic hazard at regional and national scale. DISS represents faults in 3D and contains fully-parameterized records. The core objects of DISS are: individual seismogenic sources, composite seismogenic sources, debated seismogenic sources and subduction zones.
FAIRsharing.73479c	Upper Ocean Processes Group	The main focus of the Upper Ocean Processes Group is the study of physical processes in the upper ocean and at the air-sea interface using moored surface buoys equipped with meteorological and oceanographic sensors.
FAIRsharing.736627	EarthStat	EarthStat serves geographic data sets that help solve the grand challenge of feeding a growing global population while reducing agriculture’s impact on the environment.
FAIRsharing.737p4k	ISO-15926-2_2003_oil	This resource is no longer available because its underlying source material is not suitable for FAIRsharing: ISO-15926-2_2003_oil. The record with identifier content 10.25504/FAIRsharing.737p4k was invalid.
FAIRsharing.73888a	AGRITOX	AGRITOX is a database created in 1986 by INRA. Only data deemed valid by experts from official assessment bodies at French and/or European level are presented. They come from active substance dossiers and/or marketing authorization applications submitted by manufacturers, and from data published in the scientific literature.
FAIRsharing.7388wt	NASA Goddard Earth Sciences Data and Information Services Center	The NASA Goddard Earth Sciences (GES) Data and Information Services Center (DISC) is located at the Goddard Space Flight Center (GSFC) in Greenbelt, Maryland, and is one of 12 NASA Science Mission Directorate Data Centers that provide Earth science data, information, and services to research scientists, applications scientists, applications users, and students. They archive and support data sets applicable to several NASA Earth Science Focus Areas including: Atmospheric Composition, Water & Energy Cycles, and Climate Variability. The GES DISC is one of the Earth Observing System Data and Information System (EOSDIS) Distributed Active Archive Centers (DAACs) that archive and distribute earth science data, managed by NASA's Earth Science Data and Information System Project (ESDIS), as part of the Earth Science Data Systems (ESDS) Program.
FAIRsharing.738b9c	CancerModels.Org	CancerModels.Org is a cancer research platform that aggregates clinical, genomic and functional data from various types of patient-derived cancer models (PDCMs)- xenografts, organoids and cell lines. Currently, the portal has over 7000 PDCMs across multiple cancer types, including rare paediatric models and models from minority ethnic backgrounds. The CancerModels.Org standardises, harmonises and integrates clinical metadata, molecular and treatment-based data from academic and commercial providers worldwide. It is the largest open access and free to consumer resource of this kind.
FAIRsharing.73afbf	National Science Digital Library	The National Science Digital Library provides high quality online educational resources for teaching and learning, with current emphasis on the sciences, technology, engineering, and mathematics (STEM) disciplines—both formal and informal, institutional and individual, in local, state, national, and international educational settings. The NSDL collection contains structured descriptive information (metadata) about web-based educational resources held on other sites by their providers. These providers have contribute this metadata to NSDL for organized search and open access to educational resources via this website and its services.
FAIRsharing.73bafe	PlantCircRNA	Circular RNAs (circRNAs) represent recently discovered novel regulatory non-coding RNAs. While they are present in many eukaryotes, there has been limited research on plant circRNAs. We developed PlantCircRNA (https://plant.deepbiology.cn/PlantCircRNA/) to fill this gap. The two most important features of PlantCircRNA are (1) it incorporates circRNAs from 94 plant species based on 39,245 RNA-sequencing samples, and (2) it imports the original AtCircDB and CropCircDB databases. We manually curated all circRNAs from published articles, and imported them into the database. Furthermore, we added detailed information of tissue as well as abiotic stresses to the database. To help users understand these circRNAs, the database includes a detection score to measure their consistency and a naming system following the guidelines recently proposed for eukaryotes. Finally, we developed a comprehensive platform for users to visualize, analyze, and download data regarding specific circRNAs. This resource will serve as a home for plant circRNAs and provide the community with unprecedented insights into these mysterious molecule.
FAIRsharing.73c2f5	Inorganic compounds thesaurus	Bilingual thesaurus (English-French) of more than 2500 inorganic compounds, classified by chemical elements and families of compounds. The compounds come from the controlled vocabulary used for indexing bibliographic references in the PASCAL database (1972-2015).
FAIRsharing.73cqdk	PHI-base	PHI-base database contains expertly curated molecular and biological information on genes proven to affect the outcome of pathogen-host interactions. PHI-base catalogues experimentally verified pathogenicity, virulence and effector genes from fungal, Oomycete and bacterial pathogens, which infect animal, plant, fungal and insect hosts. An online community curation portal, called PHI-Canto (https://canto.phi-base.org) supports article curation by authors with datasets being displayed at http://phi5.phi-base.org. Data and source code availability: All data sets are available from Github at https://github.com/PHI-base. Discussion board: curation issues for community curation can be discussed and followed using the PHI-canto curation tracker (https://github.com/PHI-base/curation) Funding: PHI-base is funded from the UK Biotechnology and Biological Sciences Research Council (BBSRC) [BB/S020020/1]. Citation reference: Urban, M. et al (2022). NAR doi: 10.1093/nar/gkab1037
FAIRsharing.73ea53	World Ocean Database	The World Ocean Database (WOD) is a collection of scientifically quality-controlled ocean profile and plankton data that includes measurements of temperature, salinity, oxygen, phosphate, nitrate, silicate, chlorophyll, alkalinity, pH, pCO2, TCO2, Tritium, Δ13Carbon, Δ14Carbon, Δ18Oxygen, Freon, Helium, Δ3Helium, Neon, and plankton.
FAIRsharing.73reht	Bio-Mirror	A world bioinformatic public service for high-speed access to up-to-date DNA & protein biological sequence databanks.
FAIRsharing.7416f8	GENCODE	The goal of the GENCODE project is to identify and classify all gene features in the human and mouse genomes with high accuracy based on biological evidence, and to release these annotations for the benefit of biomedical research and genome interpretation.
FAIRsharing.741b75	ClinicalTrials.gov Identifier	Identifier schema for ClinicalTrials.gov
FAIRsharing.742e0e	Aquila	Aquila is a spatial-omics database and analysis platform that provides visualization and analysis on both spatial transcriptome and proteome data.
FAIRsharing.7461b2	An atlas of subgroup lattices of finite almost simple groups	This atlas contains all subgroup lattices of almost simple groups G such that S ≤ G ≤ Aut ( S ) and S is a simple group of order less than 1 million appearing in the Atlas of Finite Groups by Conway et al. Some simple groups and almost simple groups or order larger than 1 million have also been included, but not in a systematic way.
FAIRsharing.74834b	QMU Repositories	QMU Repositories is Queen Margaret University’s institutional platform for sharing research outputs, research data, and theses produced by its academic community. It provides open access to publications, datasets, and postgraduate research, increasing the visibility and impact of the university’s work.
FAIRsharing.74d22a	COVID-19 SeroHub	The COVID-19 Seroprevalence Studies Hub, known as COVID-19 SeroHub, is an online dashboard intended to help researchers and policymakers monitor studies of Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) seroprevalence in the United States. These types of studies use blood tests to identify the proportion of people in the population who possess antibodies to SARS-CoV-2. COVID-19 SeroHub is a collaboration of the Centers for Disease Control and Prevention, the National Cancer Institute and National Institute of Allergy and Infectious Diseases, part of the National Institutes of Health.
FAIRsharing.74de79	Wheat Information System	This Wheat Information System aims at building an International Wheat Information System, to support the wheat research community. The main objective is to provide a single-access web base system to access to the available data resources and bioinformatics tools.
FAIRsharing.750063	SHOGoiN	SHOGoiN Cell Database is a repository for accumulating and integrating diverse human cell information to support a wide range of cell research at the single-cell resolution. It is an extension of the human cell database, CELLPEDIA. The database consists of several modules that store cell lineage maps, transcriptome, methylome, cell conversions, cell type markers, and cell images with morphology data curated from public as well as contracted resources, based on sophisticated cell taxonomy.
FAIRsharing.750d23	Canada’s Existing Substances Assessment Repository	Assessing and managing the health and environmental risks of chemical substances under the Chemicals Management Plan.
FAIRsharing.753f21	PSnpBind	PSnpBind is an open-access scientific database of mutated protein–ligand binding complexes created with a high-throughput virtual screening workflow. It contains hundreds of thousands of protein–ligand dockings that show how single-nucleotide polymorphisms (SNPs) in protein binding sites affect ligand binding affinity.
FAIRsharing.755471	Korea Sequence Read Archive	The Korea Sequence Read Archive (KRA) is a publicly available repository of high throughput sequencing data. KRA stores qualified raw sequencing data and alignment information and facilitates reproducibility through cloud-based data analysis service
FAIRsharing.75f031	MENDELU Repository	The repository serves to archive Open Access publications of university authors.
FAIRsharing.75r2zd	Ontology of Clinical Research	OCRe is an OWL ontology designed to support the systematic description of, and interoperable queries on, human studies and study elements. Please note that, while this ontology is available for use, it is currently not being actively developed.
FAIRsharing.75rf2e	Nursing Care Coordination Ontology	Nursing Care Coordination Ontology contains activities that nurses use while coordinating care among patients.
FAIRsharing.76044b	Database of Genomic Variants	The Database of Genomic Variants (DGV) is a publicly accessible, comprehensive curated catalogue of structural variation (SV) found in the genomes of control individuals from worldwide populations.
FAIRsharing.761c03	Worldwide Governance Indicators	The Worldwide Governance Indicators (WGI) are a set of six composite indicators developed by the World Bank to measure perceptions of governance quality across more than 200 countries. They cover six key dimensions: voice and accountability, political stability, government effectiveness, regulatory quality, rule of law, and control of corruption. The data come from over 30 surveys and expert assessments, combined using a statistical model that also provides margins of error.
FAIRsharing.762931	Technical Registry PRONOM	PRONOM is an online registry of technical information. PRONOM is a resource for anyone requiring impartial and definitive information about the file formats, software products and other technical components required to support long-term access to electronic records and other digital objects of cultural, historical or business value.
FAIRsharing.764c73	South Australian Resources Information Geoserver	SARIG is an initiative of the Government of South Australia that provides access to over 130 years of South Australian minerals, petroleum and geothermal geoscientific information in an interactive online mapping format.
FAIRsharing.766499	Microsoft Academic Graph Identifier	Identifier for an object or topic in the Microsoft Academic Graph
FAIRsharing.767a0d	Paris Astronomical Data Centre	The Paris Astronomical Data Centre is a scientific data repository managed by the Observatoire de Paris that provides access to a wide range of astronomical and space-related datasets, including sky images, spectra, simulation data, and planetary science data. It supports standardised access through the Virtual Observatory (VO) protocols, allowing researchers to query and retrieve data efficiently. PADC hosts multiple interconnected services and tools for visualisation and analysis, and it contributes to international data sharing standards in astronomy.
FAIRsharing.76c1ee	EarthPortal	EarthPortal is the home of ontologies and semantic artefacts for Earth sciences.
FAIRsharing.76c84e	CRC 1625 RDMS	Collaborative Research Center (CRC) 1625: Atomic-scale understanding and design of multifunctional compositionally complex solid solution surfaces. Compositionally complex solid solutions (CCSS) comprising five or more different elements mixed in a simple single-phase crystal structure provide conceptually unique, highly promising prospects in important scientific and technological areas, where the surface dominates properties such as – and ultimately not limited to –electrocatalysis and corrosion, crucial for future sustainable energy conversion systems. The CRC aims to leverage the possibilities of CCSS as material design platforms by establishing a combined theoretical and experimental understanding of their atomic-scale surface features, as the unique properties of CCSS are caused by the large number of diverse poly-elemental active sites across their surface. Gaining control of and the ability to design these surface atom arrangements (SAA) has the potential to overcome limitations of conventional electrocatalysts and will pave the way to multifunctional materials, with unprecedented combinations of activity and stability as well as possibilities for cascade reactions. SAA are specific arrangements of (sub)surface atoms and their chemical identities. They form in statistical abundance the surface composition of CCSS. Knowledge of SAA is essential for designing composition-structure‑activity relations for CCSS surfaces. The CRC aims to understand and control SAA – their formation, their variation for different systems and compositions, changes in SAA due to experimental conditions – to systematically tailor and manipulate them to design their properties. Development of new catalysts is not the primary goal; rather, advancement in fundamental understanding and exploration of new opportunities offered by SAA of CCSS. Initially, noble metal thin films will be used as model CCSS as their oxidation resistance supports SAA identification. Gaining detailed insights into the dependence of reaction mechanisms on the SAA and the understanding of CCSS surface metallurgy will then enable the design of multifunctional and sustainable electrocatalysts. This multi-dimensional challenge will be addressed by a fully interdisciplinary team (materials science, surface science, physics, chemistry, data science) using high-throughput methods in atomistic simulation, synthesis, characterisation, electrochemical probing, and in-depth experiments towards atomic-scale resolution. SAA determine electrochemical reactions on the atomic scale which is addressed by theory and atomic-scale characterisation. However, this atomistic view needs to be combined with the high-dimensional composition-property space of SAA and CCSS. Using materials informatics, we will integrate all data across scales and research areas, establish data-guided workflows, extract knowledge from data and organise it in knowledge graphs. Our holistic approach will be used to fulfil the vision of the CRC to control SAA on the atomic scale and across the surface and enable the design of ideal CCSS surfaces for specific applications.
FAIRsharing.76d592	IIT Dataverse	IIT Dataverse is the institutional research data repository of the Istituto Italiano di Tecnologia. IIT Dataverse has been operative since May 2021 and is currently open to IIT-affiliated researchers for research data deposition and sharing.
FAIRsharing.772691	CIMMYT Research Data & Software Repository Network	The CIMMYT Research Data & Software Repository Network is an open-access platform maintained by the International Maize and Wheat Improvement Center (CIMMYT) for hosting research datasets, software, and studies.
FAIRsharing.772d32	Functional Genomics Repository	FILER repository is a database developed by the National Institute on Aging Genetics of Alzheimer's Disease Data Storage Site (NIAGADS) with the most comprehensive harmonized, indexed, and searchable human functional genomic and annotation data collection. FILER is built to provide scalable, streamlined access to massive FG data collections across diverse omics data types and assays in consistent, BED-based formats. FILER integrates >100,000 genomic data tracks across >1,100 cell types curated, harmonized, and integrated from >40 data sources and >50 assay types.
FAIRsharing.77af91	Trinity River Restoration Program DataPort	The TRRP DataPort is an online repository that provides access to a wide range of documents, time-series data, interactive maps, and graphs related to the Trinity River Restoration Program. It includes tools such as a document library, a mapping application, a data explorer, and the Restoration Action Database (RAD) to help users explore ecological and restoration data for the Trinity River watershed.
FAIRsharing.77d1fc	Copernicus Marine Monitoring Service Portal	The CMEMS portal offers access to the reference products generated by the Copernicus Marine Monitoring Service that are derived from Sentinel reference products (Sentinel 1, 2, 3 and 6) along with other satellite and in-situ observations. The CMEMS portal is intended to support anyone needing state-of-the-art ocean data and information.
FAIRsharing.77d397	Functional Coverage of the Proteome	FCP is a publicly accessible web tool dedicated to analysing the current state and trends on the population of available structures along the classification schemes of enzymes and nuclear receptors, offering both graphical and quantitative data on the degree of functional coverage in that portion of the proteome by existing structures, as well as on the bias observed in the distribution of those structures among proteins.
FAIRsharing.77dd47	National Oceanographic Data Centre	The National Oceanographic Data Centre (NODC), hosted by the Italian Istituto Nazionale di Oceanografia e di Geofisica Sperimentale (OGS), is Italy’s national marine data repository and part of the UNESCO IODE international network. It manages a large multidisciplinary archive of oceanographic measurements, including physical, chemical, and biological data, collected mainly in the Mediterranean and neighboring seas.
FAIRsharing.77fc63	BioImage Model Zoo	The BioImage Model Zoo is a community-driven, fully open resource where standardized pre-trained models can be shared, explored, tested, and downloaded for further adaptation or direct deployment in multiple end user-facing tools (e.g., ilastik, deepImageJ, QuPath, StarDist, ImJoy, ZeroCostDL4Mic, CSBDeep). To enable everyone to contribute and consume the Zoo resources, we provide a model standard to enable cross-compatibility, a rich list of example models and practical use cases, developer tools, documentation, and the accompanying infrastructure for model upload, download and testing.
FAIRsharing.77jqpc	Disorders cluster	This resource is no longer available because its underlying source material is not in scope for FAIRsharing.
FAIRsharing.77v8xn	Upper-Level Cancer Ontology	Providing an upper-level ontology for cancer.
FAIRsharing.780299	Proteome-pI 2.0 - Proteome Isoelectric Point Database	Proteome-pI 2.0 is an updated version of an online database (Proteome-pI [http://isoelectricpointdb.org/]) containing the information about predicted isoelectric points. The isoelectric point, the pH at which a particular molecule carries no net electrical charge, is an important parameter for many analytical biochemistry and proteomics techniques, especially for 2D gel electrophoresis (2D-PAGE), capillary isoelectric focusing, liquid chromatography-mass spectrometry, and X-ray protein crystallography. The database allows the retrieval of virtual 2D-PAGE plots and the development of customized fractions of proteome based on isoelectric point and molecular weight. Moreover, Proteome-pI 2.0 facilitates statistical comparisons of the various prediction methods as well as biological investigation of protein isoelectric point space in all kingdoms of life. The database includes various statistics and tools for interactive browsing, searching, and sorting. It can be searched and browsed by organism name, average isoelectric point, molecular weight, or amino acid frequencies. Proteins with extreme pI values are also available. For individual proteomes, users can retrieve proteins of interest given the method, isoelectric point, and molecular weight ranges (this particular feature can be highly useful to limit potential targets in the analysis of 2DPAGE gels or before conducting mass spectrometry). Finally, some general statistics (total number of proteins, amino acids, average sequence length, amino acid, and di-amino acid frequencies) and datasets corresponding to major protein databases such as UniProtKB/TrEMBL and the NCBI non-redundant (nr) database have also been precalculated.
FAIRsharing.782f89	City of Barrie Open Data	The City of Barrie Open Data Portal (opendata.barrie.ca) is an online platform run by the City of Barrie that provides free, open access to a wide range of municipal datasets, especially geospatial data.
FAIRsharing.784c89	OmicsPred	OmicsPred is a resource for predicting multi-omics data (proteomics, metabolomics, transcriptomics etc.) directly from genotypes. To do this, we use extensive multi-omics data to train genetic scores using machine learning. Here, you can explore and download the genetic scores for a wide range of biomolecular traits in human blood as well as the summary statistics of their associations with key traits and diseases in the UK Biobank.
FAIRsharing.785d2f	Purdue University Research Repository	PURR is an institutional data repository for the research community of Purdue University. PURR provides capabilities currently required by the NSF and other funding agencies for digital data management such as workflows and tools for collaborating on data-driven research, publishing and archiving data, and ensuring data security, fidelity, backup, and mirroring. PURR comes with a set of policies and functionalities that address privacy and confidentiality, intellectual property, preservation, and access and use of research data. Data published in PURR are assigned Digital Objects Identifiers (DOIs) and exposed to the web using open standards to maximize their discoverability and scholarly reuse. Data producers can review how often their published data are viewed, downloaded, and cited.
FAIRsharing.786d11	Berman Jewish DataBank	The Berman Jewish DataBank is an online repository that collects, preserves, and provides access to social scientific studies about Jewish populations and communities, especially in North America. It archives quantitative datasets, surveys, reports, and demographic statistics related to Jewish life, institutions, and social trends.
FAIRsharing.787faa	Cochrane Library	The Cochrane Library is a collection of databases in medicine and other healthcare specialities that contain different types of evidence to inform healthcare decision-making. Data in the Cochrane Library comes from the Cochrane Database of Systematic Reviews (CDSR), the Cochrane Central Register of Controlled Trials (CENTRAL), and Cochrane Clinical Answers (CCA). The Cochrane Library uses a subscription-based model, with many governments purchasing country-wide access. A more limited version of the Library is available for free.
FAIRsharing.78ba11	BiodivPortal	BiodivPortal offers access to a wide range of biodiversity-related ontologies, including vocabularies, taxonomies, and thesauri.
FAIRsharing.78e99f	Italian Archive of Historical Earthquake Data	The Italian Archive of Historical Earthquake Data (ASMI) makes data available on more than 6,000 earthquakes of interest for the Italian peninsula since 461 BC, data that is extracted from more than 450 seismological studies. ASMI grant access to the various existing studies and alternative datasets for each earthquake. The archived information can be accessed by earthquake or by study, and provides multiple types of data (intensity data, description of the effects, hypocentral parameters) presented in different formats such as texts, tables and interactive maps. ASMI is the data collection, homogenization, comparison and validation tool for compiling the Italian Macroseismic Database (DBMI) and the Parametric Catalogue of Italian Earthquakes (CPTI).
FAIRsharing.78f3ff	UKEOF Catalogue	This catalogue provides United Kingdom environmental observations. The website for this resource is being updated and therefore it may not be completely available.
FAIRsharing.7946aa	Human Immunology Project Consortium Database	The Human Immunology Project Consortium (HIPC) program, an organization founded by the NIAID-DAIT, released ImmuneSpace in January 15, 2016. ImmuneSpace blossomed from a shared idea that generating large amounts collaborative data, cross-center and cross-assay, to characterize the status of the immune system in diverse populations under normal conditions and in response to various stimuli would be a beneficial platform. Since its release, ImmuneSpace has developed into powerful data management and analysis engine, where datasets can be easily explored and analyzed using state-of-the-art computational tools. ImmuneSpace takes advantage of the considerable infrastructure already developed through another HIPC platform, ImmPort, which serves as a repository of data generated by investigators funded by DAIT. Data are submitted by each HIPC center to ImmPort using a set of standardized data templates. Once ImmPort has made these data public through routine data releases, the data are transferred to ImmuneSpace where integrative modeling across various data types and HIPC centers are enabled. ImmuneSpace provides multiple ways to interact with, visualize, and analyze data. Each study contains tabs to view raw data, run common analyses, and look at custom reports. All the analyses make use of the R statistical language, leveraging Rserve to improve performance and knitr to enable full reproducibility.
FAIRsharing.79782a	Longitudinal Aging Study Amsterdam Database	The Longitudinal Aging Study Amsterdam (LASA) is a long-term, multidisciplinary cohort study of older adults in the Netherlands, started in 1992, tracking physical, cognitive, emotional, and social functioning. It includes multiple measurement “waves” over decades, allowing researchers to study trajectories and predictors of aging. Access to LASA data requires submitting a research proposal, which is reviewed by a steering committee; the data are not open publicly but are shared under conditions to ensure scientific use.
FAIRsharing.798156	The Ecological Register	The Ecological Register is a repository for published lists and counts of plants and animals from individual locations around the world. It is intended for use by ecologists and students who want quick and simple access to spatially localized species abundance distributions, and is particularly useful for macroecological studies of diversity patterns.
FAIRsharing.79e002	Australian Industrial Chemicals Introduction Scheme	The Australian Industrial Chemicals Introduction Scheme (AICIS) replaced the National Industrial Chemicals Notification and Assessment Scheme (NICNAS) as the national regulator for the importation and manufacture (introduction) of industrial chemicals in Australia. Assessments are conducted on the hazards and risks to human health and the environment from the introduction and use of industrial chemicals in Australia. The scope of the assessments varies and may include hazard characteristics, risk assessments and risk management recommendations to regulators and standard setting bodies in Australian and state and territory governments.
FAIRsharing.7a4bbd	Viral Host Range database	The Viral Host Range database (VHRdb) represents a unique resource for the community to rapidly find, document analyze and disseminate data related to the range of hosts that a virus can infect. Over the years, countless host range experiments have been performed in many laboratories. However, these data are not readily available to the community and are therefore underexploited. The VHRdb is an online resource that centralizes experimental data related to the host range of viruses. While it originates from bacteriophages and bacteria interaction studies, its design is compatible with viruses infecting all living forms. Users can browse publicly available data to find which host is infected by a virus, and vice versa. Users can also upload their own data, with the option to keep it private or make it public, analyze results across independent sets of data, generate and visualize outputs. Data implemented in the VHRdb are linked to users and, if available, to publications and sequence identifiers. The VHRdb is an initiative from the Debarbieux lab and is developed and maintained in collaboration with the Bioinformatics and Biostatistics Hub of Institut Pasteur. If you wish to import a collection or very sizable data into the VHRdb, please do no hesitate to contact us to arrange details such as specific identifiers (see Documentation).
FAIRsharing.7a5a92	Open Context	Open Context is a free, open-access platform for publishing and sharing primary archaeological field research, including datasets, images, maps, and narratives. It links structured data to media and rich contextual information to make research more discoverable and reusable.
