Preferred Prefix	Alt-prefix	Provider Base URI	Alternative Base URI	MIRIAM	BiodbcoreID	BioPortal Ontology ID	identifiers.org	Abbreviation	Title	Description	PubMed ID	Organization	Type (warehouse, dataset or terminology)	Keywords	Homepage	Functional?	sub-namespace in dataset	part of collection	License URL	License Text	Rights	ID regex	ExampleID	Provider HTML URL		MIRIAM checked	MIRIAM curator notes	MIRIAM coverage	updates	year last accessible	wayback url	last updated	last updated by	last updated by (orcid)
cgen								CGEN																			no resolving url	omitted						
cgnc								CGNC	Chicken Gene Nomenclature Consortium	The Chicken Gene Nomenclature Consortium (CGNC) provides standardized gene nomenclature for chicken genes. 	19607656	Mississippi State University	dataset	gene	http://www.agnc.msstate.edu/				http://www.agnc.msstate.edu/About.htm	Copyright © Mississippi State University. Permission to use the information contained in this database was given by the researchers/institutes who contributed or published the information. Users of the database are solely responsible for compliance with any copyright restrictions, including those applying to the author abstracts. Documents from this server are provided "AS-IS" without any warranty, expressed or implied.	use	^\d+$	2218	http://www.agnc.msstate.edu/GeneReport.aspx?a=$id										
cgp									Cytokine Gene Polymorphisms																		no resolving url	omitted						
cgsc				MIR:00000295				CGSC	The Coli Genetic Stock Center	The CGSC Database of E. coli genetic information includes genotypes and reference information for the strains in the CGSC collection, the names, synonyms, properties, and map position for genes, gene product information, and information on specific mutations and references to primary literature.		CGSC		gene	http://cgsc.biology.yale.edu/							^\d+$	96846	http://cgsc.biology.yale.edu/Site.php?ID=$id		x								
chamse	acs_chamse							CHAMSE	CHAMeleon SEquences	CHAMSE is a database of CHAMeleon SEquences. This name indicates the structural feature of some segments which have been observed to assume both alpha helix and beta strand structure in 3D models of proteins.		Istituto Dermopatico dell'Immacolata		DNA, structure	http://bioinformatica.isa.cnr.it/CHAMSE/			acs						N/A			issue (no web access - resulted returned via email); action (emailed to ask if there is web based access)	omitted	see also bac					
chebi	obo.chebi (miriam), atp_chebi	http://purl.obolibrary.org/obo/CHEBI_	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=, http://purl.obolibrary.org/obo/CHEBI#, http://purl.obolibrary.org/obo/chebi.owl#, http://www.loria.fr/~coulet/ontology/sopharm, http://www.ebi.ac.uk/ontology-lookup//version2.1/chebi.owl#, http://purl.obofoundry.org/chebi/, http://purl.obolibrary.org/chebi/, http://purl.org/obo/owl/CHEBI#, http://www.ebi.ac.uk/ontology-lookup/?termId=CHEBI:#, http://identifiers.org/obo.chebi/	MIR:00000002		1007		ChEBI	Chemical Entities of Biological Interest	A structured classification of chemical compounds of biological relevance.	23180789	ChEBI	terminology	obo, chemical	http://www.ebi.ac.uk/chebi/				http://www.ebi.ac.uk/Information/termsofuse.html	The public databases of the EBI are freely available by any individual and for any purpose		^\d+$	17234	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=$id		x	 http://www.loria.fr/~ link does not seem to work?							
chebi.submitter								chebi-submitter	Submitter of ChEBI data			EBI	dataset	chemical																				
chem2bio2owl		http://chem2bio2rdf.org/chem2bio2rdf.owl#				1615		Chem2Bio2OWL	Systems Chemical Biology/Chemogenomics 	Ontology for Systems Chemical Biology and Chemogenomics			terminology		http://chem2bio2rdf.org/owl								Acylation				no access url	omitted						
chembank				MIR:00000143				ChemBank	ChemBank	ChemBank is a public, web-based informatics environment created by the Broad Institute's Chemical Biology Program and funded in large part by the National Cancer Institute's Initiative for Chemical Genetics (ICG).	17947324	Broad Institute		chemical,metabolite	http://chembank.broad.harvard.edu							^\d+$	1000000	http://chembank.broadinstitute.org/chemistry/viewMolecule.htm?cbid=$id		x								
chembl	chembldb				biodbcore-000015				chEMBL	ChEMBL is a database of bioactive compounds, their quantitative properties and bioactivities (binding constants, pharmacology and ADMET, etc). The data is abstracted and curated from the primary scientific literature.		EBI	dataset	molecules	https://www.ebi.ac.uk/chembldb/				http://www.ebi.ac.uk/Information/termsofuse.html	The public databases of the EBI are freely available by any individual and for any purpose	open	^\d+$	210313	https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/$id			duplicated in spreadsheet	present as MIR:00000084 and MIR:00000085						
chembl.compound				MIR:00000084	biodbcore-000015				ChEMBL compound		19194660		dataset	chemical,metabolite			chembl					^CHEMBL\d+$	CHEMBL308052	https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/$id		x								
chembl.target				MIR:00000085	biodbcore-000015				ChEMBL target		19194660		dataset	protein			chembl					^CHEMBL\d+$	 CHEMBL3467	https://www.ebi.ac.uk/chembldb/index.php/target/inspect/$id		x								
chemdb				MIR:00000279				ChemDB	The UC Irvine ChemDB	ChemDB is a chemical database containing nearly 5M commercially available small molecules, important for use as synthetic building blocks, probes in systems biology and as leads for the discovery of drugs and other useful compounds. 	17599932	University of California		small molecule	http://cdb.ics.uci.edu							^\d+$	3965223	http://cdb.ics.uci.edu/cgibin/ChemicalDetailWeb.py?chemical_id=$id		x								
chemidplus				MIR:00000096				ChemIDplus	ChemIDplus	ChemIDplus is a web-based search system that provides access to structure and nomenclature authority files used for the identification of chemical substances cited in National Library of Medicine (NLM) databases. It also provides structure searching and direct links to many biomedical resources at NLM and on the Internet for chemicals of interest.		National Library of Medicine	dataset	structure, molecules	http://chem.sis.nlm.nih.gov/chemidplus/chemidheavy.jsp				http://www.nlm.nih.gov/copyright.html	Government information at NLM Web sites is in the public domain. Public domain information may be freely distributed and copied, but it is requested that in any subsequent use the National Library of Medicine (NLM) be given appropriate acknowledgement.	attribution	^\d+$	000057272	http://chem.sis.nlm.nih.gov/chemidplus/direct.jsp?regno=$id		x								
cheminf		http://semanticscience.org/resource				1444		CHEMINF	Chemical Information Ontology	Includes terms for the descriptors commonly used in cheminformatics software applications and the algorithms which generate them.			terminology	chemical, descriptors	http://code.google.com/p/semanticchemistry/						attribution	CHEMINF_\d+$					no resolving url	omitted						
chemspider				MIR:00000138				ChemSpider	ChemSpider - Database of Chemical Structures and Property Predictions	ChemSpider is a collection of compound data from across the web, which aggregates chemical structures and their associated information into a single searchable repository entry. These entries are supplemented with additional properties, related information and links back to original data sources.		Royal Society of Chemistry		structure, molecules	http://www.chemspider.com/				http://www.rsc.org/Help/termsconditions.asp	You may browse, download or print out one copy of the material displayed on the site for your personal, non-commercial, non-public use, but you must retain all copyright and other proprietary notices contained on the materials. You may not further copy, distribute or otherwise use any of the materials from this site without the advance, written consent of RSC		^\d+$	56586	http://www.chemspider.com/Chemical-Structure.$id.html		x								
chickenqtldb								Chicken QTLdb	Chicken Quantitative Trait Locus database	This Chicken Quantitative Trait Locus (QTL) database (Chicken QTLdb) has gathered all chicken QTL data published during the past 10+ years. The database and its peripheral tools make it possible to compare, confirm and locate on chicken chromosomes the most feasible location for genes responsible for quantitative trait important to chicken production.		National Animal Genome Research Program (NAGRP)		DNA, genome	http://www.animalgenome.org/cgi-bin/QTLdb/GG/index			animalqtldb				^\d+$	66	http://www.animalgenome.org/cgi-bin/QTLdb/GG/qdetails?QTL_ID=$id				curation						
chickvd								ChickVD	Chicken Variation Database	The chicken Variation Database (ChickVD) is an integrated information system for storage, retrieval, visualization and analysis of chicken variation data. 		China National Grid Project			http://chicken.genomics.org.cn							^\d+$	443	http://chicken.genomics.org.cn/chicken/jsp/gene_report.jsp?gene_id=$id			unresolved link - looks dead	omitted						
chimerdb								ChimerDB	ChimerDB : A Knowledgebase for fusion sequences	ChimerDB is the database of fusion sequences encompassing bioinformatics analysis of mRNA and EST sequences in the GenBank, manual collection of literature data, and integration with other known database such as OMIM		Ewha Womens University		RNA, DNA	http://genome.ewha.ac.kr/ChimerDB/							[A-Z]+/\d+	ABL1	N/A			unresolved link - looks dead	omitted						
chromdb								ChromDB	The Chromatin Database	The broad mission of ChromDB is display, annotate, and curate sequences of two broad functional classes of biologically important proteins: chromatin-associated proteins (CAPs) and RNA interference-associated proteins. 		National Science Foundation		protein	http://www.chromdb.org							^\d+$	8	http://www.chromdb.org/gene_record.html?g=$id				curation						
cid									Ciliate IES-MDS database			CID			http://oxytricha.princeton.edu/dimorphism/database.htm							^\d+$	15	http://oxytricha.princeton.edu/cgi-bin/get_MDS_IES_Info.cgi?num=$id				curation						
cidb								CIDB																			no resolving url	omitted						
cipro								CIPRO	Ciona intestinalis Protein Database	CIPRO is an integrated protein that has been developed to provide widespread information of the proteins expressed in the ascidian Ciona intestinalis, especially for the researcher who wants to get advance and useful information for starting biological and biomedical research. The protein information in CIPRO directly links to gene expression, a tool for peptide mass fingerprinting (PMF), intracellular localization, 3D image of early development, and transgenic resources.		Bioinformatics Promotion Project, Japan		protein	http://cipro.ibio.jp/2.0							CIPRO\d+.\d+.\d+..	CIPRO82.31.5	N/A				curation						
cisred								cisRED	cis-Regulatory Element Database	The cisRED database holds conserved sequence motifs identified by genome scale motif discovery, similarity, clustering, co-occurrence and coexpression calculations. Sequence inputs include low-coverage genome sequence data and ENCODE data. 		BCGSC		genome	http://www.cisred.org/							ENSG\d+	ENSG00000187919	http://www.cisred.org/[?species]/gene_view?ensembl_id=$id				omitted						
citexplore				MIR:00100032				CiteXplore	CiteXplore	PubMed is a service of the U.S. National Library of Medicine that includes citations from MEDLINE and other life science journals for biomedical articles back to the 1950s.		EBI			http://www.ebi.ac.uk/citexplore/				http://www.ebi.ac.uk/Information/termsofuse.html	The public databases of the EBI are freely available by any individual and for any purpose		^\d+$	16333295	http://www.ebi.ac.uk/citexplore/citationDetails.do?dataSource=MED&externalId=$id		x								
cito		http://purl.org/spar/cito/						cito	Citation Typing Ontology	CiTO, the Citation Typing Ontology, is an ontology for the characterization of citations, both factually and rhetorically	20626926	 University of Oxford	terminology	citation	http://purl.org/spar/cito/								d4e129											
cl				MIR:00000110		1006		CL	Cell Ontology	The Cell Ontology is designed as a structured controlled vocabulary for cell types. The ontology was constructed for use by the model organism and other bioinformatics databases, incorporating cell types from prokaryotes to mammals, and includes plants and fungi.			terminology	obo, cell	http://lists.sourceforge.net/lists/listinfo/obo-cell-type							^CL:\d+	CL:0000232			x								
cleanest								CleanEST	CleanEST	CleanEST is a database to provide cleansed EST sequences of classified dbEST libraries. All dbEST libraries were classified according to organism, sequencing center, and eVOC ontologies (for human libraries). For each dbEST library, we provide three different EST sequences: ‘raw’, ‘pre-cleansed’, and ‘user-cleansed’ 		Korean Bioinformation Center		DNA, ontology	http://cleanest.kobic.re.kr/							^\d+$	21360	http://verdi.kobic.re.kr/cleanEST/library_view.jsp?libid=$id			incorrect link	omitted						
cleanex								CleanEx	CleanEx	CleanEx is a database which provides access to public gene expression data via unique approved gene symbols and which represents heterogeneous expression data produced by different technologies in a way that facilitates joint analysis and cross-dataset comparisons.		CleanEx		gene expression	http://www.cleanex.isb-sib.ch/									http://www.cleanex.isb-sib.ch/cgi-bin/get_doc?db=cleanex&format=nice&entry=$id			already in curation	curation						
clibe								CLiBE	Computed Ligand Binding Energy	A database for facilitating the analysis of Drug Binding Competitveness. It contains information about Computed Ligand-Receptor Interaction Energy and other attributes such as energy components; ligand classification, functions and properties.  Ligand structure is also included.				interaction, small molecule	http://bidd.nus.edu.sg/group/CLiBE/							\d..[a-z]\d..\d+	1e3z00103	http://bidd.nus.edu.sg/group/CLiBE/Detail.asp?ID=$id				curation						
clinicaltrialontology						1060			Epoch Clinical Trial Ontologies				terminology	owl, health													no resolving url	omitted						
clinicaltrials				MIR:00000137				ClinicalTrials.gov	ClinicalTrials.gov	ClinicalTrials.gov is a registry and results database of publicly and privately supported clinical studies of human participants conducted around the world. 		National Library of Medicine	dataset	disease,drug, human	http://clinicaltrials.gov/				http://www.nlm.nih.gov/copyright.html	Government information at NLM Web sites is in the public domain. Public domain information may be freely distributed and copied, but it is requested that in any subsequent use the National Library of Medicine (NLM) be given appropriate acknowledgement.	attribution	^NCT\d{8}$	NCT00050895 	http://clinicaltrials.gov/ct2/show/$id		x								
clo	obo.clo	http://purl.obolibrary.org/obo/CLO_	http://purl.org/obo/owl/CL#, http://purl.obofoundry.org/clo/, http://purl.obolibrary.org/clo/, http://purl.org/obo/owl/CLO#, http://identifiers.org/obo.clo/	MIR:00000110		1314		CLO	Cell Line Ontology	The Cell Line Ontology (CLO) is a community-based ontology in domain of biological cell lines with a focus on permanent cell lines from culture collections. Upper ontology structures that frame the skeleton of CLO include Basic Formal Ontology and Relation Ontology. Cell lines contained in CLO are associated with terms from other ontologies such as Cell Type Ontology, NCBI Taxonomy, and Ontology for Biomedical Investigation. A common design pattern for the cell line is used to model cell lines and their attributes, the Jurkat cell line provides ane xample.  Currently CLO contains over 36,000 cell line entries obtained from ATCC, HyperCLDB, Coriell, and bymanual curation. The cell lines are derived from 194 cell types, 656 anatomical entries, and 217 organisms. The OWL-based CLO is machine-readable and can be used in various applications.	15693950		terminology	ontology	http://sourceforge.net/projects/clo-ontology/							^CL:\d{7}$	CL:0000232			x								
clustr				MIR:00000021				CluSTr	CluSTr	The CluSTr database offers an automatic classification of UniProt Knowledgebase and IPI proteins into groups of related proteins. The clustering is based on analysis of all pairwise comparisons between protein sequences. The database provides links to InterPro, which integrates information on protein families, domains and functional sites from PROSITE,  PRINTS,  Pfam,  ProDom,  SMART,  TIGRFAMs,  Gene3D, SUPERFAMILY, PIR Superfamily and  PANTHER. 	15961444	EBI		protein	http://www.ebi.ac.uk/clustr/				http://www.ebi.ac.uk/Information/termsofuse.html	The public databases of the EBI are freely available by any individual and for any purpose	open	^[0-9A-Za-z]+:\d+:\d{1,5}(\.\d)?$	2978:40.1	N/A		x	this service has been deprecated!	deprecated						
cmd									Collagen Mutation Database	This database aims to record all published accounts of variants resulting in osteogenesis imperfecta. Such variants occur in the COL1A1, COL1A2, CRTAP, FKBP10, LEPRE1 and PPIB genes.		University of Leicester		gene	http://www.le.ac.uk/genetics/collagen/							[A-Z,0-9]+	COL3A1	https://eds.gene.le.ac.uk/home.php?select_db=$id				curation						
cmgsdb								CMGSDB	Computational Models for Gene Silencing Database	The overarching goal of the project is to integrate multiple CMGS into a complex problem solving environment (PSE) for the computational study of RNA interference by computer and life scientists and hence to contribute to the detailed understanding of gene silencing.		Virginia Tech 		RNA, gene, regulation	https://bioinformatics.cs.vt.edu/cmgs/CMGSDB/												duplicated .chain/exp/gene/protein; no resolving url	omitted						
cmgsdb.chain																	cmgsdb					^\d+$	87	https://bioinformatics.cs.vt.edu/cmgs/CMGSDB/viewChain.php?chainid=$id				curation						
cmgsdb.exp																	cmgsdb					Various	WBRNAi00004983	https://bioinformatics.cs.vt.edu/cmgs/CMGSDB/rnaiexpt.php?expt=$id				curation						
cmgsdb.gene																	cmgsdb					WBGene\d+	WBGene00000018	https://bioinformatics.cs.vt.edu/cmgs/CMGSDB/viewGene.php?wbgene=$id				curation						
cmgsdb.protein																	cmgsdb					[A-Z]+\d+	CE00649	https://bioinformatics.cs.vt.edu/cmgs/CMGSDB/viewProtein.php?wpid=$id				curation						
cmo						1583		CMO	Clinical Measurement Ontology	The Clinical Measurement Ontology is designed to be used to standardize morphological and physiological measurement records generated from clinical and model organism research and health programs			terminology	obo	http://sourceforge.net/projects/phenoonto/												no resolving url	omitted						
cmr				MIR:00000314				CMR	Comprehensive Microbial Resource at the J. Craig Venter Institute	The Comprehensive Microbial Resource (CMR) is a free website used to display information on all of the publicly available, complete prokaryotic genomes. 		JCVI		genome	http://cmr.jcvi.org/							$\w+$	NTL03BA0491	http://cmr.jcvi.org/tigr-scripts/CMR/shared/GenePage.cgi?locus=$id		x								
cnidbase								CnidBase	Cnidarian Evolutionary Genomics Database	CnidBase, the Cnidarian Evolutionary Genomics Database, is a tool for investigating the evolutionary, developmental and ecological factors that affect gene expression and gene function in cnidarians.		Boston University		genome	http://cnidbase.com/index.cgi							CNS\d+	CNS35	http://cnidbase.com/index.cgi?cn_accession=$id				curation						
cnmd									The Cypriot National Genetic Database 																		no resolving url							
cno		http://purl.org/incf/ontology/Computational_Neurosciences/cno_alpha.owl#				3003		CNO	Computational Neuroscience Ontology	CNO is a controlled vocabulary of terms used in Computational Neurosciences to describe models of the nervous system.  This first release of CNO is an alpha version and should be further aligned with other ontologies accessible on Bioportal and should be made compliant with the OBO foundry recommendations.  This work is licensed under the Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License. To view a copy of this license, visit http://creativecommons.org/licenses/by-nc-sa/3.0/ or send a letter to Creative Commons, 444 Castro Street, Suite 900, Mountain View, California, 94041, USA. If you have any comments, questions or suggestions, please contact Yann Le Franc at ylefranc(at)gmail.com.			terminology						http://creativecommons.org/licenses/by-nc-sa/3.0/				cno_0000001	http://purl.org/incf/ontology/Computational_Neurosciences/cno_alpha.owl#$id				omitted						
co						1544		CO	Crop Ontology	This ontology includes crop-specific trait ontologies for several economically important plants like rice, wheat, maize, potato, musa, chickpea and sorghum along with other important domains for crop research such as germplasm, passport, trait measurement scales, experimental design factors etc.			terminology	obo	http://cropontology.org/												no resolving url	omitted						
co.wheat		http://purl.obolibrary.org/wheat/	http://purl.obofoundry.org/wheat/, http://purl.obolibrary.org/wheat/, http://purl.org/obo/owl/WHEAT#, http://identifiers.org/obo.wheat/, http://purl.obolibrary.org/obo/CO_321#			1545			Wheat trait Ontology	The wheat trait ontology defines traits of the International Wheat Information System (IWIS) database and wheat descriptor.			terminology	obo	http://cropontology.org/								_0000029				no resolving url	omitted						
coc_central	coc							CoC Central	Conservation of Conservation Central: A database of universally conserved residues in protein folds	CoC Central is a searchable database of residue conservation data covering the universe of known protein structures. 		Harvard University		protein	http://kulibin.mit.edu/coc/							[A-Z,0-9]+	1a65A	N/A			unresolved url	omitted						
cod					biodbcore-000016			COD	Crystallography Open Database						http://www.crystallography.net/																			
cog				MIR:00000296				COG	Clusters of Orthologous Groups of Proteins: Phylogenetic classification of proteins encoded in complete genomes	Clusters of Orthologous Groups of proteins (COGs) were delineated by comparing protein sequences encoded in complete genomes, representing major phylogenetic lineages. Each COG consists of individual proteins or groups of paralogs from at least 3 lineages and thus corresponds to an ancient conserved domain.		NCBI		protein, genome	http://www.ncbi.nlm.nih.gov/COG							^\d+$	145262	http://www.ncbi.nlm.nih.gov/COG/grace/cogenome.cgi?g=$id		x								
cog.cluster									COG: Clusters			NCBI			http://www.ncbi.nlm.nih.gov/COG/		cog							N/A				present as MIR:00000296						
cog.function									COG: Functions			NCBI			http://www.ncbi.nlm.nih.gov/COG/		cog							N/A				curation						
cog.pathway									COG: Pathways			NCBI			http://www.ncbi.nlm.nih.gov/COG/		cog							N/A			no resolving url	omitted						
cogat		http://www.cognitiveatlas.org/ontology/cogat.owl#				1633		cogat	Cognitive Atlas	The Cognitive Atlas is a collaborative knowledge building project that aims to develop a knowledge base (or ontology) that characterizes the state of current thought in cognitive science		cognitive atlas	terminology		http://www.cognitiveatlas.org/					not stated		CAO_\d+	CAO_01019	http://www.cognitiveatlas.org/ontology/cogat.owl#$id				omitted						
cogeme								COGEME	Phytopathogenic Fungi and Oomycete EST Database	Hierarchical clustering software was used to classify together ESTs representing the same gene and produce a single contig, or consensus sequence. The unisequence set for each pathogen therefore represents a set of unique gene sequences, each one consisting of either a single EST or a contig sequence made from a group of ESTs. Unisequences were annotated based on top hits against the NCBI non-redundant protein database using blastx.		University of Exeter		DNA, gene, protein	http://cogeme.ex.ac.uk/								CgCon[0106]	http://cogeme.ex.ac.uk/cgi-bin/uni.pl?uni=$id			project website is dead: http://www.cogeme.man.ac.uk/	curation						
cogent++								CoGenT++																			no resolving url	omitted						
cogpo		http://www.cogpo.org/ontologies/	http://www.cogpo.org/ontologies/CogPOver1.owl#, http://www.cogpo.org/ontologies/CogPOver2010.owl#			1560		CogPO	Cognitive Paradigm Ontology	This ontology is used to describe the experimental conditions within cognitive/behavioral experiments, primarily in humans.			terminology										COGPO_00021				no resolving url	omitted						
coil								COIL																										
colibase								coliBase	coliBASE	coliBASE is a database for comparative genome analysis of Enterobactericaiae, e.g. Escherichia, Shigella etc		University of Birmingham		genome	http://xbase.bham.ac.uk/colibase/									N/A			unresolved url	omitted						
colibri	pasteur							Colibri	Colibri	Its purpose is to collate and integrate various aspects of the genomic information from E. coli, the paradigm of Gram-negative bacteria. Colibri provides a complete dataset of DNA and protein sequences derived from the paradigm strain E. coli K-12, linked to the relevant annotations and functional assignments. It allows one to easily browse through these data and retrieve information, using various criteria (gene names, location, keywords, etc.).		Institut Pasteur		genome, DNA, protein	http://genolist.pasteur.fr/Colibri/								thrL	http://genolist.pasteur.fr/Colibri/genome.cgi?external_query+$id			issue (this is one of over 400 organism data sets provided by GenoList, which has been in curation for a while); issue (there is not generic access URL as you need to go through a 'select organism' and search step); action (have mailed before, but just mailed again 26/4/13)	curation/ covered probbly by GenoList in MIRIAM curation MIR:00900121						
colisnp								ColiSNP	Database of Single Nucleotide Polymorphisms	This is the database of Single Nucleotide Polymorphism (SNP) mapped on protein structure and gene regulation region.				DNA	http://yayoi.kansai.jaea.go.jp/colisnp								ABL2	N/A			latest and new version is not linkable (will email to ask) - currently all in frame... 	curation	asking for stable links as currently results are retreived on the fly					
columba								Columba																			no resolving url	omitted						
combine.specifications	combine.specifications			MIR:00000258				COMBINE specifications		The 'COmputational Modeling in BIology' NEtwork (COMBINE) is an initiative to coordinate the development of the various community standards and formats for computational models, initially in Systems Biology and related fields. This collection pertains to specifications of the standard formats developed by the Computational Modeling in Biology Network.			dataset									^\w+(\-|\.|\w)*$	sbgn.er.level-1.version-1.2	http://co.mbine.org/specifications/$id		x	 							
come								COMe	COMe	COMe is an attempt to classify metalloproteins and some other complex proteins using the concept of bioinorganic motif.		COMe		protein	http://www.flymine.org/come/							BIM\d+	BIM000347	http://www.flymine.org/come/entry?gn=$id			3 types, used this one as BIM	curation x3						
comparasite								Comparasite	Comparasite: Full-length cDNA Database	Comparasite, an integrated database of our original full-length cDNA sequence data, consists of seven sub-databases of apicomplexa protozoa, Plasmodium falciparum(12,484 cDNA sequences), Plasmodium yoelii (11,262 sequences), Plasmodium vivax (9,633 sequences), Plasmodium berghei (1,518 sequences), Toxoplasma gondii (7,400 sequences), Cryptosporidium parvum (5,921 sequences) and a tapeworm, Echinococcus multilocularis (10,966 sequences).		University of Tokyo		DNA	http://comparasite.hgc.jp/							^\d+$	1833	N/A			can't see how to link	omitted						
comparative_genometrics									Comparative Genometrics	Devoted to the characterization of complete chromosome sequences by standardized genometric methods, the Comparative Genometrics website displays for sequenced genomes, three different genometric analyses: the DNA walk and the GC and TA skews during the initial phase. Although primarly focused on prokaryotic chromosomes, the CG website posts genometric information on paradigm plasmids, phages, viruses, and organelles.		UNIL		genome	http://www.unil.ch/comparativegenometrics/							NC_\d+	NC_013926	http://www2.unil.ch/comparativegenometrics/$id.htm				curation						
compel									COMPEL																		no resolving url	omitted						
complexportal								Complex Portal	Complex Portal	The Complex Portal is a manually curated, encyclopaedic resource of macromolecular complexes from a number of key model organisms. 		European Bioinformatics Institute	dataset	protein, complex	https://www.ebi.ac.uk/complexportal/home				https://creativecommons.org/licenses/by/4.0/				CPX-2158	https://www.ebi.ac.uk/complexportal/complex/search?query=$id										
compluyeast2dpage									CompluYeast 2D-PAGE	Compluyeast-2D-DB is a Two-dimensional polyacrilamide gel electrophoresis federated database built with the Make2DDB package and integrated at the WORLD-2DPAGE of the ExPASy proteomics web server.		UCM		protein	http://compluyeast2dpage.dacya.ucm.es/							P\d+	P20029	http://compluyeast2dpage.dacya.ucm.es/cgi-bin/2d/2d.cgi?ac=$id				present as MIR:00000198						
compulyeast	compulyeast, compluyeast2dpage			MIR:00000198				Compulyeast		Compluyeast-2D-DB is a two-dimensional polyacrylamide gel electrophoresis federated database. This collection references a subset of Uniprot, and contains general information about the protein record.	18617148		dataset	protein								^([A-N,R-Z][0-9][A-Z][A-Z, 0-9][A-Z, 0-9][0-9])|([O,P,Q][0-9][A-Z, 0-9][A-Z, 0-9][A-Z, 0-9][0-9])$	O08709	http://compluyeast2dpage.dacya.ucm.es/cgi-bin/2d/2d.cgi?ac=$id		x								
conoserver	conoserver			MIR:00000254	biodbcore-000017			Conoserver		ConoServer is a database specialized in the sequence and structures of conopeptides, which are peptides expressed by carnivorous marine cone snails.	18065428,22058133		dataset	drug,protein								^\d+$	2639	http://www.conoserver.org/?page=card&table=protein&id=$id		x								
consensuspathdb	cpdb							CPDB	ConsensusPathDB	ConsensusPathDB contains information on physical molecular interactions, biochemical pathways, and gene regulatory networks in human. Data originate from different sources - open access databases as well as manually fed data. ConsensusPathDB contains functional molecular interactions obtained from 18 publicly available resources		Max Planck Institute		interaction, pathway, regulation, small molecule	http://cpdb.molgen.mpg.de									N/A			seems to just integrate and cross link to other interaction databases. All done in fram - emailed to ask if links possible	curation	datasets regenerated every 3 months or so and no stable internal id. Can use 2 identifiers to access datasource/identifier interactions. eg http://cpdb.molgen.mpg.de/CPDB/searchBySingleAcc?tp=uniprot&acc=BBC3_HUMAN					
consentontology						3129		ConsentOntology	Informed Consent and Permission Ontology	The Informed Consent and Permission Ontology aims to capture permissions given by subjects consenting to participate in a research study. Has been developed within the iDASH project.			terminology														no resolving url	omitted						
consurfdb								ConSurf-DB	The ConSurf Server Database: Server for the Identification of Functional Regions in Proteins	ConSurf-DB provides evolutionary conservation profiles for proteins of known structure in the PDB. Amino acid sequences similar to each sequence in the PDB were collected and multiply aligned using PSI-BLAST and MUSCLE, respectively.		Tel Aviv University		protein	http://consurfdb.tau.ac.il/							PDBID	1d66	http://consurfdb.tau.ac.il/consurf_db/$id/[?chain_id]/			consurf nt linkable, but neew version is. Added that in preference	curation						
cope								COPE	Cytokines & Cells Online Pathfinder Encyclopedia 	COPE is a fully integrated subdictionaries on Angiogenesis, Apoptosis, Bacterial Modulins, CD Antigens, Cell lines, Eukaryotic cell types, Chemokines, CytokineTopics, Cytokine Concentrations in Body Fluids, Cytokine Inter-Species Reactivities, Dual identity proteins, Hematology, Innate Immunity Defense Proteins, Metalloproteinases, Protein domains, Regulatory peptide factors, Virokines, Viroceptors, Virulence Factors					http://www.copewithcytokines.de/									http://www.copewithcytokines.de/cope.cgi?key=$id				curation						
cops								CoPS																			no resolving url	omitted						
corg								CORG	COmparative Regulatory Genomics	CORG stands for COmparative Regulatory Genomics. Non-coding DNA segments that are conserved across multiple homologous genomic sequences are good indicators of putative regulatory elements. We use a systematic approach to delineate such conserved non-coding blocks from a collection of vertebrate species.		Max Planck Institute		genome	http://corg.molgen.mpg.de							ENSG\d+	ENSG00000012048	http://corg.eb.tuebingen.mpg.de/cgi-bin/get_gene_info_v38.pl?id=$id&species=[?species_name]&version=v38			: redirects to http://corg.eb.tuebingen.mpg.de/ which is not found	omitted						
cornea2dpage									Cornea-2DPAGE						dead												no resolving url	omitted						
corum								CORUM	the Comprehensive Resource of Mammalian protein complexes	The CORUM database provides a resource of manually annotated protein complexes from mammalian organisms. Annotation includes protein complex function, localization, subunit composition, literature references and more. 		Munich Information Center for Protein Sequences		protein	http://mips.gsf.de/genre/proj/corum							^\d+$	56	http://mips.helmholtz-muenchen.de/genre/proj/corum/complexdetails.html?id=$id				preexisting in curation MIR009000327						
coryneregnet					biodbcore-000018			CoryneRegNet	Reference Database and Analysis Platform for corynebacterial transcription factors and gene regulatory networks			Bielefeld University			http://www.coryneregnet.de									login required				preexisting in curation MIR009000242						
cosmic								COSMIC	Catalogue of Somatic Mutations in Cancer	COSMIC is designed to store and display somatic mutation information and related details and contains information relating to human cancers.		Sanger Institute		DNA	http://www.sanger.ac.uk/cosmic								BRCA1	http://www.sanger.ac.uk/perl/genetics/CGP/cosmic?action=byhist&s=4&hn=carcinoma&sn=ovary&ln=$id			gene and mutation sets. added both in curation	curation x2						
